daily_task_id,total_nhours
1580272,2.56
1582276,0.83
1582845,0.57
1580123,0.3
1583173,1.7
1580151,0.12
1582926,3.28
1580188,3.32
1582544,0.07
1581125,0.58
1581088,2.83
1579655,0.12
1582131,1.58
1581575,0.15
1579770,9.0
1581304,0.48
1580875,2.2
1580416,0.33
1579871,10.0
1582199,0.05
1579545,4.25
1579829,0.26
1579431,1.2
1579934,0.25
1580789,0.83
1580055,22.5
1582213,1.0
1579148,8.5
1581572,0.42
1581298,0.25
1579763,1.5
1581156,0.84
1581578,1.33
1580284,0.46
1579419,0.33
1581134,2.13
1581185,2.8799999999999994
1699432,0.25
1579576,0.08
1579294,0.3
1581309,0.38
1580655,11.5
1581757,0.33
1581252,0.32
1580942,0.21
1582759,4.25
1581737,0.66
