neighborhood,bin,bin_1,total_units,total_est_gross_income,avg_gross_income_per_sqft
RIVERDALE,2083245.0,2083245.0,339.0,6063200.0,13.0
KINGSBRIDGE/JEROME PARK,2091875.0,2091875.0,105.0,1485000.0,9.9
MELROSE/CONCOURSE,2002954.0,2002954.0,59.0,411720.0,7.3
BAYCHESTER,2072463.0,2072463.0,208.0,2739200.0,10.7
HIGHBRIDGE/MORRIS HEIGHTS,2008370.0,2008370.0,42.0,292905.0,6.9
MORRISANIA/LONGWOOD,2005745.0,2005745.0,16.0,184647.0,10.09
KINGSBRIDGE/JEROME PARK,2091858.0,2091858.0,225.0,2398500.0,10.25
HIGHBRIDGE/MORRIS HEIGHTS,2008369.0,2008369.0,65.0,652016.0,8.0
RIVERDALE,2084204.0,2084204.0,90.0,1329365.0,11.5
MORRISANIA/LONGWOOD,2004128.0,2004128.0,29.0,280791.0,10.5
MELROSE/CONCOURSE,2003002.0,2003002.0,44.0,409530.0,8.03
KINGSBRIDGE/JEROME PARK,2095200.0,2095200.0,316.0,3663456.0,9.3
RIVERDALE,2091925.0,2091925.0,104.0,1819778.0,11.1
RIVERDALE,2083275.0,2083275.0,66.0,866250.0,10.5
MORRISANIA/LONGWOOD,2005804.0,2005804.0,26.0,178623.0,8.15
