fiscal_year,administrative_district_name,total,count,average
2020,OFFICE OF CHARTER SCHOOLS,2488.0,10,248.8
2020,,2451.0,10,245.1
2020,COMMUNITY SCHOOL DISTRICT 22,1260.0,4,315.0
2020,COMMUNITY SCHOOL DISTRICT 17,934.0,3,311.3333333333333
2020,COMMUNITY SCHOOL DISTRICT 15,921.0,3,307.0
2020,COMMUNITY SCHOOL DISTRICT 18,634.0,2,317.0
2020,COMMUNITY SCHOOL DISTRICT 23,632.0,2,316.0
2020,COMMUNITY SCHOOL DISTRICT 20,622.0,2,311.0
2020,COMMUNITY SCHOOL DISTRICT 01,309.0,3,103.0
2020,COMMUNITY SCHOOL DISTRICT 32,304.0,1,304.0
2020,COMMUNITY SCHOOL DISTRICT 13,302.0,1,302.0
2020,COMMUNITY SCHOOL DISTRICT 14,301.0,1,301.0
2020,COMMUNITY SCHOOL DISTRICT 06,224.0,2,112.0
2020,COMMUNITY SCHOOL DISTRICT 04,222.0,2,111.0
2020,COMMUNITY SCHOOL DISTRICT 03,217.0,2,108.5
2020,COMMUNITY SCHOOL DISTRICT 05,110.0,1,110.0
2020,CITYWIDE SPECIAL EDUCATION,108.0,1,108.0
2020,COMMUNITY SCHOOL DISTRICT 02,108.0,1,108.0
2020,ALTERNATIVE HIGH SCHOOL DISTRICT,105.0,1,105.0
