nta2020,permityear,total,average,count
QN0203,2022.0,900.0,900.0,1
MN1001,,546.0,546.0,1
MN0604,,522.0,522.0,1
MN0203,2021.0,875.0,875.0,1
BX0301,,649.0,649.0,1
BK1002,,216.0,216.0,1
BK0602,2023.0,109.0,109.0,1
MN0501,,1035.0,517.5,2
SI0105,2025.0,282.0,282.0,1
BK0503,,384.0,192.0,2
BK1502,,4.0,4.0,1
BK0102,2024.0,42.0,42.0,1
QN1403,2022.0,1234.0,617.0,2
SI0201,2023.0,287.0,287.0,1
BX0202,,717.0,358.5,2
QN0702,,297.0,297.0,1
BX0602,2006.0,906.0,906.0,1
BX1203,,621.0,621.0,1
QN1102,2022.0,915.0,915.0,1
BX0402,,652.0,652.0,1
QN1202,,360.0,360.0,1
BK0101,2023.0,45.0,45.0,1
BK1803,,171.0,171.0,1
BK1202,2023.0,228.0,228.0,1
BK0502,,197.0,197.0,1
BK0401,2023.0,80.0,80.0,1
BK0104,2024.0,41.0,41.0,1
BK0402,2023.0,298.0,149.0,2
MN1102,,713.0,356.5,2
BK1802,,27.0,27.0,1
QN1402,,409.0,409.0,1
BK1701,,151.0,151.0,1
QN1304,,454.0,454.0,1
MN1002,,575.0,575.0,1
MN0203,2022.0,875.0,875.0,1
MN0303,,502.0,502.0,1
QN0301,,332.0,332.0,1
BK0402,2025.0,200.0,100.0,2
MN0303,2023.0,502.0,502.0,1
MN1203,2022.0,589.0,589.0,1
BK0201,2024.0,116.0,116.0,1
BK0601,,233.0,233.0,1
MN0602,,1027.0,513.5,2
BK0301,2025.0,274.0,137.0,2
BK1702,2024.0,717.0,358.5,2
MN1201,2023.0,583.0,583.0,1
