brooklyn_condominiums_comparable_properties_condo_section,total_market_value_per_sqft
1144-R1,86.81
2255-R1,70.35
2189-R1,81.87
1581-R1,81.72
0182-R1,55.46
1231-R1,89.73
1232-R1,68.58
1161-R1,103.54
1082-R1,94.27
1325-R1,77.81
2344-R1,81.66
0444-R1,71.09
1354-R1,72.75
0305-R1,102.06
0441-R1,76.65
1561-R1,73.24
0287-R1,53.37
0949-R1,89.71
0151-R1,36.99
1443-R1,77.87
1823-R1,90.93
2073-R1,66.63
0100-R1,98.74
1979-R1,93.3
1883-R1,86.5
1678-R1,135.86
0885-R1,76.2
2058-R1,102.29
1661-R1,92.81
0022-R1,40.93
1818-R1,118.53
2268-R1,80.59
1624-R1,91.14
1287-R1,89.72
1651-R1,95.1
