primary_architect_first,primary_architect_last,primary_artist_first,primary_artist_last,artwork_type1,material,subject_keyword
Aymar,Embury II,Frederick,Roth,Bas-relief roundel,Marble,"Allegorical, History, Law, Government"
Aymar,Embury II,Frederick,Roth,Bas-relief roundel,Marble,"Allegorical, History, Law, Government"
Aymar,Embury II,Frederick,Roth,Bas-relief roundel,Stone,"Animals, WPA, Bathhouse"
Stanford,White,Frederick,MacMonnies,Relief,Bronze,"American Civil War , War"
Stanford,White,Frederick,MacMonnies,Relief,Granite,"American Civil War, War"
Stanford,White,Frederick,MacMonnies,Relief,Granite,"American Civil War, War"
Stamatios,Lykos,Spiro,Goggakis,Statue,"Bronze, green granite","Mythology, Greek"
Ann,Butter,Pietro,Tacca,Statue,Bronze on granite base,Animals
,,John,Ward,Statue,Granite,"World War I, War"
,,Joseph,Kiselewski,"Stele, bas-relief","Granite, bronze","War, Veterans"
,,Howard,McCalebb,Sculpture,Bronze,Abstract
,,Howard,McCalebb,Sculpture,Vermilion granite,Flight 587
,,Howard,McCalebb,Sculpture,Ceramic tile,"Mosaic, Pattern"
,,Nobuho,Nagasawa,Installation,Brick,Mosaic
,,Nobuho,Nagasawa,Installation,Ceramic tile,"Mosaic, Pattern"
,,Nobuho,Nagasawa,Installation,Bronze,Abstract
,,H.A.,Van den Eyden,Flagstaff base,"Bronze, granite","Colonial, Dutch, Native American"
,,J.,Walter,Bas-relief,Stone,"Animals, WPA, Bathhouse"
,,Frederick,Roth,Bas-relief,Stone,"Animals, WPA, Bathhouse"
,,Frederick,Roth,Bas-relief,Stone,"Animals, WPA, Bathhouse"
,,Georg,Lober,"Flagstaff base, plaque",Granite,"World War I, War"
Otto,Langman,Georg,Lober,"Flagstaff base, plaque","Iron, bronze, granite","Public Servant, Civil Servant"
,,Georg,Lober,"Flagstaff base, plaque","Bronze, granite","Animals, eagle"
,,,,"Plaque, natural boulder","Bronze, natural boulder","President of the United States, politician"
,,,,Stele,"Granite, bronze","Vietnam War, War"
,,,,Stele,Granite,"World War I, War"
,,,,Stele,"Bronze, granite","World War II, War"
,,,,Memorial wall,Granite,Biblical
,,Toshio,Sasaki,Bas-relief sculpture,Bronze,Abstract
,,Toshio,Sasaki,Bas-relief sculpture,"Paving, concrete, terrazzo",Pier
,,Toshio,Sasaki,Bas-relief sculpture,Ceramic tile,"Mosaic, Pattern"
,,,,Plaque,Aluminum,Landmark
,,,,Plaque,Bronze,"Veteran, World War II, War"
Aymar,Embury II,,,Plaque,Bronze,"World War I, War"
,,,,"Plaque, stele","Bronze, Deer island granite","World War I, War"
,,Ellen,Harvey,"Decorative pavement, mosaic",Ceramic tile,"Mosaic, Pattern"
,,Ellen,Harvey,"Decorative pavement, mosaic",Bluestone Pavers,"Abstract, Sidewalk"
,,Ellen,Harvey,"Decorative pavement, mosaic","Stainless steel, iron","Abstract, African American, Black American, Black History"
,,,,Markers,Granite,"World War I, War"
Otto,Langman,,,Markers,"Iron, bronze, granite","Public Servant, Civil Servant"
,,,,Markers,"Bronze, granite","Animals, eagle"
,,Richard,Artschwager,Site-specific installation,Ceramic tile,"Mosaic, Pattern"
,,Richard,Artschwager,Site-specific installation,Bluestone Pavers,"Abstract, Sidewalk"
,,Richard,Artschwager,Site-specific installation,"Stainless steel, iron","Abstract, African American, Black American, Black History"
