doing_business_as_dba,landmark_district_or_building,business_address,qualify_alcohol,sidewalk_dimensions_length,sidewalk_dimensions_width,legal_business_name,seating_interest_sidewalk
Springbone Kitchen,True,"90 West 3rd Street, Manhattan, NY",False,19.0,7.0,Springbone 90 West 3rd LLC,sidewalk
TROPILYZ B RESTAURANT INC,False,"2462 GRAND CONCOURSE, Bronx, NY",False,15.0,9.0,TROPILYZ B RESTAURANT INC,sidewalk
Fresh Sub 168 Inc,False,"18524A HORACE HARDING EXPY, Queens, NY",False,30.0,6.0,FRESH SUBWAY 168 INC,sidewalk
Carra LLC,False,"338  3rd Avenue , Manhattan, NY",True,65.0,7.0,Carra LLC,sidewalk
RedFarm,False,"2170 Broadway, Manhattan, NY",True,34.0,13.0,"RF Broadway, LLC",sidewalk
THE DUPLEX,False,"61 CHRISTOPHER STREET, Manhattan, NY",True,95.0,18.0,"LEGENDARY NIGHT SPOTS, INC",sidewalk
TOSOCCHON,False,"45-30  Bell Blvd, Queens, NY",True,43.0,20.0,G & J Restaurant Corp,sidewalk
LOS CAFETALES RESTAURANT CORP,False,"78-17 ROOSEVELT AVE, Queens, NY",False,20.0,8.0,LOS CAFETALES RESTAURANT CORP,sidewalk
LOS CAFETALES RESTAURANT CORP,False,"78-17 ROOSEVELT AVE, Queens, NY",False,8.0,20.0,LOS CAFETALES RESTAURANT CORP,sidewalk
Paris Oven Inc,False,"38-12 30th avenue, Queens, NY",False,20.0,20.0,Paris Oven Inc,sidewalk
MCDONALD'S,False,"16 WESTCHESTER SQ, Bronx, NY",False,45.0,15.0,"SDJR SYSTEMS 3, LLC",sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,38.0,15.0,SWEETGREEN NEW YORK LLC,sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,38.0,15.0,SWEETGREEN NEW YORK LLC,sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,38.0,15.0,SWEETGREEN NEW YORK LLC,sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,32.0,7.0,SWEETGREEN NEW YORK LLC,sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,32.0,7.0,SWEETGREEN NEW YORK LLC,sidewalk
SWEETGREEN,False,"2460 BROADWAY, Manhattan, NY",False,32.0,7.0,SWEETGREEN NEW YORK LLC,sidewalk
KEUR COUMBA RESTAURANT,False,"125 WEST  116 STREET, Manhattan, NY",False,44.0,19.0,KEUR COUMBA RESTAURANT INC,sidewalk
