applicationtrackingid,total_permit_area,permitseriesshortdesc,boroughname,permitissuedate
2025070801045400,140000.0,STREET OPENING PERMIT,BROOKLYN,2025-07-09 08:26:58
2025071400388756,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-14 10:46:41
2025071000906810,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 15:09:19
2025070900221266,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-09 09:16:27
2025071600164463,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-16 08:00:57
2025071100119983,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 08:24:26
2025071100900510,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 17:12:39
2025071000051730,,MANHOLE EMBARGO PERMIT,MANHATTAN,2025-07-10 07:11:32
2025071100214323,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-11 09:18:28
2025071500309893,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-15 09:27:45
2025071100309886,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-11 10:06:28
2025071400211340,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-14 09:10:45
2025071501190243,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-15 21:04:49
2025071100309886,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-11 10:06:31
2025071200031913,,COMMERCIAL REFUSE CONTAINER PERMIT,QUEENS,2025-07-12 08:16:13
2025071400057950,,MANHOLE EMBARGO PERMIT,MANHATTAN,2025-07-14 07:19:24
2025071200097023,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-12 11:39:16
2025071000769630,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 13:55:25
2025071000622963,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 12:44:50
2025071100138553,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 08:31:25
2025071500976823,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-15 14:48:11
2025071600925616,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-16 14:59:57
2025071400749493,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-14 14:24:49
2025071000662760,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 13:03:21
2025070900972283,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 08:52:48
2025071001036003,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 19:11:11
2025071000363286,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 10:33:06
2025070801072910,,BUILDING OPERATION PERMIT,BROOKLYN,2025-07-10 18:12:13
2025071600925616,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-16 14:59:59
2025071800067326,,MANHOLE EMBARGO PERMIT,MANHATTAN,2025-07-18 07:34:44
2025071400484636,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-14 11:40:27
2025071000103193,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 07:50:23
2021052500923256,,STREET OPENING PERMIT,BROOKLYN,2021-05-26 10:09:11
2025071100401750,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 10:46:17
2025071100784750,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 15:13:42
2025071100234853,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-11 09:27:59
2025071100137570,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 10:16:13
2025071500976823,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-15 14:48:09
2025070801045400,70000.0,STREET OPENING PERMIT,BROOKLYN,2025-07-09 08:26:09
2025071500976823,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-15 14:48:10
2025071100285123,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-11 09:58:41
2025071000235320,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-10 09:12:26
2025070801045400,105000.0,STREET OPENING PERMIT,BROOKLYN,2025-07-09 08:26:30
2025071200079816,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-12 10:21:13
2025071600057900,,MANHOLE EMBARGO PERMIT,MANHATTAN,2025-07-16 06:57:39
2025070801045400,35000.0,STREET OPENING PERMIT,BROOKLYN,2025-07-09 08:27:44
2025071400901880,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-14 16:33:02
2025071100300713,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-11 10:06:15
2025071600925616,,DOT IN-HOUSE PAVING AND MILLING,BROOKLYN,2025-07-16 14:59:54
2025071400003596,,COMMERCIAL REFUSE CONTAINER PERMIT,BROOKLYN,2025-07-14 00:33:16
