applicationtrackingid,total_permit_sqft,boroughname,permitnumberofzones
2025071100784750,,BROOKLYN,
2025070801072910,,BROOKLYN,
2025071400388756,,BROOKLYN,
2025071100137570,,BROOKLYN,
2025071100234853,,BROOKLYN,
2025071200097023,,BROOKLYN,
2025071400003596,,BROOKLYN,
2025071100138553,,BROOKLYN,
2025071600057900,,MANHATTAN,
2025071100401750,,BROOKLYN,
2021052500923256,,BROOKLYN,1.0
2025071100900510,,BROOKLYN,
2025071000235320,,BROOKLYN,
2025071100214323,,BROOKLYN,
2025071001036003,,BROOKLYN,
2025071200079816,,BROOKLYN,
2025071000363286,,BROOKLYN,
2025070900972283,,BROOKLYN,
2025071100119983,,BROOKLYN,
2025071000622963,,BROOKLYN,
2025071100285123,,BROOKLYN,
2025071000662760,,BROOKLYN,
2025070900221266,,BROOKLYN,
2025071400749493,,BROOKLYN,
2025071800067326,,MANHATTAN,
2025071400211340,,BROOKLYN,
2025071000103193,,BROOKLYN,
2025071400484636,,BROOKLYN,
2025071500976823,,BROOKLYN,
2025071400901880,,BROOKLYN,
2025070801045400,350000.0,BROOKLYN,18.0
2025071000906810,,BROOKLYN,
2025071100300713,,BROOKLYN,
2025071000051730,,MANHATTAN,
2025071000769630,,BROOKLYN,
2025071500309893,,BROOKLYN,
2025071600164463,,BROOKLYN,
2025071600925616,,BROOKLYN,
2025071200031913,,QUEENS,
2025071501190243,,BROOKLYN,
2025071100309886,,BROOKLYN,
2025071400057950,,MANHATTAN,
