schooldbn,total_swd_seats_prog9
08X101,
13K113,
03M334,
06M018,
19K661,
24Q061,
19K663,
10X368,
10X308,
04M224,
09X593,
27Q105,
03M054,
11X529,
18K581,
17K189,
21K288,
19K678,
10X095,
21K238,
14K586,
23K184,
09X229,
