location_code,total_avg_property_incidents,location_code_1,latitude,longitude,latitude_1,longitude_1,school_year
K041,0.63,K041,40.660306,-73.907355,40.660306,-73.907355,2016 - 17
K580,,K580,40.694926,-73.986015,40.694926,-73.986015,2016 - 17
K179,0.63,K179,40.640463,-73.977642,40.640463,-73.977642,2016 - 17
K285,0.63,K285,40.646877,-73.920977,40.646877,-73.920977,2016 - 17
K712,,K712,40.688419,-73.924833,40.688419,-73.924833,2016 - 17
M079,0.75,M079,40.802419,-73.942634,40.802419,-73.942634,2016 - 17
K670,0.75,K670,40.695332,-73.969243,40.695332,-73.969243,2016 - 17
M042,0.75,M042,40.715905,-73.990895,40.715905,-73.990895,2016 - 17
M149,0.63,M149,40.80247,-73.946716,40.80247,-73.946716,2016 - 17
Q176,0.98,Q176,40.685492,-73.729982,40.685492,-73.729982,2016 - 17
R021,0.75,R021,40.631523,-74.144297,40.631523,-74.144297,2016 - 17
X368,,X368,40.879368,-73.909896,40.879368,-73.909896,2016 - 17
K366,0.63,K366,40.647323,-73.892022,40.647323,-73.892022,2016 - 17
K420,,K420,40.691146,-73.868328,40.691146,-73.868328,2016 - 17
K405,2.55,K405,40.633237,-73.952929,40.633237,-73.952929,2016 - 17
K738,,K738,40.594124,-73.937696,40.594124,-73.937696,2016 - 17
K284,0.98,K284,40.667377,-73.908214,40.667377,-73.908214,2016 - 17
K223,,K223,40.634875,-73.981528,40.634875,-73.981528,2016 - 17
K078,,K078,40.621224,-73.91287,40.621224,-73.91287,2016 - 17
X434,3.63,X434,40.860043,-73.888267,40.860043,-73.888267,2016 - 17
K243,0.51,K243,40.676094,-73.935688,40.676094,-73.935688,2016 - 17
M408,,M408,40.761448,-73.988019,40.761448,-73.988019,2016 - 17
M452,,M452,40.780822,-73.976855,40.780822,-73.976855,2016 - 17
K414,0.75,K414,40.709647,-73.95465,40.709647,-73.95465,2016 - 17
K104,1.72,K104,40.618415,-74.028842,40.618415,-74.028842,2016 - 17
M158,1.26,M158,40.770419,-73.951135,40.770419,-73.951135,2016 - 17
K012,1.26,K012,40.673073,-73.919594,40.673073,-73.919594,2016 - 17
Q014,1.39,Q014,40.74056,-73.854131,40.74056,-73.854131,2016 - 17
M084,7.840000000000002,M084,40.789526,-73.967574,40.789526,-73.967574,2016 - 17
K455,,K455,40.67944,-73.932407,40.67944,-73.932407,2016 - 17
M539,0.75,M539,40.718895,-73.979308,40.718895,-73.979308,2016 - 17
M212,2.04,M212,40.761448,-73.988019,40.761448,-73.988019,2016 - 17
K553,1.96,K553,40.685004,-73.947152,40.685004,-73.947152,2016 - 17
K630,,K630,40.594124,-73.937696,40.594124,-73.937696,2016 - 17
K195,0.75,K195,40.579451,-73.943819,40.579451,-73.943819,2016 - 17
K674,,K674,40.694926,-73.986015,40.694926,-73.986015,2016 - 17
X600,,X600,40.818232,-73.919867,40.818232,-73.919867,2016 - 17
M047,,M047,40.738548,-73.982455,40.738548,-73.982455,2016 - 17
K373,,K373,40.698869,-73.945042,40.698869,-73.945042,2016 - 17
K628,,K628,40.681896,-73.935963,40.681896,-73.935963,2016 - 17
M223,,M223,40.815458,-73.952908,40.815458,-73.952908,2016 - 17
X377,,X377,40.82229,-73.856167,40.82229,-73.856167,2016 - 17
M194,,M194,40.821535,-73.940941,40.821535,-73.940941,2016 - 17
Q008,2.55,Q008,40.69719,-73.787192,40.69719,-73.787192,2016 - 17
K147,2.25,K147,40.705204,-73.939407,40.705204,-73.939407,2016 - 17
M234,,M234,40.71602,-74.011035,40.71602,-74.011035,2016 - 17
M094,2.25,M094,40.70644,-74.017818,40.70644,-74.017818,2016 - 17
K031,0.75,K031,40.726587,-73.95427,40.726587,-73.95427,2016 - 17
K301,0.63,K301,40.686076,-73.945229,40.686076,-73.945229,2016 - 17
