gis_latitude,total_dimension1,average_dimension2
40.693892,0.0,0.0
40.671074,0.0,0.0
40.619656,0.0,0.0
40.749076,0.0,0.0
40.841359,0.0,0.0
40.653557,0.0,0.0
40.654841,4930.0,0.0
40.725315,0.0,0.0
40.722932,0.0,0.0
40.847527,0.0,0.0
40.867882,0.0,0.0
40.745402,0.0,0.0
40.698749,0.0,0.0
40.691315,0.0,0.0
40.710142,0.0,0.0
40.681886,0.0,0.0
40.728744,0.0,0.0
40.680261,0.0,0.0
40.677266,0.0,0.0
40.660425,0.0,0.0
40.689071,0.0,0.0
40.630999,4738.0,0.0
40.745216,0.0,0.0
40.567089,0.0,0.0
40.672881,0.0,0.0
40.697233,0.0,0.0
40.625455,0.0,0.0
40.693707,0.0,0.0
40.765409,0.0,0.0
40.667715,0.0,0.0
40.69045,0.0,0.0
40.748119,0.0,0.0
40.714646,0.0,0.0
40.640224,3604.0,0.0
40.597597,0.0,0.0
40.875481,0.0,0.0
40.631884,2082.0,0.0
40.594078,2230.0,0.0
40.831657,0.0,0.0
40.781147,0.0,0.0
40.716434,6515.0,0.0
40.753628,0.0,0.0
40.697326,0.0,0.0
40.769919,0.0,0.0
40.694342,0.0,0.0
40.615138,0.0,0.0
40.71851,0.0,0.0
40.610208,0.0,0.0
40.613889,0.0,0.0
40.632867,0.0,0.0
