school_name,unnamed_column,unnamed_column_1,school_name_1,principal,total_student_communication_score
P.S. 207 Elizabeth G. Leary,K207,K207,P.S. 207 Elizabeth G. Leary,Mary Bosco,6.6
Jill Chaifetz Transfer High School,X379,X379,Jill Chaifetz Transfer High School,Anne Fennelly,6.9
DreamYard Preparatory School,X329,X329,DreamYard Preparatory School,Rod Bowen,5.8
"Mathematics, Science Research and Technology Magnet High School",Q492,Q492,"Mathematics, Science Research and Technology Magnet High School",Andrea G. Holt,5.5
Franklin Delano Roosevelt High School,K505,K505,Franklin Delano Roosevelt High School,Geraldine Maione,5.2
High School of American Studies at Lehman College,X696,X696,High School of American Studies at Lehman College,Alessandro Weiss,6.6
P.S. 137 John L. Bernstein,M137,M137,P.S. 137 John L. Bernstein,Melissa Rodriguez,
Validus Preparatory Academy: An Expeditionary Learning School,X263,X263,Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,5.9
P.S. 101 Andrew Draper,M101,M101,P.S. 101 Andrew Draper,Alexander Castillo,6.4
Multicultural High School,K583,K583,Multicultural High School,Altagracia Liciaga,5.5
Leadership and Public Service High School,M425,M425,Leadership and Public Service High School,Lawrence Pendergast,5.7
Queens High School for the Sciences at York College,Q687,Q687,Queens High School for the Sciences at York College,Jie Zhang,6.2
M.S. 224 Manhattan East School for Arts & Academics,M224,M224,M.S. 224 Manhattan East School for Arts & Academics,Liliana Sarro,6.4
Queens Vocational and Technical High School,Q600,Q600,Queens Vocational and Technical High School,Denise Vittor,5.4
I.S. 98 Bay Academy,K098,K098,I.S. 98 Bay Academy,Mrs. Marian Nagler,6.0
J.H.S. M044 William J. O'Shea,M044,M044,J.H.S. M044 William J. O'Shea,Liza Ortiz,6.0
Brooklyn Democracy Academy,K643,K643,Brooklyn Democracy Academy,Thomas Mckenna,6.6
M.S. 243 Center School,M243,M243,M.S. 243 Center School,Elaine Schwartz,7.6
M.S. 223 The Laboratory School of Finance and Technology,X223,X223,M.S. 223 The Laboratory School of Finance and Technology,Ramon Gonzalez,6.7
P.S. 003 The Margaret Gioiosa School,R003,R003,P.S. 003 The Margaret Gioiosa School,Donna Gioello,
High School for Law Enforcement and Public Safety,Q690,Q690,High School for Law Enforcement and Public Safety,Diahann E. Malcolm,5.0
Urban Assembly Academy of Civic Engagement,X366,X366,Urban Assembly Academy of Civic Engagement,Cameron Berube,7.0
River East Elementary,M037,M037,River East Elementary,Alison Mckenzie,
High School for Contemporary Arts,X544,X544,High School for Contemporary Arts,Francisco Sanchez,5.3
"High School for Arts, Imagination and Inquiry",M299,M299,"High School for Arts, Imagination and Inquiry",Stephen Noonan,5.5
John V. Lindsay Wildcat Academy Charter School,M707,M707,John V. Lindsay Wildcat Academy Charter School,Ron Tabano & Marc Donald,6.7
P.S./I.S. 210 - 21st Century Academy for Community Leadership,M210,M210,P.S./I.S. 210 - 21st Century Academy for Community Leadership,Evelyn Linares,6.7
Port Richmond High School,R445,R445,Port Richmond High School,Timothy M. Gannon,5.0
I.S. 072 Rocco Laurie,R072,R072,I.S. 072 Rocco Laurie,Peter Macellari,5.6
Frances Perkins Academy,K632,K632,Frances Perkins Academy,Javier Guzman,5.6
P.S. 051 Elias Howe,M051,M051,P.S. 051 Elias Howe,Nancy Sing Bock,
P.S. 133 Fred R Moore,M133,M133,P.S. 133 Fred R Moore,Pamela Craig,5.9
Pablo Neruda Academy for Architecture and World Studies,X305,X305,Pablo Neruda Academy for Architecture and World Studies,Ivan Cohen,5.7
George Washington Educational Campus YABC,M457,M457,George Washington Educational Campus YABC,Nicholas Politis,12.2
Isaac Newton Middle School for Math & Science,M825,M825,Isaac Newton Middle School for Math & Science,Lisa Nelson,6.7
Bronx Latin,X267,X267,Bronx Latin,Leticia Pineiro,6.1
Eleanor Roosevelt High School,M416,M416,Eleanor Roosevelt High School,Dimitri Saliani,6.5
Grace Dodge Career and Technical Education High School,X660,X660,Grace Dodge Career and Technical Education High School,Roberto Hernandez,10.0
Richard R. Green High School of Teaching,M580,M580,Richard R. Green High School of Teaching,David Raubvogel,5.6
Abraham Lincoln YABC,K411,K411,Abraham Lincoln YABC,Ari Hoogenboom,6.5
P.S. 161 Pedro Albizu Campos,M161,M161,P.S. 161 Pedro Albizu Campos,Barbara D. Freeman,7.0
P.S. 046 Arthur Tappan,M046,M046,P.S. 046 Arthur Tappan,George Young,7.0
High School for Service & Learning at Erasmus,K539,K539,High School for Service & Learning at Erasmus,Leonard Kassan,5.9
Fannie Lou Hamer Freedom High School,X682,X682,Fannie Lou Hamer Freedom High School,Nancy Mann,6.2
P.S. /I.S. 384 Frances E. Carter,K384,K384,P.S. /I.S. 384 Frances E. Carter,Brunhilda Perez-Ortiz,7.0
Boys and Girls High School,K455,K455,Boys and Girls High School,Spencer Holder,5.5
M.S. 390,X390,X390,M.S. 390,Robert Mercedes,
University Neighborhood High School,M448,M448,University Neighborhood High School,Robert Miller,5.3
Upper School @ P.S. 25,K534,K534,Upper School @ P.S. 25,William Cooper,5.7
J.H.S. 014 Shell Bank,K014,K014,J.H.S. 014 Shell Bank,Anne Tully,5.6
