latitude,longitude,category,count,avg_value,total_value,max_value
40.869385,-73.893248,small,1,44.0,44.0,44
40.638993,-74.171244,small,10,1.0,10.0,1
40.809134,-73.910554,small,2,32.0,64.0,42
40.68324,-73.909468,small,1,8.0,8.0,8
40.638932,-74.17124,large,2,122.0,244.0,122
40.831149,-73.921156,medium,1,75.0,75.0,75
40.848049,-73.904328,small,1,42.0,42.0,42
40.639635,-74.171256,small,10,1.0,10.0,1
40.637972,-74.171219,small,12,3.25,39.0,19
40.648729,-74.01631,small,3,6.0,18.0,8
40.877049,-73.849518,small,60,10.933333333333334,656.0,15
40.638032,-74.17122,large,2,122.0,244.0,122
40.63958,-74.171256,small,10,1.0,10.0,1
40.877497,-73.84772,small,30,10.933333333333334,328.0,15
40.835303,-73.85697,small,1,24.0,24.0,24
40.660666,-73.990557,small,3,6.0,18.0,8
40.87759,-73.849791,small,30,10.933333333333334,328.0,15
40.667748,-73.899616,small,3,4.0,12.0,4
40.876729,-73.85031,small,60,10.933333333333334,656.0,15
40.750555,-73.942664,large,1,240.0,240.0,240
40.638932,-74.17124,small,10,1.0,10.0,1
40.658708,-73.9301,small,1,9.0,9.0,9
40.638993,-74.171244,large,2,122.0,244.0,122
40.632723,-73.944733,small,1,36.0,36.0,36
40.746303,-73.942452,small,1,34.0,34.0,34
40.799661,-73.963849,small,2,14.5,29.0,19
40.601083,-73.756295,small,1,26.0,26.0,26
40.829029,-73.887148,large,2,138.0,276.0,169
40.697663,-73.986191,medium,1,73.0,73.0,73
40.673479,-73.896284,small,1,50.0,50.0,50
40.806169,-73.950361,medium,1,56.0,56.0,56
40.716686,-73.980463,large,1,219.0,219.0,219
40.772138,-73.92563,medium,1,68.0,68.0,68
40.63958,-74.171256,large,2,122.0,244.0,122
40.839955,-73.922468,small,1,8.0,8.0,8
40.877242,-73.850599,small,30,10.933333333333334,328.0,15
40.846279,-73.903821,large,1,111.0,111.0,111
40.638032,-74.17122,small,10,1.0,10.0,1
40.637972,-74.171219,large,2,122.0,244.0,122
40.892055,-73.860743,small,1,25.0,25.0,25
40.877017,-73.850458,small,30,10.933333333333334,328.0,15
40.87756,-73.849773,small,30,10.933333333333334,328.0,15
40.693046,-73.9275,small,3,5.666666666666667,17.0,8
40.81164,-73.946369,small,1,48.0,48.0,48
40.639635,-74.171256,large,2,122.0,244.0,122
40.754485,-73.93332,medium,1,63.0,63.0,63
40.838411,-73.899557,small,7,25.571428571428573,179.0,48
40.83134,-73.915244,small,2,8.0,16.0,11
40.837981,-73.907118,medium,1,98.0,98.0,98
