t1_bin__,t4_bin__,t3_job__,t1_job__,category,count,avg_value,total_value,max_value
1040809,1040809,110458843,110458843,no_construction_area,1,0.0,0.0,0
3071890,3071890,321051721,321051721,no_construction_area,1,0.0,0.0,0
5042017,5042017,500631710,500631710,small_project,1,2230.0,2230.0,2230
4080447,4080447,440673923,440673923,no_construction_area,1,0.0,0.0,0
2009750,2009750,240278150,240278150,no_construction_area,1,0.0,0.0,0
4436445,4436445,421382827,421382827,no_construction_area,1,0.0,0.0,0
4123651,4123651,440686385,440686385,no_construction_area,1,0.0,0.0,0
4244631,4244631,440697079,440697079,no_construction_area,1,0.0,0.0,0
3065098,3065098,321969633,321969633,no_construction_area,1,0.0,0.0,0
2826970,2826970,240304247,240304247,no_construction_area,1,0.0,0.0,0
1048094,1048094,140922893,140922893,no_construction_area,1,0.0,0.0,0
1007297,1007297,122984841,122984841,no_construction_area,1,0.0,0.0,0
1082153,1082153,123480072,123480072,no_construction_area,1,0.0,0.0,0
3001503,3001503,340778297,340778297,no_construction_area,1,0.0,0.0,0
5003250,5003250,540197883,540197883,no_construction_area,1,0.0,0.0,0
3047669,3047669,340841254,340841254,no_construction_area,1,0.0,0.0,0
1016957,1016957,110199419,110199419,no_construction_area,1,0.0,0.0,0
3334738,3334738,321740167,321740167,no_construction_area,1,0.0,0.0,0
3343256,3343256,340811170,340811170,no_construction_area,1,0.0,0.0,0
5174426,5174426,520451494,520451494,no_construction_area,1,0.0,0.0,0
3057923,3057923,340820437,340820437,no_construction_area,1,0.0,0.0,0
2061106,2061106,240308403,240308403,no_construction_area,1,0.0,0.0,0
1065071,1065071,121789323,121789323,no_construction_area,1,0.0,0.0,0
