floor_id,total_fee_amount,item_detail,floor_name
0,16770.0,'4/3 riser',
00176498-4302-E911-811C-005056B627E4,36.0,'',Floor Number(s)
0,16770.0,'3#2',
3A934D7E-5D22-E811-8117-005056B627E4,2.0,'',Ground Floor
FFEC446D-ED44-E811-8117-005056B627E4,11.75,'',Floor Number(s)
0,16770.0,'1 X 2400A',
0,16770.0,'60 CKT',
002BF73A-F319-E911-811D-8CFAEDA547D3,23.25,'',Floor Number(s)
0,16770.0,'3 #2 awg',
D77CDDDF-3AC7-E811-811B-005056B627E4,51.25,'',Floor Number(s)
0,16770.0,'24 pole 125A',
0,16770.0,"'36sets2/0, 3sets3/0, 4 sets4/0'",
0,16770.0,"'3x#6,3x3x#10'",
0,16770.0,'3-#6 & 1-#8G',
0,16770.0,'St Johnson',
0,83850.0,'',
0,16770.0,'30 circuits',
FFC09EAC-F153-E911-8120-005056B627E4,24.5,'',Basement
91BCA85D-7C21-E811-8117-005056B627E4,7.25,'',Basement
0,16770.0,'4/000',
0,16770.0,'1 SET OF 3/O',
0,16770.0,'24-circuit',
0,16770.0,"'1 #6 SER , 1 #6 FED'",
F78C27F6-0B5A-E911-8120-005056B627E6,36.5,'',Floor Number(s)
FFD511FC-252A-E811-8117-005056B627E4,39.25,'',Penthouse
0,16770.0,'100 amp',
FF9E8962-17DD-E811-811A-005056B627E6,40.0,'',Attic
FF0E544E-A0FF-E811-811C-005056B627E4,14.0,'',Floor Number(s)
0,16770.0,'1 - 20 circ.',
0,16770.0,'1-100 amps',
0,16770.0,'42 circuit breaker panels',
0,16770.0,"'2@20AMP, 1@15AMP'",
0,16770.0,'45 amps',
190FF191-3F17-E811-8117-005056B627E4,121.0,'',Floor Number(s)
690C9775-5721-E811-8117-005056B627E4,5.0,'',Basement
0,16770.0,'30 amps for fire alarm',
0,16770.0,'2@30A',
DE7F7D43-0568-E811-8119-005056B627E6,3742.0,'',Floor Number(s)
FFC3AABE-8D55-E911-8120-005056B627E4,124.25,'',Floor Number(s)
0,16770.0,'3@10 1@8',
BF3D7914-FADD-E811-811A-005056B627E6,62.75,'',Basement
0,16770.0,"'(1) 200A, (3) 100A'",
0,16770.0,'8/16',
0,16770.0,"'3x#6,3x#10,2x2x#10'",
FF90011B-0D52-E911-8120-005056B627E4,42.25,'',Sub-Cellar #2
0,16770.0,'#3AWG',
