manhattan_condominium_property_neighborhood,total_dimension1,average_dimension2,latitude,longitude,latitude_1,longitude_1,bin,bin_1
KIPS BAY,51599981.0,207.0,40.737368,-73.979782,40.737368,-73.979782,1020579.0,1020579.0
CLINTON,906000.0,16.0,40.762673,-73.989553,40.762673,-73.989553,1026606.0,1026606.0
LITTLE ITALY,5362866.0,15.0,40.722278,-73.994336,40.722278,-73.994336,1084914.0,1084914.0
GREENWICH VILLAGE-CENTRAL,1050000.0,15.0,40.734748,-73.996727,40.734748,-73.996727,1076074.0,1076074.0
SOHO,14900002.0,40.0,40.726039,-74.009658,40.726039,-74.009658,1087495.0,1087495.0
MIDTOWN EAST,44000000.0,260.0,40.759926,-73.966737,40.759926,-73.966737,1076272.0,1076272.0
UPPER EAST SIDE (59-79),3260004.0,28.0,40.768187,-73.955707,40.768187,-73.955707,1045862.0,1045862.0
TRIBECA,14600007.0,38.0,40.715987,-74.010248,40.715987,-74.010248,1001505.0,1001505.0
TRIBECA,114999983.0,546.0,40.708809,-74.016116,40.708809,-74.016116,1065475.0,1065475.0
TRIBECA,5900000.0,24.0,40.719246,-74.006313,40.719246,-74.006313,1002154.0,1002154.0
CHELSEA,19900004.0,93.0,40.747086,-73.993457,40.747086,-73.993457,1015096.0,1015096.0
MIDTOWN CBD,78800007.0,236.0,40.761275,-73.969938,40.761275,-73.969938,1036926.0,1036926.0
KIPS BAY,19240000.0,36.0,40.737612,-73.980319,40.737612,-73.980319,1084795.0,1084795.0
MURRAY HILL,20099989.0,118.0,40.74696,-73.97705,40.74696,-73.97705,1020214.0,1020214.0
UPPER EAST SIDE (79-96),3939996.0,29.0,40.785114,-73.955114,40.785114,-73.955114,1047142.0,1047142.0
FINANCIAL,19000009.0,126.0,40.70536,-74.008602,40.70536,-74.008602,1000835.0,1000835.0
UPPER EAST SIDE (59-79),16100000.0,84.0,40.769465,-73.967894,40.769465,-73.967894,1041237.0,1041237.0
MIDTOWN EAST,11300002.0,14.0,40.758819,-73.964156,40.758819,-73.964156,1087647.0,1087647.0
GREENWICH VILLAGE-CENTRAL,1980000.0,24.0,40.729377,-74.001606,40.729377,-74.001606,1066879.0,1066879.0
CHELSEA,14200000.0,33.0,40.742628,-73.994197,40.742628,-73.994197,1087724.0,1087724.0
MIDTOWN WEST,4580001.0,33.0,40.765342,-73.977542,40.765342,-73.977542,1084293.0,1084293.0
GREENWICH VILLAGE-CENTRAL,3529998.0,17.0,40.734537,-73.996218,40.734537,-73.996218,1087759.0,1087759.0
UPPER WEST SIDE (59-79),69299975.0,199.0,40.773997,-73.982233,40.773997,-73.982233,1028839.0,1028839.0
UPPER WEST SIDE (59-79),8190004.0,92.0,40.780449,-73.981462,40.780449,-73.981462,1030741.0,1030741.0
MIDTOWN EAST,9220004.0,90.0,40.757083,-73.966013,40.757083,-73.966013,1039848.0,1039848.0
MIDTOWN WEST,65199999.0,65.0,40.768406,-73.982076,40.768406,-73.982076,1026318.0,1026318.0
TRIBECA,91199996.0,234.0,40.706146,-74.016873,40.706146,-74.016873,1087238.0,1087238.0
FASHION,22100002.0,89.0,40.752654,-73.985707,40.752654,-73.985707,1015272.0,1015272.0
MIDTOWN EAST,37200007.0,173.0,40.753551,-73.971226,40.753551,-73.971226,1037604.0,1037604.0
FLATIRON,78400071.0,423.0,40.740426,-73.988976,40.740426,-73.988976,1016304.0,1016304.0
MIDTOWN EAST,41499997.0,261.0,40.753118,-73.972085,40.753118,-73.972085,1037599.0,1037599.0
UPPER WEST SIDE (79-96),29900000.0,108.0,40.788594,-73.971197,40.788594,-73.971197,1032320.0,1032320.0
FINANCIAL,11600000.0,67.0,40.709639,-74.008325,40.709639,-74.008325,1001215.0,1001215.0
MIDTOWN WEST,26600017.0,122.0,40.761262,-73.987572,40.761262,-73.987572,1087980.0,1087980.0
GRAMERCY,52300000.0,329.0,40.737327,-73.981326,40.737327,-73.981326,1019731.0,1019731.0
UPPER WEST SIDE (59-79),12100007.0,93.0,40.782381,-73.976522,40.782381,-73.976522,1070591.0,1070591.0
TRIBECA,13100003.0,80.0,40.716745,-74.010862,40.716745,-74.010862,1075706.0,1075706.0
UPPER EAST SIDE (59-79),15699998.0,20.0,40.772899,-73.960033,40.772899,-73.960033,1043173.0,1043173.0
TRIBECA,2850003.0,20.0,40.718038,-74.008932,40.718038,-74.008932,1002045.0,1002045.0
FLATIRON,20100007.0,67.0,40.740855,-73.994277,40.740855,-73.994277,1015487.0,1015487.0
GRAMERCY,8570000.0,32.0,40.734525,-73.985971,40.734525,-73.985971,1019536.0,1019536.0
MIDTOWN EAST,25800003.0,85.0,40.75405,-73.968483,40.75405,-73.968483,1039489.0,1039489.0
CHELSEA,6629998.0,39.0,40.746836,-74.002162,40.746836,-74.002162,1012691.0,1012691.0
LOWER EAST SIDE,9740000.0,80.0,40.712411,-73.992991,40.712411,-73.992991,1084603.0,1084603.0
LOWER EAST SIDE,2109998.0,13.0,40.713339,-73.990546,40.713339,-73.990546,1087057.0,1087057.0
UPPER WEST SIDE (59-79),57200000.0,452.0,40.777464,-73.986171,40.777464,-73.986171,1070696.0,1070696.0
UPPER WEST SIDE (59-79),58100023.0,277.0,40.776674,-73.98923,40.776674,-73.98923,1086247.0,1086247.0
MIDTOWN EAST,252999996.0,370.0,40.751983,-73.967538,40.751983,-73.967538,1038909.0,1038909.0
TRIBECA,107999966.0,249.0,40.707047,-74.017439,40.707047,-74.017439,1085778.0,1085778.0
