fact_column,permit_count,application_date,trailer_state,end_city
HAR-2023315-12021,1,2023-03-15 22:33:39+08:00,NJ,
HAR-2023921-31753,1,2023-09-22 00:35:15+08:00,NJ,MANHATTAN
New-2023929-32438,1,2023-09-29 19:26:09+08:00,ME,MANHATTAN
Wes-2023117-2241,1,2023-01-17 23:59:04+08:00,ME,BROOKLYN
New-2023517-20862,1,2023-05-18 00:35:24+08:00,,MANHATTAN
Hig-2022318-9702,1,2022-03-19 00:19:24+08:00,NJ,
Joh2-2021122-37528,1,2021-12-02 16:46:23+08:00,GA,BROOKLYN
All1-2023424-17873,1,2023-04-25 00:48:25+08:00,NY,New York
Mut-202346-15454,1,2023-04-07 01:11:02+08:00,NY,
Com2-2022419-14562,1,2022-04-19 21:06:12+08:00,GA,Queens
Amb-2021913-27230,1,2021-09-13 19:32:07+08:00,NJ,Brooklyn
209-2023124-3411,1,2023-01-24 21:23:31+08:00,GA,MANHATTAN
SP-2022110-713,1,2022-01-10 21:05:05+08:00,PA,Staten Island
New-2022103-38706,1,2022-10-04 01:37:40+08:00,NY,
New-202254-17117,1,2022-05-05 03:52:55+08:00,ON,
HAR-202346-15404,1,2023-04-06 23:21:32+08:00,NJ,
HAR-2023314-11901,1,2023-03-15 02:26:02+08:00,NJ,BROOKLYN
BAR-2021719-20382,1,2021-07-20 06:33:24+08:00,AL,
New-2021812-23402,1,2021-08-12 22:30:26+08:00,NJ,BROOKLYN
UNT2-202214-152,1,2022-01-04 19:11:37+08:00,PA,Queens
Mut-20221011-39970,1,2022-10-11 23:59:11+08:00,PA,
HAR-20231116-36933,1,2023-11-16 22:35:49+08:00,NJ,
HAR-20221213-49423,1,2022-12-13 23:00:51+08:00,NJ,MANHATTAN
HAR-2023125-38524,1,2023-12-05 23:25:51+08:00,NJ,
New-2022624-24595,1,2022-06-24 23:21:46+08:00,PA,
THE1-2021106-30623,1,2021-10-06 21:40:25+08:00,ME,
Edw-202278-26223,1,2022-07-09 00:16:54+08:00,GA,Brooklyn
Con3-20221020-41624,1,2022-10-20 22:16:08+08:00,NY,Bronx
HAR-2022510-17734,1,2022-05-10 16:06:33+08:00,NJ,MANHATTAN
NJ-2022127-48556,1,2022-12-08 02:55:03+08:00,ME,MASPETH
JAM-20221129-46794,1,2022-11-29 18:50:30+08:00,PA,
Mut-2023428-18687,1,2023-04-28 23:01:31+08:00,PA,
NYC3-2021910-26960,1,2021-09-10 17:25:25+08:00,NY,Bronx
HAR-202245-12283,1,2022-04-05 18:40:17+08:00,NJ,
Hig-20211115-35781,1,2021-11-15 21:23:03+08:00,NH,
NJ-202322-5409,1,2023-02-03 03:26:53+08:00,ME,
Ans-2022317-9438,1,2022-03-17 20:12:58+08:00,PA,New York
Hig-2022531-20399,1,2022-05-31 17:40:08+08:00,,MANHATTAN
Com-2023428-18696,1,2023-04-29 01:35:32+08:00,NJ,
Cen1-202182-21917,1,2021-08-02 15:40:54+08:00,GA,New York
Jac-2022322-10187,1,2022-03-22 20:44:26+08:00,PA,MANHATTAN
HAR-2022929-38008,1,2022-09-29 16:38:26+08:00,NJ,MANHATTAN
Pla-2022114-43986,1,2022-11-05 07:01:51+08:00,,Bronx
Blu-2023320-12589,1,2023-03-20 20:14:36+08:00,PA,Brooklyn
THE1-2023427-18513,1,2023-04-28 00:13:58+08:00,ME,THE BRONX
HAR-2023912-30784,1,2023-09-12 21:52:51+08:00,NJ,MANHATTAN
Cus-2022321-10038,1,2022-03-22 02:27:03+08:00,NY,
Blu-2021927-29244,1,2021-09-27 18:53:18+08:00,PA,brooklyn
New-2022928-37920,1,2022-09-28 23:45:33+08:00,,BROOKLYN
Eli-2023228-9584,1,2023-03-01 02:03:23+08:00,WA,
