fact_column,total_dimension1,average_dimension2,bin,bin_1,building_location,building_location_1,amenities_required,public_space_type
Manhattan,33.0,225537.0,1082901.0,1082901.0,Northwest corner of Third Avenue and East 96th Street,Northwest corner of Third Avenue and East 96th Street,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,Residential Plaza
Manhattan,43.0,216933.0,1024812.0,1024812.0,West side of Broadway between West 50th and 51st Streets,West side of Broadway between West 50th and 51st Streets,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees within Space,Special Permit Arcade; Special Permit Plaza; Underground Concourse
Manhattan,44.0,212562.0,1037547.0,1037547.0,South side of East 42nd Street between Second and Third Avenues,South side of East 42nd Street between Second and Third Avenues,Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,Urban Plaza
Manhattan,7501.0,218665.0,1045832.0,1045832.0,"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.","South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Seating; Trees on Street; Trees within Space,Residential Plaza
Manhattan,7501.0,207891.0,1015318.0,1015318.0,Southwest corner of West 16th Street Fifth Avenue,Southwest corner of West 16th Street Fifth Avenue,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature,Residential Plaza
Manhattan,7501.0,214395.0,1036233.0,1036233.0,North side of East 48th Street between Third and Lexington Avenues,North side of East 48th Street between Third and Lexington Avenues,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,Pedestrian Circulation Space; Urban Plaza
Manhattan,70.0,212982.0,1014387.0,1014387.0,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,Arcade; Plaza
Manhattan,29.0,222650.0,1030373.0,1030373.0,Full blockfront on west side of Broadway between West 70th and 71st Streets,Full blockfront on west side of Broadway between West 70th and 71st Streets,,Plaza
Manhattan,1.0,210278.0,1022057.0,1022057.0,"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street","Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space,Residential Plaza
Manhattan,7506.0,213715.0,1037599.0,1037599.0,South side of East 47th Street between Second and Third Avenues,South side of East 47th Street between Second and Third Avenues,,Plaza
Manhattan,29.0,214729.0,1080824.0,1080824.0,Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,Litter Receptacles; Planting; Plaque/Sign; Seating,Plaza
Manhattan,50.0,208569.0,1019782.0,1019782.0,Southeast corner of East 24th Street and Third Avenue,Southeast corner of East 24th Street and Third Avenue,,Plaza
Manhattan,29.0,215679.0,1022678.0,1022678.0,West side of Sixth Avenue between West 47th and 48th Streets,West side of Sixth Avenue between West 47th and 48th Streets,Escalator; Lighting; None; Retail Frontage; Subway,Plaza; Subway Concourse; Through Block Arcade
Manhattan,23.0,221761.0,1049931.0,1049931.0,Northwest corner of First Avenue and East 83rd Street,Northwest corner of First Avenue and East 83rd Street,,Plaza
Manhattan,42.0,211868.0,1020361.0,1020361.0,South side of East 39th Street between Second and Third Avenues,South side of East 39th Street between Second and Third Avenues,Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space,Plaza
Manhattan,72.0,219844.0,1042760.0,1042760.0,Southeast corner of Park Avenue and East 71st Street,Southeast corner of Park Avenue and East 71st Street,,Arcade; Plaza
Manhattan,7501.0,216970.0,1044249.0,1044249.0,Southeast corner of Second Avenue and East 62nd Street,Southeast corner of Second Avenue and East 62nd Street,Artwork; Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,Residential Plaza
Manhattan,7501.0,222681.0,1047704.0,1047704.0,Northwest corner of Third Avenue and East 84th Street,Northwest corner of Third Avenue and East 84th Street,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature,Residential Plaza
