fact_column,total_dimension1,average_dimension2
CAREGIVER SERVICES CONTRACTS,1.0,10038.0
GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3.0,10001.0
OLDER ADULT CENTER CONTRACTS,423.0,10828.70588235294
HOME DELIVERED MEAL SERVICE CONTRACTS,491.0,11142.058823529413
CASE MANAGEMENT SERVICES CONTRACTS,74.0,11221.0
