school_name,total_programs
Thurgood Marshall Academy for Learning and Social Change,1.0
Mott Haven Village Preparatory High School,1.0
"Science, Technology and Research Early College High School at Erasmus",1.0
Validus Preparatory Academy: An Expeditionary Learning School,1.0
Pelham Lab High School,1.0
High School for Violin and Dance,1.0
Martin Van Buren High School,5.0
Richard R. Green High School of Teaching,2.0
Herbert H. Lehman High School.,3.0
Brooklyn Lab School,1.0
Beacon High School,1.0
Bronx Leadership Academy II High School,1.0
Frederick Douglass Academy VII High School,1.0
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,6.0
Brooklyn Preparatory High School,1.0
Francis Lewis High School,5.0
Bronx Envision Academy,1.0
PROGRESS High School for Professional Careers,4.0
Institute for Health Professions at Cambria Heights,1.0
