program_code,t2_program_code,site_id,t3_site_id,program_name,t4_program_name,location_1,t5_location_1,location_2,t6_location_2,class_instructional_support_score,strong_family_community_ties_survey_percent_positive,class_classroom_organization_score,class_instructional_support_rating,rank,dense_rank
04M155,04M155,04M083,04M083,P.S. 155 William Paca,P.S. 155 William Paca,319 East 117th Street,319 East 117th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10035""}'}","{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10035""}'}",4.5,,7.0,3.0,1,1
14K031,14K031,13K093,13K093,P.S. 31 Samuel F. Dupont,P.S. 31 Samuel F. Dupont,75 Meserole Avenue,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,0.94,,,1,1
14K031,14K031,13K093,13K093,P.S. 31 Samuel F. Dupont,P.S. 31 Samuel F. Dupont,75 Meserole Avenue,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,0.94,,,1,1
14K031,14K031,13K093,13K093,P.S. 31 Samuel F. Dupont,P.S. 31 Samuel F. Dupont,75 Meserole Avenue,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,0.94,,,1,1
14K031,14K031,13K093,13K093,P.S. 31 Samuel F. Dupont,P.S. 31 Samuel F. Dupont,75 Meserole Avenue,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,0.94,,,1,1
15K118,15K118,14K297,14K297,The Maurice Sendak Community School,The Maurice Sendak Community School,211 8th Street,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.4,0.98,6.7,4.0,1,1
15K118,15K118,14K297,14K297,The Maurice Sendak Community School,The Maurice Sendak Community School,211 8th Street,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.4,0.98,6.7,,1,1
15K118,15K118,14K297,14K297,The Maurice Sendak Community School,The Maurice Sendak Community School,211 8th Street,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.4,0.98,6.7,2.0,1,1
15K118,15K118,14K297,14K297,The Maurice Sendak Community School,The Maurice Sendak Community School,211 8th Street,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.4,0.98,6.7,2.0,1,1
15K118,15K118,14K297,14K297,The Maurice Sendak Community School,The Maurice Sendak Community School,211 8th Street,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}","{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.4,0.98,6.7,2.0,1,1
