bn,t3_bn,t4_alphabetic_name_long,t5_alphabetic_name_long,progcount,program_highlights,se_services
Q283,Q283,Preparatory Academy for Writers: A College Board School,Preparatory Academy for Writers: A College Board School,1,"Individualized College, Academic and Career Planning; Advisory, Focus on developing strong writing skills",This school will provide students with disabilities the supports and services indicated on their IEPs.
X565,X565,High School for Energy and Technology,High School for Energy and Technology,1,"CTE Program Sequences in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-based Learning, Work-based Internship Opportunities, College Trips, College Prep Counseling, Career Counseling. As we expand, we plan to offer Online AP courses in Calculus AB, Calculus BC, World History, United States History, Environmental Science, and English Literature",This school will provide students with disabilities the supports and services indicated on their IEPs
K618,K618,Academy of Innovative Technology,Academy of Innovative Technology,1,"Application Programming & Game Design: A three-year sequence in learning the newest technology in gaming design; Courses in Java, Graphic design, C ++ and Objective-C (computer languages that are more widely used in iPhone platforms and game design programming); A three-year sequence in web designing: Web Design (Dreamweaver, Front Page, Photoshop). Students take Dreamweaver application, web page design, web page authoring and other supporting technologies and at the end of the sequence. Students can earn Adobe certifications in Flash and Dreamweaver Microsoft Office Specialists (MOS).",This school will provide students with disabilities the supports and services indicated on their IEPs.
R600,R600,Ralph R. McKee Career and Technical Education High School,Ralph R. McKee Career and Technical Education High School,6,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",This school will provide students with disabilities the supports and services indicated on their IEPs.
X508,X508,Bronxdale High School,Bronxdale High School,1,"Advisory, Pre-College and Career Planning, Read 180, AP's Springboard, Great Books, Technology in every classroom, Arts, Culinary Arts, College Visits, Artist-in-Residence for Drama, Inquiry-Based Learning, Partnership with the Institute for Student Achievement",This school will provide students with disabilities the supports and services indicated on their IEPs.
Q248,Q248,Queens Preparatory Academy,Queens Preparatory Academy,1,"College Advisory, College Tours, College Now Courses, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, 3-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, 9th Grade Leadership Development, Career and College Planning",This school will provide students with disabilities the supports and services indicated on their IEPs.
Q896,Q896,"Young Women's Leadership School, Queens, The","Young Women's Leadership School, Queens, The",1,"CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",This school will provide students with disabilities the supports and services indicated on their IEPs.
K558,K558,Williamsburg High School for Architecture and Design,Williamsburg High School for Architecture and Design,1,"Students may receive CTE endorsement in the following areas: Architectural Drafting & Architectural CAD/CADD. As part of our studio and portfolio requirements, students are challenged to build working prototypes of their designs. This course of study has made our students highly desirable for paid internship positions at industry partners. Students are also given opportunities to engage in the ACE mentoring, SkillsUSA and College Now programs.",This school will provide students with disabilities the supports and services indicated on their IEPs.
X260,X260,Bronx Center for Science and Mathematics,Bronx Center for Science and Mathematics,1,"Advisory, Guidance and College Preparatory, Mentoring, Leadership, Summer Enrichment at universities and colleges, PSAT and SAT Preparatory, Comprehensive After-school Program, Peer Tutoring, Evening School and Summer Institute for Credit Recovery",This school will provide students with disabilities the supports and services indicated on their IEPs.
K071,K071,Juan Morel Campos Secondary School,Juan Morel Campos Secondary School,4,"4-year sequence of talent courses culminating in an Arts Endorsed Diploma opportunity, Advanced Placement courses, college readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, blended/online learning for credit through APEX/AVENTA, mentoring with working professionals through iMentor, art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, technology courses",This school will provide students with disabilities the supports and services indicated on their IEPs.
