section,bin,site_section,site_bin,building_owner_name,procedure_name,total_acm_amount
"Upper Level of Duplex 1223C,1224c,1225C,1226C,1227C,1228C,1229C,1230C,1231C",3385303.0,"Upper Level of Duplex 1223C,1224c,1225C,1226C,1227C,1228C,1229C,1230C,1231C",3385303.0,New York City Housing Authority (NYCHA),Tent,9.0
IT Closet,3054897.0,IT Closet,3054897.0,Pratt Institute,Tent,12.0
Apt. 'G'  Hallway,2093493.0,Apt. 'G'  Hallway,2093493.0,New York City Housing Authority (NYCHA),DEP Variance,4.0
Women's Bathroom,4047310.0,Women's Bathroom,4047310.0,LeFrak Property Management,DEP Variance,10.0
Room 545,1083643.0,Room 545,1083643.0,Teachers College at Columbia University,Full Containment,210.0
Unit A - Kitchen,3095889.0,Unit A - Kitchen,3095889.0,Linden Plaza Preservation L.P.,DEP Variance,160.0
Auditorium Blower Room,3071024.0,Auditorium Blower Room,3071024.0,NYC School Construction Authority (NYCSCA),Tent,118.0
Perimeter,1034520.0,Perimeter,1034520.0,Brookfield Properties,DEP Variance,110.0
2K,4208882.0,2K,4208882.0,New York City Housing Authority (NYCHA),VAT Protocol in NYCHA Apt,811.0
APT. #1C CHASE WALL,3327882.0,APT. #1C CHASE WALL,3327882.0,New York City Housing Authority (NYCHA),Tent,18.0
Shaft By Telephone Closet,1035473.0,Shaft By Telephone Closet,1035473.0,350 Park EAT LLC,Subchapter G,192.0
Exterior Facade,2091223.0,Exterior Facade,2091223.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,6.0
Exterior Facade - Elevations #18 - 24,3424544.0,Exterior Facade - Elevations #18 - 24,3424544.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0
Exterior Facade - Elevations #9 - 14,3339438.0,Exterior Facade - Elevations #9 - 14,3339438.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,14.0
Room 1020,1034206.0,Room 1020,1034206.0,"APF 28 W 44 Owner LP, C/o APF Properties, LLC",Interior Foam,1500.0
Room 219,3081032.0,Room 219,3081032.0,NYC School Construction Authority (NYCSCA),DEP Variance,48.0
Exterior Façade  Elevation #1 - 36,3321346.0,Exterior Façade  Elevation #1 - 36,3321346.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,274.0
Exterior Facade - Elevations #1 - 8,3339436.0,Exterior Facade - Elevations #1 - 8,3339436.0,New York City Housing Authority (NYCHA),Exterior Vertical Surface,8.0
Corridor by room 101,2041247.0,Corridor by room 101,2041247.0,NYC School Construction Authority (NYCSCA),Tent,25.0
