principal_name_t2,principal_name_t5,school_support_team_name,location_category_description,field_support_center_name,fiscal_year,total,count,average
EDWARD TOM,EDWARD TOM,School Support Team 2- Affinity Group,High school,Affinity Group,2019,10268800360320.0,32,320900011260.0
Emmanuel Polanco,Emmanuel Polanco,School Support Team 4- Bronx,Junior High-Intermediate-Middle,Field Support Center - Bronx,2019,642000020160.0,2,321000010080.0
Joan Weaver,Joan Weaver,School Support Team 2- Manhattan,High school,Field Support Center - Manhattan,2019,620400023160.0,2,310200011580.0
Lisa ann Hermann,Lisa ann Hermann,School Support Team 6- Brooklyn North,Junior High-Intermediate-Middle,Field Support Center - Brooklyn North,2019,331900010218.0,1,331900010218.0
Pauline Obrien,Pauline Obrien,School Support Team 1- Brooklyn South,High school,Field Support Center - Brooklyn South,2019,331800011633.0,1,331800011633.0
DAVID WARD,DAVID WARD,School Support Team 1- Brooklyn South,High school,Field Support Center - Brooklyn South,2019,331800011567.0,1,331800011567.0
DENNIS HERRING JR,DENNIS HERRING JR,School Support Team 3- Brooklyn South,Junior High-Intermediate-Middle,Field Support Center - Brooklyn South,2019,331800010366.0,1,331800010366.0
Yasmine Fidelia,Yasmine Fidelia,School Support Team 3- Brooklyn South,Elementary,Field Support Center - Brooklyn South,2019,331800010276.0,1,331800010276.0
JONATHAN LEE,JONATHAN LEE,School Support Team 3- Brooklyn South,Elementary,Field Support Center - Brooklyn South,2019,331800010115.0,1,331800010115.0
WINTANNA ABAI,WINTANNA ABAI,,Elementary,,2019,331700861094.0,1,331700861094.0
Victor Esannason,Victor Esannason,School Support Team 2- Brooklyn South,K-8,Field Support Center - Brooklyn South,2019,331700010181.0,1,331700010181.0
ANITA COLEY,ANITA COLEY,School Support Team 7- Brooklyn North,Elementary,Field Support Center - Brooklyn North,2019,331600010025.0,1,331600010025.0
Carolyn Michael/Ingrid Wong,Carolyn Michael/Ingrid Wong,,K-12 all grades,,2019,331500860935.0,1,331500860935.0
JACQUELINE NIKOVIC,JACQUELINE NIKOVIC,School Support Team 5- Brooklyn North,Elementary,Field Support Center - Brooklyn North,2019,331500010024.0,1,331500010024.0
CHARLENE REID/Charlton Clarke,CHARLENE REID/Charlton Clarke,,Elementary,,2019,321100861115.0,1,321100861115.0
