name,code_prog1,name_1,code_prog1_1,ellprograms,coursepassrate,total_geappsperseat_prog10
P.S. 095 Sheila Mencher (10X095),X095Z,P.S. 095 Sheila Mencher (10X095),X095Z,English as a New Language;Transitional Bilingual Education: Spanish,94.0,
Vista Academy (19K661),K661L,Vista Academy (19K661),K661L,English as a New Language,93.0,
J.H.S. 054 Booker T. Washington (03M054),M054M,J.H.S. 054 Booker T. Washington (03M054),M054M,English as a New Language,98.0,
M.S. 224 Manhattan East School for Arts & Academics (04M224),M224M,M.S. 224 Manhattan East School for Arts & Academics (04M224),M224M,English as a New Language,93.0,
Bronx Dance Academy School (10X308),X308M,Bronx Dance Academy School (10X308),X308M,English as a New Language,95.0,
School of the Future Brooklyn (19K663),K663L,School of the Future Brooklyn (19K663),K663L,English as a New Language,66.0,
M.S. 113 Ronald Edmonds Learning Center (13K113),K113M,M.S. 113 Ronald Edmonds Learning Center (13K113),K113M,English as a New Language;Dual Language: Spanish,95.0,
South Bronx International Middle School (09X593),X593M,South Bronx International Middle School (09X593),X593M,English as a New Language,,
East New York Middle School of Excellence (19K678),K678L,East New York Middle School of Excellence (19K678),K678L,English as a New Language,98.0,
M.S. X101 Edward R. Byrne (08X101),X101A,M.S. X101 Edward R. Byrne (08X101),X101A,English as a New Language,97.0,
P.S. 288 The Shirley Tanyhill (21K288),K288U,P.S. 288 The Shirley Tanyhill (21K288),K288U,English as a New Language,81.0,
P.S. 189 The Bilingual Center (17K189),K189S,P.S. 189 The Bilingual Center (17K189),K189S,English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,83.0,
Lyons Community School (14K586),K586L,Lyons Community School (14K586),K586L,English as a New Language,82.0,
One World Middle School at Edenwald (11X529),X529U,One World Middle School at Edenwald (11X529),X529U,English as a New Language,96.0,
P.S. 184 Newport (23K184),K184U,P.S. 184 Newport (23K184),K184U,English as a New Language,81.0,
P.S. 238 Anne Sullivan (21K238),K238Z,P.S. 238 Anne Sullivan (21K238),K238Z,English as a New Language;Dual Language: Spanish,99.0,
P.S. 018 Park Terrace (06M018),M018U,P.S. 018 Park Terrace (06M018),M018U,English as a New Language;Transitional Bilingual Education: Spanish,65.0,
The Anderson School (03M334),M334M,The Anderson School (03M334),M334M,English as a New Language,100.0,
I.S. 061 Leonardo Da Vinci (24Q061),Q061Z,I.S. 061 Leonardo Da Vinci (24Q061),Q061Z,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,92.0,
I.S. 229 Roland Patterson (09X229),X229U,I.S. 229 Roland Patterson (09X229),X229U,English as a New Language,76.0,
In-Tech Academy (M.S. / High School 368) (10X368),X368M,In-Tech Academy (M.S. / High School 368) (10X368),X368M,English as a New Language;Transitional Bilingual Education: Spanish,84.0,
East Flatbush Community Research School (18K581),K581L,East Flatbush Community Research School (18K581),K581L,English as a New Language,92.0,
P.S. 105 The Bay School (27Q105),Q105Z,P.S. 105 The Bay School (27Q105),Q105Z,English as a New Language,92.0,
