latitude,avgofprop_n,nypd_site_name,school_year,longitude,longitude_1,latitude_1,total_non_criminal_incidents
40.74056,1.39,IS 008Q,2016 - 17,-73.854131,-73.854131,40.74056,0.0
40.579451,0.75,PS 190K,2016 - 17,-73.943819,-73.943819,40.579451,3.0
40.685492,0.98,JHS 168Q,2016 - 17,-73.729982,-73.729982,40.685492,0.0
40.761448,0.51,JHS 013M,2016 - 17,-73.988019,-73.988019,40.761448,2.0
40.688419,,PS 307K,2016 - 17,-73.924833,-73.924833,40.688419,
40.705204,0.75,IS 142K,2016 - 17,-73.939407,-73.939407,40.705204,5.0
40.726587,0.75,PS 029K,2016 - 17,-73.95427,-73.95427,40.726587,0.0
40.821535,,PS 187M,2016 - 17,-73.940941,-73.940941,40.821535,
40.633237,2.55,PAL AUXILARY SERVICES,2016 - 17,-73.952929,-73.952929,40.633237,20.0
40.686076,0.63,IS 302K,2016 - 17,-73.945229,-73.945229,40.686076,1.0
40.715905,0.75,PS 034M,2016 - 17,-73.990895,-73.990895,40.715905,1.0
40.621224,,PS 075K,2016 - 17,-73.91287,-73.91287,40.621224,1.0
40.694926,,EDWARD R. MURROW HS,2016 - 17,-73.986015,-73.986015,40.694926,
40.709647,0.75,PS 019K,2016 - 17,-73.95465,-73.95465,40.709647,1.0
40.691146,,SAMUEL J. TILDEN HS,2016 - 17,-73.868328,-73.868328,40.691146,
40.676094,0.51,,2016 - 17,-73.935688,-73.935688,40.676094,5.0
40.789526,0.98,PS 076M,2016 - 17,-73.967574,-73.967574,40.789526,2.0
40.685004,0.98,NEW UTRECHT HS,2016 - 17,-73.947152,-73.947152,40.685004,23.0
40.879368,,MS 254X,2016 - 17,-73.909896,-73.909896,40.879368,
40.770419,0.63,PS 152M,2016 - 17,-73.951135,-73.951135,40.770419,0.0
40.681896,,PS 034K,2016 - 17,-73.935963,-73.935963,40.681896,
40.646877,0.63,JHS 278K,2016 - 17,-73.920977,-73.920977,40.646877,1.0
40.631523,0.75,IS 7R,2016 - 17,-74.144297,-74.144297,40.631523,0.0
40.815458,,PS 206M,2016 - 17,-73.952908,-73.952908,40.815458,
40.718895,0.75,MS 17M,2016 - 17,-73.979308,-73.979308,40.718895,5.0
40.71602,,PS 206M,2016 - 17,-74.011035,-74.011035,40.71602,
40.667377,0.98,PS 277K,2016 - 17,-73.908214,-73.908214,40.667377,7.0
40.594124,,BUSHWICK HS CAMPUS,2016 - 17,-73.937696,-73.937696,40.594124,
40.818232,,JOHN F. KENNEDY HS,2016 - 17,-73.919867,-73.919867,40.818232,
40.634875,,IS 218K,2016 - 17,-73.981528,-73.981528,40.634875,
40.860043,3.63,The Cinema School,2016 - 17,-73.888267,-73.888267,40.860043,50.0
40.70644,0.75,IS 218M,2016 - 17,-74.017818,-74.017818,40.70644,1.0
40.695332,0.75,PS 077K,2016 - 17,-73.969243,-73.969243,40.695332,0.0
40.789526,,PS 076M,2016 - 17,-73.967574,-73.967574,40.789526,2.0
40.640463,0.63,PS 176K,2016 - 17,-73.977642,-73.977642,40.640463,6.0
40.770419,0.63,PS 153M,2016 - 17,-73.951135,-73.951135,40.770419,0.0
40.647323,0.63,PS 346K,2016 - 17,-73.892022,-73.892022,40.647323,3.0
40.82229,,THEODORE ROOSEVELT HS,2016 - 17,-73.856167,-73.856167,40.82229,
40.698869,,PS 145K,2016 - 17,-73.945042,-73.945042,40.698869,
40.761448,,JHS 013M,2016 - 17,-73.988019,-73.988019,40.761448,2.0
40.634875,,PS 219K MAIN,2016 - 17,-73.981528,-73.981528,40.634875,
40.738548,,JHS 044M,2016 - 17,-73.982455,-73.982455,40.738548,
40.660306,0.63,PS 040K,2016 - 17,-73.907355,-73.907355,40.660306,5.0
40.618415,1.72,PS 102K,2016 - 17,-74.028842,-74.028842,40.618415,4.0
40.802419,0.75,IS 070M,2016 - 17,-73.942634,-73.942634,40.802419,2.0
40.789526,0.98,PS 075M,2016 - 17,-73.967574,-73.967574,40.789526,2.0
40.69719,2.55,THURGOOD MARSHALL ACADEMY,2016 - 17,-73.787192,-73.787192,40.69719,4.0
40.80247,0.63,PS 144M,2016 - 17,-73.946716,-73.946716,40.80247,1.0
40.789526,,PS 075M,2016 - 17,-73.967574,-73.967574,40.789526,2.0
40.780822,,JHS 172M,2016 - 17,-73.976855,-73.976855,40.780822,
40.67944,,NEW UTRECHT HS,2016 - 17,-73.932407,-73.932407,40.67944,
40.673073,0.63,PS 012K,2016 - 17,-73.919594,-73.919594,40.673073,8.0
