address_1,address_1_1,total,average,count
780 Greenwich Street,780 Greenwich Street,380.65,380.65,1
10 Washington Mews,10 Washington Mews,,,1
37 West 12th Street,37 West 12th Street,1297.37,1297.37,1
270 Broadway (80 Chambers St.),270 Broadway (80 Chambers St.),,,1
20 West St,20 West St,1499.63,1499.63,1
16 Washington Mews,16 Washington Mews,4.9,4.9,1
41 East 11th St,41 East 11th St,1293.87,1293.87,1
100 Church Street,100 Church Street,6495.73,6495.73,1
80 Pine Street,80 Pine Street,13674.36,13674.36,1
400 W. 37th St.,400 W. 37th St.,1115.91,1115.91,1
303 Mercer Street,303 Mercer Street,587.04,587.04,1
101 Murray St,101 Murray St,1316.19,1316.19,1
555 West 23rd Street,555 West 23rd Street,1918.8,1918.8,1
670 Broadway,670 Broadway,484.06,484.06,1
584 Broadway,584 Broadway,1347.85,1347.85,1
21 South End Avenue,21 South End Avenue,4195.7699999999995,1398.59,3
180 West Houston Street,180 West Houston Street,718.03,718.03,1
27 East 13th Street,27 East 13th Street,,,1
684 Broadway,684 Broadway,589.24,589.24,1
60 Washington Square South,60 Washington Square South,619.31,619.31,1
40 Broad St,40 Broad St,2332.12,2332.12,1
345 Hudson street,345 Hudson street,7230.74,7230.74,1
70 East 10th Street,70 East 10th Street,2996.14,2996.14,1
636 WATER ST. ETAL / VLADECK HSES,636 WATER ST. ETAL / VLADECK HSES,,,3
101 Ludlow St,101 Ludlow St,666.06,666.06,1
62 ESSEX ST - SEWARD PRK ENT BLDG 1,62 ESSEX ST - SEWARD PRK ENT BLDG 1,6016.08,3008.04,2
160 East 3rd Street,160 East 3rd Street,432.16,432.16,1
110 Greenwich Street,110 Greenwich Street,261.5,261.5,1
180 Varick Street,180 Varick Street,1810.39,1810.39,1
535 West 23rd Street,535 West 23rd Street,1955.08,1955.08,1
718 Broadway,718 Broadway,562.21,562.21,1
175 Water Street,175 Water Street,4485.8,4485.8,1
53 Park Place,53 Park Place,695.47,695.47,1
11 Waverly Place,11 Waverly Place,618.96,618.96,1
189 ALLEN STREET - HERNANDEZ HOUSES,189 ALLEN STREET - HERNANDEZ HOUSES,1778.26,1778.26,1
8 Washington Mews,8 Washington Mews,0.01,0.01,1
40 Wall Street,40 Wall Street,,,1
740 Broadway,740 Broadway,2537.1,2537.1,1
583-587 Broadway,583-587 Broadway,917.54,917.54,1
24 Fifth Avenue,24 Fifth Avenue,2500.63,2500.63,1
635 EST 12TH ST.- CAMPUS PLAZA BLD #1,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,1005.68,251.42,4
511-541 W 25th Street,511-541 W 25th Street,906.4,453.2,2
59 West 12 Street,59 West 12 Street,750.09,750.09,1
450 West 17th Street,450 West 17th Street,4594.12,4594.12,1
427 WEST 26TH STREET - ELLIOT HOUSE,427 WEST 26TH STREET - ELLIOT HOUSE,,,4
134-140 Grand Street,134-140 Grand Street,468.2,468.2,1
530-542 W 27th St.,530-542 W 27th St.,236.37,78.79,3
55 Broad Street,55 Broad Street,4064.18,4064.18,1
200 East 5th Street,200 East 5th Street,537.3,537.3,1
409 Layfayette St.,409 Layfayette St.,427.26,427.26,1
