incident_address,t3_incident_address,latitude,longitude,t5_latitude,t5_longitude,y_coordinate_state_plane,x_coordinate_state_plane,location_type
140-17 84 DRIVE,140-17 84 DRIVE,40.710028,-73.816631,40.710028,-73.816631,197873,1035018,Street/Sidewalk
140-17 84 DRIVE,140-17 84 DRIVE,40.710028,-73.816631,40.710028,-73.816631,197873,1035018,Street/Sidewalk
1569 WEST TENTH STREET,1569 WEST TENTH STREET,40.608589,-73.983361,40.608589,-73.983361,161004,988792,Street/Sidewalk
168-01 UNION TURNPIKE,168-01 UNION TURNPIKE,40.723345,-73.799873,40.723345,-73.799873,202745,1039667,Street/Sidewalk
168-01 UNION TURNPIKE,168-01 UNION TURNPIKE,40.723345,-73.799873,40.723345,-73.799873,202745,1039667,Street/Sidewalk
168-01 UNION TURNPIKE,168-01 UNION TURNPIKE,40.723345,-73.799873,40.723345,-73.799873,202745,1039667,Street/Sidewalk
100 MESEROLE AVENUE,100 MESEROLE AVENUE,40.726699,-73.95318,40.726699,-73.95318,204143,997282,Street/Sidewalk
100 MESEROLE AVENUE,100 MESEROLE AVENUE,40.726699,-73.95318,40.726699,-73.95318,204143,997282,Street/Sidewalk
100 MESEROLE AVENUE,100 MESEROLE AVENUE,40.726699,-73.95318,40.726699,-73.95318,204143,997282,Street/Sidewalk
14-18 117 STREET,14-18 117 STREET,40.785297,-73.85065,40.785297,-73.85065,225382,1025680,Street/Sidewalk
23-15 39 AVENUE,23-15 39 AVENUE,40.755517,-73.937722,40.755517,-73.937722,214519,1001399,Street/Sidewalk
23-15 39 AVENUE,23-15 39 AVENUE,40.755517,-73.937722,40.755517,-73.937722,214519,1001399,Street/Sidewalk
35-63 95 STREET,35-63 95 STREET,40.751412,-73.871966,40.751412,-73.871966,213549,1019566,Street/Sidewalk
499 BERGEN STREET,499 BERGEN STREET,40.680824,-73.973753,40.680824,-73.973753,187213,991604,Street/Sidewalk
510 FLATBUSH AVENUE,510 FLATBUSH AVENUE,40.661566,-73.96183,40.661566,-73.96183,180403,994920,Street/Sidewalk
71-01 PARSONS BOULEVARD,71-01 PARSONS BOULEVARD,40.729931,-73.810428,40.729931,-73.810428,205328,1036658,Street/Sidewalk
71-01 PARSONS BOULEVARD,71-01 PARSONS BOULEVARD,40.729931,-73.810428,40.729931,-73.810428,205328,1036658,Street/Sidewalk
