oldpermitno,oldpermitno_1,oldgrossvehicleweight,permittodate,permitapplication,industrytypename,total_loadinweight
WIS5-20131118-1116,WIS5-20131118-1116,120000.0,2016-06-30,Overweight,Construction,
CL3E-2014320-316,CL3E-2014320-316,,2015-10-31,Overweight,Other,
evwi-2014111-1002,evwi-2014111-1002,,2015-10-31,Overweight,Other,
RT2R-201477-781,RT2R-201477-781,79000.0,2016-04-30,Overweight,Construction,
J1NZ-20131021-836,J1NZ-20131021-836,,2015-07-31,Overweight,Construction,
JI2V-20131116-1071,JI2V-20131116-1071,,2015-10-31,Overweight,Other,
evwi-2014111-1116,evwi-2014111-1116,,2016-10-31,Overweight,Other,
J8DH-2014312-308,J8DH-2014312-308,,2016-01-31,Overweight,Construction,
PI1620131028-868,PI1620131028-868,,2015-09-30,Overweight,Construction,
B3M4-201427-93,B3M4-201427-93,64000.0,2015-12-31,Overweight,Other,
QPW6-201539-101,QPW6-201539-101,120000.0,2016-05-31,Overweight,Construction,
PI6W20131028874,PI6W20131028874,73300.0,2015-09-30,Overweight,Other,
wj1o-2013322-256,wj1o-2013322-256,,2015-10-31,Overweight,Other,
X7BE-2014109-946,X7BE-2014109-946,64000.0,2016-07-31,Overweight,Cement,
EVWI-2014111-1096,EVWI-2014111-1096,,2016-10-31,Overweight,Other,
K8LU-2013826-768,K8LU-2013826-768,78000.0,2015-08-31,Overweight,Other,
RT2R-201477-773,RT2R-201477-773,78980.0,2016-06-30,Overweight,Construction,
XX3H-2013321-223,XX3H-2013321-223,,2015-10-31,Overweight,Other,
MHBS-201394-782,MHBS-201394-782,,2015-06-30,Overweight,Other,
YRBW-20141010-977,YRBW-20141010-977,,2015-10-31,Overweight,Other,
vsr5-2013329-291,vsr5-2013329-291,,2015-10-31,Overweight,Other,
VUX8-2014426-476,VUX8-2014426-476,78000.0,2016-04-30,Overweight,Other,
X7BE-2014109-973,X7BE-2014109-973,72220.0,2016-03-31,Overweight,Construction,
vsr5-2013329-293,vsr5-2013329-293,,2015-10-31,Overweight,Other,
0608-201443-368,0608-201443-368,120000.0,2015-11-30,Overweight,Construction,
qjun-201342-329,qjun-201342-329,,2015-10-31,Overweight,Other,
K8LU-2013826-762,K8LU-2013826-762,70000.0,2015-08-31,Overweight,Other,
EVWI-2014111-1072,EVWI-2014111-1072,,2016-10-31,Overweight,Other,
JI2V-20131116-967,JI2V-20131116-967,,2015-06-30,Overweight,Construction,
V278-2014212-142,V278-2014212-142,,2015-07-31,Overweight,Construction,
BGJT-2015225-43,BGJT-2015225-43,,2016-10-31,Overweight,Other,
