city_council_district,total_units,borough_block_lot,boiler_capacity_gross_btu,borough_block_lot_1,total_residential_units
3,4,1005860020,5.25,1005860020,0.0
2,9,1008480001,4.07,1008480001,2.0
1,68,1001710001,10.5,1001710001,0.0
1,24,1005110016,4.2,1005110016,0.0
3,19,1006110045,1.1,1006110045,18.0
2,31,1008610044,8.4,1008610044,0.0
3,12,1007540028,2.34,1007540028,12.0
3,35,1008910023,3.1,1008910023,35.0
6,376,1011380001,12.6,1011380001,376.0
10,30,1021570081,2.0,1021570081,30.0
3,133,1007710038,5.2,1007710038,130.0
1,200,1005500022,16.8,1005500022,396.0
3,76,1008330018,8.82,1008330018,0.0
3,0,1002270063,3.9,1002270063,0.0
6,7,1011150057,10.0,1011150057,0.0
4,31,1008910062,2.8,1008910062,31.0
3,15,1007860013,4.9,1007860013,0.0
1,33,1001440001,6.4,1001440001,25.0
3,25,1010120032,2.59,1010120032,0.0
3,28,1007600055,2.81,1007600055,0.0
3,43,1007750060,6.27,1007750060,0.0
2,235,1005617501,6.6,1005617501,229.0
1,6,1001450012,2.5,1001450012,0.0
3,114,1008150039,8.4,1008150039,0.0
3,0,1010180061,2.4,1010180061,0.0
3,18,1008690064,5.3,1008690064,0.0
3,0,1010500006,0.0,1010500006,0.0
3,22,1008290016,8.2,1008290016,0.0
3,33,1008930002,3.4,1008930002,32.0
4,106,1008947501,8.19,1008947501,106.0
3,23,1007977502,3.8,1007977502,22.0
4,85,1010090046,4.3,1010090046,10.0
3,2,1009990009,24.0,1009990009,0.0
3,46,1007790049,3.6,1007790049,7.0
3,10,1010750044,2.6,1010750044,10.0
3,1,1008220015,5.0,1008220015,0.0
6,22,1011960035,2.59,1011960035,22.0
3,100,1008310064,4.9,1008310064,0.0
3,58,1010127501,5.02,1010127501,0.0
3,19,1007870025,6.0,1007870025,0.0
3,69,1007750017,4.2,1007750017,69.0
3,14,1008380024,4.1,1008380024,0.0
10,72,1022020033,6.0,1022020033,72.0
6,37,1011620141,2.8,1011620141,37.0
2,27,1005697501,5.3,1005697501,26.0
3,3,1010770043,8.4,1010770043,0.0
3,229,1008687502,15.5,1008687502,224.0
14,67,2028070070,12.18,2028070070,67.0
3,7,1008230037,6.27,1008230037,0.0
3,13,1008010014,3.43,1008010014,0.0
