access_requirements,productivity_tools_ex_using,digital_literacy,oversight_agency,operator_name,total,average,count
Y,Y,N,NYC Aging,Jewish Association For Services For The Aged,91.0,91.0,1
Y,N,N,NYC Aging,"SAGE (Services and Advocacy for Gay, Lesbian, Bisexual and Transgender)",511.4,511.4,1
,N,Y,Department of Youth and Community Development (DYCD),Stanley M. Isaacs Neighborhood Center,0.0,0.0,1
N,Y,N,Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),100.0,100.0,1
Y,N,N,NYC Aging,Catholic Charities Brooklyn & Queens,97.5,97.5,1
Y,Y,Y,NYC Aging,Lenox hill neighborhood house,92.4,92.4,1
N,N,Y,Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),100.0,100.0,1
Y,N,Y,NYC Aging,"Central Harlem Senior Citizens Centers, Inc.",420.2,420.2,1
Y,Y,Y,NYC Aging,Acacia Network,96.0,96.0,1
N,N,N,Queens Public Library (QPL),Queens Public Library (QPL),48.8,24.4,2
Y,Y,Y,NYC Aging,Eastside House Settlement Inc.,84.7,84.7,1
Y,N,N,NYC Aging,Jewish Association For Services For The Aged,94.1,94.1,1
Y,Y,Y,NYC Aging,"Greenwich House, Inc.",24.3,24.3,1
N,Y,N,New York Public Library (NYPL),New York Public Library (NYPL),2000.0,1000.0,2
Y,N,Y,NYC Aging,Jewish Association For Services For The Aged,92.1,92.1,1
,N,N,Department of Youth and Community Development (DYCD),Southern Queens Park Association (SQPA),10.4,10.4,1
,N,Y,Department of Youth and Community Development (DYCD),"Jacob A. Riis Neighborhood Settlement, Inc.",0.0,0.0,1
Y,N,N,NYC Aging,Cypress hills-fulton street senior citizens center inc,416.6,416.6,1
Y,N,N,NYC Parks & Recreation,NYC Parks & Recreation,103.6,103.6,2
