brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,comp_address_match,brooklyn_cooperatives_comparable_properties_neighborhood,brooklyn_cooperatives_comparable_properties_est_gross_income,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft
3-01943-0006,"{'latitude': '40.687439695741', 'longitude': '-73.967724177885', 'human_address': '{""address"": ""360 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.687439695741', 'longitude': '-73.967724177885', 'human_address': '{""address"": ""360 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",CLINTON HILL,1713866,6410000,17.86
3-05329-0062,"{'latitude': '40.645817999296', 'longitude': '-73.974259765762', 'human_address': '{""address"": ""179 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.645817999296', 'longitude': '-73.974259765762', 'human_address': '{""address"": ""179 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",KENSINGTON,372376,886000,9.6
3-05375-0049,"{'latitude': '40.638690692444', 'longitude': '-73.972910165245', 'human_address': '{""address"": ""415 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.638690692444', 'longitude': '-73.972910165245', 'human_address': '{""address"": ""415 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN PARKWAY-NORTH,1057200,3950000,17.62
3-05424-0001,"{'latitude': '40.631063312045', 'longitude': '-73.971458088', 'human_address': '{""address"": ""715 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.631063312045', 'longitude': '-73.971458088', 'human_address': '{""address"": ""715 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN PARKWAY-NORTH,1488930,5030000,16.01
3-06503-0020,"{'latitude': '40.628941072506', 'longitude': '-73.971685704399', 'human_address': '{""address"": ""800 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.628941072506', 'longitude': '-73.971685704399', 'human_address': '{""address"": ""800 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",OCEAN PARKWAY-NORTH,1271555,3570000,12.23
3-01173-0040,"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PROSPECT HEIGHTS,312541,1290000,20.84
3-01165-0011,"{'latitude': '40.676675222679', 'longitude': '-73.969196554439', 'human_address': '{""address"": ""675 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.676675222679', 'longitude': '-73.969196554439', 'human_address': '{""address"": ""675 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PROSPECT HEIGHTS,184055,762000,20.56
3-01179-0066,"{'latitude': '40.672522980592', 'longitude': '-73.965110559869', 'human_address': '{""address"": ""115 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.672522980592', 'longitude': '-73.965110559869', 'human_address': '{""address"": ""115 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PROSPECT HEIGHTS,631008,2130000,14.74
3-01208-0038,"{'latitude': '40.677335363898', 'longitude': '-73.944535112078', 'human_address': '{""address"": ""1384 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.677335363898', 'longitude': '-73.944535112078', 'human_address': '{""address"": ""1384 PACIFIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",CROWN HEIGHTS,197921,420000,9.34
3-01107-0009,"{'latitude': '40.700744744272', 'longitude': '-73.989234718086', 'human_address': '{""address"": ""41 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.700744744272', 'longitude': '-73.989234718086', 'human_address': '{""address"": ""41 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",WINDSOR TERRACE,166030,945000,20.39
3-05279-0019,"{'latitude': '40.700552331514', 'longitude': '-73.984999766479', 'human_address': '{""address"": ""180 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.700552331514', 'longitude': '-73.984999766479', 'human_address': '{""address"": ""180 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",WINDSOR TERRACE,344355,945000,20.39
3-01106-0016,"{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.700718609954', 'longitude': '-73.989944198243', 'human_address': '{""address"": ""10 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",WINDSOR TERRACE,344355,945000,20.39
3-06296-0046,"{'latitude': '40.608773273552', 'longitude': '-73.998935439725', 'human_address': '{""address"": ""1855 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.608773273552', 'longitude': '-73.998935439725', 'human_address': '{""address"": ""1855 82 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",BENSONHURST,642575,2000000,12.75
3-01066-0063,"{'latitude': '40.672606618631', 'longitude': '-73.972674751687', 'human_address': '{""address"": ""915 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.672606618631', 'longitude': '-73.972674751687', 'human_address': '{""address"": ""915 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",PARK SLOPE,167092,692000,22.28
