name,neighborhood,total,count,average
Creston Academy,Tremont,198.0,2,99.0
Hudson River Middle School,Battery Park,100.0,1,100.0
The Anderson School,Upper West Side,100.0,1,100.0
Yorkville East Middle School,Upper East Side,99.0,1,99.0
Ella Baker School,Upper East Side,99.0,1,99.0
Accion Academy,South Bronx,97.0,1,97.0
Columbia Secondary School,Morningside Heights,95.0,1,95.0
Bronx Green Middle School,Williamsbridge,93.0,1,93.0
M.S. 324 - Patria Mirabal,Washington Heights,92.0,1,92.0
M.S. 224 Manhattan East School for Arts & Academics,East Harlem,92.0,1,92.0
P.S. 121 Nelson A. Rockefeller,Ocean Parkway,91.0,1,91.0
Soundview Academy for Culture and Scholarship,Soundview,91.0,1,91.0
P.S./I.S. 116 William C. Hughley,Jamaica,90.0,1,90.0
I.S. 254,Belmont,87.0,1,87.0
The Riverside School for Makers and Artists,Upper West Side,86.0,1,86.0
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,Bedford Stuyvesant,86.0,1,86.0
New Design Middle School,Manhattanville,82.0,1,82.0
Central Park East II,East Harlem,68.0,1,68.0
P.S./M.S. 147 Ronald McNair,Cambria Heights,57.99999999999999,1,57.99999999999999
Fannie Lou Hamer Middle School,South Bronx,39.0,1,39.0
