segmentid,oft,t2_segmentid,tolongitude,t4_oft,bctsnum,onstreet,rank,dense_rank
19487,306480310830310880,19487,-74.011713,306480310830310880,DOT-650736-R1K2,14 AVENUE,1,1
19491,306480310780310830,19491,-74.011086,306480310780310830,DOT-650736-R1K2,14 AVENUE,1,1
99146,426390408190408290,99146,-73.777207,426390408190408290,DOT-611622-B8S6,211 STREET,1,1
21467,308330306480331330,21467,-73.980074,308330306480331330,DOT-623940-G0S7,35 STREET,1,1
14704,538600543178524200,14704,-74.066265,538600543178524200,DOT-675605-G8Y2,MCCLEAN AVENUE,1,1
102186,467425452420407690,102186,-73.752328,467425452420407690,DOT-651721-Q9L3,WEST DRIVE,1,1
53109,428490400494450670,53109,-73.843947,428490400494450670,DOT-649637-W9T8,ASCAN AVENUE,1,1
82481,447390412840412990,82481,-73.845909,447390412840412990,DOT-631307-T6X8,GRAND CENT PARKWAY,1,1
171518,422700427092427094,171518,-73.746461,422700427092427094,DOT-611997-Q8S7,141 AVENUE,1,1
68176,409840411790411990,68176,-73.908037,409840411790411990,DOT-666403-F5C3,43 AVENUE,1,1
14156,518770533970538470,14156,-74.083328,518770533970538470,DOT-674828-J0H4,BENTON AVENUE,1,1
3621,544750547475517418,3621,-74.166291,544750547475517418,DOT-667526-C1W2,RICHMOND AVENUE,1,1
62552,427225423050423080,62552,-73.738752,427225423050423080,DOT-628800-D4Y6,249 STREET,1,1
88278,235680214020278450,88278,-73.84953,235680214020278450,DOT-653927-S8P0,GIVAN AVENUE,1,1
29711,381530364830323330,29711,-73.945536,381530364830323330,DOT-600409-S9X0,STERLING STREET,1,1
9426,554530528610555440,9426,-74.134458,554530528610555440,DOT-635468-K7T8,WATERS AVENUE,1,1
90960,413540424590424690,90960,-73.798321,413540424590424690,DOT-673794-S4L2,65 AVENUE,1,1
77030,416140406590442490,77030,-73.892482,416140406590442490,322147-L0J1,77 STREET,1,1
29327,345030380430372730,29327,-73.962863,345030380430372730,DOT-625932-X5S8,GRAND AVENUE,1,1
332,537090523245518875,332,-74.238102,537090523245518875,DOT-652108-W9N0,LORETTO STREET,1,1
3934,570276516100570327,3934,-74.19177,570276516100570327,DOT-524776-Q5G3,ROLLING HILL GREEN,1,1
227983,415140427190439635,227983,-73.729053,415140427190439635,DOT-648604-G9H8,72 AVENUE,1,1
61083,467960449520450640,61083,-73.769574,467960449520450640,DOT-666407-N1F8,WOOD STREET,1,1
99917,426040418040418140,99917,-73.758954,426040418040418140,DOT-666835-G5Z1,204 STREET,1,1
99917,426040418040418140,99917,-73.758954,426040418040418140,DOT-666835-G5Z1,204 STREET,1,1
28375,355330340930318630,28375,-73.956165,355330340930318630,DOT-665077-Z8X6,LENOX ROAD,1,1
6970,544900536310570215,6970,-74.141848,544900536310570215,DOT-527550-V3S5,RICHMOND ROAD,1,1
97384,425940408190408290,97384,-73.787571,425940408190408290,DOT-620881-X3Q4,201 STREET,1,1
12908,517390517270570368,12908,-74.105579,517390517270570368,DOT-624162-X9S0,BARD AVENUE,1,1
9010,536650522120555390,9010,-74.139974,536650522120555390,DOT-538033-C6B1,LIVERMORE AVENUE,1,1
56441,421790453790419990,56441,-73.815816,421790453790419990,DOT-665715-P4Q7,128 STREET,1,1
34612,117230112210112310,34612,-73.976639,117230112210112310,17369,EAST 12 STREET,1,1
67667,408140437290408440,67667,-73.927247,408140437290408440,DOT-666700-B6G3,31 STREET,1,1
74706,411840416590416990,74706,-73.880079,411840416590416990,DOT-649859-B4N5,57 AVENUE,1,1
73853,413490410890465350,73853,-73.901944,413490410890465350,DOT-649660-X6X9,64 STREET,1,1
52223,417290442240415790,52223,-73.867442,417290442240415790,DOT-646732-W5S8,85 ROAD,1,1
63971,421990437420427190,63971,-73.729667,421990437420427190,DOT-650471-V8C0,132 ROAD,1,1
67787,407840407940408140,67787,-73.922743,407840407940408140,DOT-665157-G4N9,30 DRIVE,1,1
51319,417140453790419890,51319,-73.852984,417140453790419890,DOT-656751-T4W0,84 STREET,1,1
28194,335530329630333530,28194,-73.963186,335530329630333530,DOT-674253-V4G0,EAST 16 STREET,1,1
2385,570208526075556622,2385,-74.199106,570208526075556622,DOT-649453-K3V8,MIMOSA LANE,1,1
101685,413790427130427140,101685,-73.736983,413790427130427140,DOT-659718-Q4P5,66 AVENUE,1,1
15868,529377539710517450,15868,-74.070955,529377539710517450,DOT-666293-G8F1,FRONT STREET,1,1
345479,380330326730367047,345479,-73.958417,380330326730367047,DOT-673858-M1R1,SAINT JOHNS PLACE,1,1
127825,388830323480315680,127825,-73.936554,388830323480315680,DOT-667122-J4P8,VOORHEES AVENUE,1,1
91565,408190423190423290,91565,-73.815729,408190423190423290,DOT-651749-N1B6,32 AVENUE,1,1
85274,245820255020257270,85274,-73.859138,245820255020257270,DOT-654249-N3R8,LELAND AVENUE,1,1
112742,461145415290435780,112742,-73.844035,461145415290435780,06-1907,RUSSELL PLACE,1,1
46176,377030373480397259,46176,-73.8859159558667,377030373480397259,DOT-257912-Z8Z3,SHORE PARKWAY,1,1
9006278,377030310920338190,9006278,-73.882889,377030310920338190,DOT-587110-D2K8,SHORE PARKWAY SERVICE ROAD NORTH,1,1
129306,421290425040425050,129306,-73.763481,421290425040425050,DOT-501893-F6H3,120 AVENUE,1,1
