school_name,total_attendance_rate
New Utrecht High School,0.88
Brooklyn Collegiate: A College Board School,0.83999997
"Michael J. Petrides School, The",0.92000002
"Mathematics, Science Research and Technology Magnet High School",0.83999997
Urban Assembly New York Harbor School,0.88999999
Robert F. Kennedy Community High School,0.89999998
George Westinghouse Career and Technical Education High School,0.88
Epic High School - North,0.85000002
New Design High School,0.82999998
"Metropolitan High School, The",0.77999997
DeWitt Clinton High School,0.81999999
Susan E. Wagner High School,0.91000003
Frederick Douglass Academy II Secondary School,0.81999999
Queens High School for the Sciences at York College,0.97000003
Liberation Diploma Plus,0.47999999
"Eagle Academy for Young Men of Staten Island, The",0.88999999
Brooklyn Institute for Liberal Arts (BILA),0.91000003
Bronx School of Law and Finance,0.79000002
"Facing History School, The",0.80000001
William E. Grady Career and Technical Education High School,0.81999999
Life Academy High School for Film and Music,0.83999997
"City Polytechnic High School of Engineering, Architecture, and Technology",0.91000003
