rangea,engroupa,school_year,total,count,average
2001-2500,10C,2016 - 17,50.0,1,50.0
751-1000,5C,2016 - 17,32.0,8,6.4
251-500,3C,2016 - 17,27.0,29,2.25
1751-2000,9C,2016 - 17,24.0,2,12.0
501-750,4C,2016 - 17,19.0,23,1.3571428571428572
1-250,2C,2016 - 17,9.0,18,1.8
1251-1500,7C,2016 - 17,4.0,1,4.0
1-250,5C,2016 - 17,2.0,4,1.0
751-1000,2C,2016 - 17,2.0,4,1.0
1001-1250,6C,2016 - 17,0.0,4,0.0
