school_name,code1,t3_school_name,category,count,avg_value,total_value,max_value
"Mathematics, Science Research and Technology Magnet High School",Q55A,"Mathematics, Science Research and Technology Magnet High School",Medium Attendance,1,0.83999997,0.83999997,0.83999997
Liberation Diploma Plus,L72A,Liberation Diploma Plus,Low Attendance,1,0.47999999,0.47999999,0.47999999
Bronx School of Law and Finance,X28A,Bronx School of Law and Finance,Low Attendance,1,0.79000002,0.79000002,0.79000002
DeWitt Clinton High School,X10A,DeWitt Clinton High School,Medium Attendance,1,0.81999999,0.81999999,0.81999999
New Utrecht High School,K28A,New Utrecht High School,Medium Attendance,1,0.88,0.88,0.88
"Eagle Academy for Young Men of Staten Island, The",R28L,"Eagle Academy for Young Men of Staten Island, The",Medium Attendance,1,0.88999999,0.88999999,0.88999999
"Metropolitan High School, The",X77R,"Metropolitan High School, The",Low Attendance,1,0.77999997,0.77999997,0.77999997
Brooklyn Institute for Liberal Arts (BILA),L17A,Brooklyn Institute for Liberal Arts (BILA),High Attendance,1,0.91000003,0.91000003,0.91000003
Susan E. Wagner High School,R17A,Susan E. Wagner High School,High Attendance,1,0.91000003,0.91000003,0.91000003
Frederick Douglass Academy II Secondary School,M39A,Frederick Douglass Academy II Secondary School,Medium Attendance,1,0.81999999,0.81999999,0.81999999
"Michael J. Petrides School, The",R15J,"Michael J. Petrides School, The",High Attendance,1,0.92000002,0.92000002,0.92000002
Brooklyn Collegiate: A College Board School,K93X,Brooklyn Collegiate: A College Board School,Medium Attendance,1,0.83999997,0.83999997,0.83999997
Life Academy High School for Film and Music,L38A,Life Academy High School for Film and Music,Medium Attendance,1,0.83999997,0.83999997,0.83999997
"Facing History School, The",M02R,"Facing History School, The",Medium Attendance,1,0.80000001,0.80000001,0.80000001
New Design High School,M53A,New Design High School,Medium Attendance,1,0.82999998,0.82999998,0.82999998
Epic High School - North,Q65A,Epic High School - North,Medium Attendance,1,0.85000002,0.85000002,0.85000002
Robert F. Kennedy Community High School,Q70A,Robert F. Kennedy Community High School,Medium Attendance,1,0.89999998,0.89999998,0.89999998
"City Polytechnic High School of Engineering, Architecture, and Technology",L59A,"City Polytechnic High School of Engineering, Architecture, and Technology",High Attendance,1,0.91000003,0.91000003,0.91000003
William E. Grady Career and Technical Education High School,K67A,William E. Grady Career and Technical Education High School,Medium Attendance,1,0.81999999,0.81999999,0.81999999
Urban Assembly New York Harbor School,K51A,Urban Assembly New York Harbor School,Medium Attendance,1,0.88999999,0.88999999,0.88999999
George Westinghouse Career and Technical Education High School,K70C,George Westinghouse Career and Technical Education High School,Medium Attendance,1,0.88,0.88,0.88
Queens High School for the Sciences at York College,Q00S,Queens High School for the Sciences at York College,High Attendance,1,0.97000003,0.97000003,0.97000003
