school_name,program_count,alphabetic_name_long,program_highlights,progcount
New Utrecht High School,1,New Utrecht High School,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",8
Frederick Douglass Academy IV Secondary School,1,Frederick Douglass Academy IV Secondary School,"College Now with Medgar Evers College, Fresh Prep Core, Science, Technology, Engineering & Mathematics (STEM) Robotics with New York City College of Technology, Dance4Peace",1
Energy Tech High School,1,Energy Tech High School,"Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.",1
Juan Morel Campos Secondary School,1,Juan Morel Campos Secondary School,"4-year sequence of talent courses culminating in an Arts Endorsed Diploma opportunity, Advanced Placement courses, college readiness counseling provided by College Bound Initiative counselor, CUNY At Home In College English and math courses, blended/online learning for credit through APEX/AVENTA, mentoring with working professionals through iMentor, art installations in local galleries through partnerships with BRIC Rotunda and NURTUREart, technology courses",4
Landmark High School,1,Landmark High School,"Performance-based Assessments: All students are required to do in-depth research and writing and present their portfolios in front of a committee. College Opportunities: College Now, Upward Bound, College Trips, Full-time College Advisor, Partnerships with Baruch College, New York University (NYU), and John Jay College. Special programs: Art for Progress, Music classes through the Midori Foundation, Jazz Ensemble, Choral Music, Drama Program with Stage Doors and Youth Theater Initiative, SAT Prep, After-school clubs and activities, PSAL Sports",1
Bronx Center for Science and Mathematics,1,Bronx Center for Science and Mathematics,"Advisory, Guidance and College Preparatory, Mentoring, Leadership, Summer Enrichment at universities and colleges, PSAT and SAT Preparatory, Comprehensive After-school Program, Peer Tutoring, Evening School and Summer Institute for Credit Recovery",1
Bronxdale High School,1,Bronxdale High School,"Advisory, Pre-College and Career Planning, Read 180, AP's Springboard, Great Books, Technology in every classroom, Arts, Culinary Arts, College Visits, Artist-in-Residence for Drama, Inquiry-Based Learning, Partnership with the Institute for Student Achievement",1
Gaynor McCown Expeditionary Learning School,1,Gaynor McCown Expeditionary Learning School,"Expeditionary Learning: in-depth investigations of academic curricula that incorporate real-world connections, project-based learning and character development, utilizing outside experts; Crew: Advisory group of 12-15 students who work with one staff member to receive guidance, develop leadership, support academics and build character",1
Harry S Truman High School,1,Harry S Truman High School,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",7
John Dewey High School,1,John Dewey High School,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",8
Mott Hall High School,1,Mott Hall High School,"Online grading system for parents and students, Before- and -after school tutoring, Saturday Academy, Tutoring with City College, College Now, College for Every Student (CFES), College Prep with Columbia University, Regents Prep Program, iZone, Advanced Placement courses, Credit Recovery Electives",1
Preparatory Academy for Writers: A College Board School,1,Preparatory Academy for Writers: A College Board School,"Individualized College, Academic and Career Planning; Advisory, Focus on developing strong writing skills",1
"The Young Women's Leadership School, Queens",1,"Young Women's Leadership School, Queens, The","CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",1
Queens Preparatory Academy,1,Queens Preparatory Academy,"College Advisory, College Tours, College Now Courses, Humanities, Financial Literacy, Pre-engineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership & Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day Science, Technology, Engineering, and Mathematics (STEM) Enrichment Courses, Summer Enrichment Placements, 3-year Talent Block: Visual Arts, School Band, Improv, Senior Internship, 9th Grade Leadership Development, Career and College Planning",1
Academy of Innovative Technology,1,Academy of Innovative Technology,"Application Programming & Game Design: A three-year sequence in learning the newest technology in gaming design; Courses in Java, Graphic design, C ++ and Objective-C (computer languages that are more widely used in iPhone platforms and game design programming); A three-year sequence in web designing: Web Design (Dreamweaver, Front Page, Photoshop). Students take Dreamweaver application, web page design, web page authoring and other supporting technologies and at the end of the sequence. Students can earn Adobe certifications in Flash and Dreamweaver Microsoft Office Specialists (MOS).",1
Williamsburg High School for Architecture and Design,1,Williamsburg High School for Architecture and Design,"Students may receive CTE endorsement in the following areas: Architectural Drafting & Architectural CAD/CADD. As part of our studio and portfolio requirements, students are challenged to build working prototypes of their designs. This course of study has made our students highly desirable for paid internship positions at industry partners. Students are also given opportunities to engage in the ACE mentoring, SkillsUSA and College Now programs.",1
International Community High School,1,International Community High School,"Small academic classes that incorporate English and Native Languages, Internship, Advisory, College Now, Drama, Studio Art, College Summit, Senior Mentoring",1
High School for Energy and Technology,1,High School for Energy and Technology,"CTE Program Sequences in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-based Learning, Work-based Internship Opportunities, College Trips, College Prep Counseling, Career Counseling. As we expand, we plan to offer Online AP courses in Calculus AB, Calculus BC, World History, United States History, Environmental Science, and English Literature",1
Middle College High School at LaGuardia Community College,1,Middle College High School at LaGuardia Community College,"The focus in grades 9 and 10 (lower division) is academic and literacy skill development to prepare students for college course work. Starting in the 10th grade students become eligible to apply for college courses. During their senior year, students can apply to remain a 5th year to receive their Associate Degree or earn college credits from LaGuardia Community College. All students are required to enroll in college classes. All students who are enrolled in college classes receive extra support through daily seminar classes.",1
High School for Media and Communications,1,High School for Media and Communications,"Visual Arts Program, Creative Writing/Theater Arts Program, Honors-level courses in English, Global History, and United States History; Journalism/School Newspaper, Student Leadership Program, Freshman Advisory Program, National Honor Society, Writing for College, Introduction to Film, Achieve Now Academy Program, Student Government, College Now Program at The City College of New York",1
Ralph R. McKee Career and Technical Education High School,1,Ralph R. McKee Career and Technical Education High School,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",6
