manhattan_condominiums_comparable_properties_neighborhood,manhattan_condominiums_comparable_properties_year_built,category,count,avg_value,total_value,max_value
GREENWICH VILLAGE-WEST,1920.0,high value,1,33435001.0,33435001.0,33435001
FINANCIAL,1914.0,high value,1,155560004.0,155560004.0,155560004
MIDTOWN EAST,1958.0,high value,1,17572000.0,17572000.0,17572000
UPPER WEST SIDE (59-79),1928.0,high value,1,27884001.0,27884001.0,27884001
CHELSEA,1939.0,high value,1,10844996.0,10844996.0,10844996
UPPER EAST SIDE (59-79),1958.0,high value,1,38138999.0,38138999.0,38138999
GREENWICH VILLAGE-CENTRAL,2006.0,high value,1,17914001.0,17914001.0,17914001
MIDTOWN EAST,1941.0,high value,1,8611002.0,8611002.0,8611002
MIDTOWN EAST,2000.0,high value,1,275918004.0,275918004.0,275918004
TRIBECA,1986.0,high value,1,28015990.0,28015990.0,28015990
UPPER WEST SIDE (59-79),1900.0,medium value,1,2728001.0,2728001.0,2728001
EAST VILLAGE,1920.0,high value,1,13580000.0,13580000.0,13580000
UPPER WEST SIDE (79-96),1902.0,medium value,1,4202008.0,4202008.0,4202008
GREENWICH VILLAGE-CENTRAL,1900.0,medium value,1,2044001.0,2044001.0,2044001
UPPER WEST SIDE (79-96),1985.0,high value,1,82594009.0,82594009.0,82594009
MURRAY HILL,2007.0,high value,1,57068992.0,57068992.0,57068992
TRIBECA,2005.0,high value,1,77801025.0,77801025.0,77801025
CHELSEA,1980.0,high value,1,27000000.0,27000000.0,27000000
MIDTOWN WEST,1963.0,high value,1,25409869.0,25409869.0,25409869
MURRAY HILL,1920.0,medium value,1,4556654.0,4556654.0,4556654
GREENWICH VILLAGE-WEST,1929.0,medium value,1,2174002.0,2174002.0,2174002
EAST VILLAGE,1991.0,medium value,1,4862000.0,4862000.0,4862000
EAST VILLAGE,1900.0,medium value,1,2680000.0,2680000.0,2680000
SOHO,2003.0,high value,1,7447000.0,7447000.0,7447000
MIDTOWN EAST,2003.0,high value,1,51559018.0,51559018.0,51559018
MIDTOWN WEST,1947.0,high value,1,9745001.0,9745001.0,9745001
SOHO,2003.0,medium value,1,4560000.0,4560000.0,4560000
SOHO,1920.0,medium value,1,4961001.0,4961001.0,4961001
FLATIRON,1908.0,high value,1,5420000.0,5420000.0,5420000
UPPER EAST SIDE (59-79),1928.0,high value,1,14706034.0,14706034.0,14706034
UPPER WEST SIDE (79-96),1913.0,high value,1,7645006.0,7645006.0,7645006
FINANCIAL,1920.0,medium value,1,4449000.0,4449000.0,4449000
UPPER EAST SIDE (59-79),1910.0,medium value,1,4995001.0,4995001.0,4995001
CHELSEA,2004.0,high value,1,12247999.0,12247999.0,12247999
MIDTOWN WEST,2005.0,high value,1,36282001.0,36282001.0,36282001
GREENWICH VILLAGE-WEST,1964.0,high value,1,16715003.0,16715003.0,16715003
CLINTON,2007.0,high value,1,62080991.0,62080991.0,62080991
UPPER WEST SIDE (59-79),1988.0,high value,1,9932997.0,9932997.0,9932997
FLATIRON,1907.0,high value,1,8327000.0,8327000.0,8327000
ALPHABET CITY,2001.0,low value,1,1765999.0,1765999.0,1765999
MIDTOWN EAST,1960.0,high value,1,37252000.0,37252000.0,37252000
MURRAY HILL,1922.0,high value,1,8809998.0,8809998.0,8809998
LOWER EAST SIDE,1950.0,high value,1,17869000.0,17869000.0,17869000
UPPER WEST SIDE (59-79),1939.0,high value,1,6237003.0,6237003.0,6237003
MIDTOWN WEST,1912.0,high value,1,5618000.0,5618000.0,5618000
FINANCIAL,1900.0,low value,1,1875000.0,1875000.0,1875000
UPPER WEST SIDE (59-79),1998.0,high value,1,54230013.0,54230013.0,54230013
GREENWICH VILLAGE-WEST,1893.0,medium value,1,3513999.0,3513999.0,3513999
TRIBECA,1915.0,medium value,1,2798000.0,2798000.0,2798000
UPPER EAST SIDE (59-79),1915.0,low value,1,896504.0,896504.0,896504
