building_manager,total_high_gallons
MIRANDA REALTY ASSOC.,86140.0
MURRAY HILL OWNERS CO.,57232.0
NEW BEDFORD MGMT,54604.0
THREE O REALTY LLC,40824.0
ONE HUDSON PARK INC,75555.0
T.U.C. MANAGEMENT CO.INC.,14746.0
"TUR,JOSE",21900.0
77 PARK AVE. CONDOMINIUM,168356.0
CHURCH MANAGEMENT,168356.0
CHARLES H. GREENTHAL,269969.0
R.G.A. AGENT/38 WEST 32 ASSOCIATES,66000.0
12 E 12 STREET CONDO,38115.0
WEST 63 EMPIRE ASSOCIATES LLC,93294.0
JEFFREY MANAGEMENT,205312.0
CONCOURSE MGMT/BLDG MGMT INC.,29200.0
HELMSLEY SPEAR INC.,120085.0
RANDAL HSE. OWNERS % AKAM ASSOC.,82125.0
PR 30 LLC,21681.0
162 ASSOCIATES LLCC/O MUTRRY HILL,49056.0
227 TENANTS CORP.,19856.0
MARTY MYERS/EDWIN,21000.0
MOCAL ENTERPRISES INC.,81304.0
ESTATE OF EDWIN S. LOWE/CHASE MAN,82125.0
ENF. 11/20/92,26280.0
GVA WILLIAMS REAL ESTATE CO.,16470.0
ONE FIFTH AVE APT/INSIGNIA RESIDENT,328500.0
"CHELSEA 25, LLC",44457.0
"LEIST,FRED",21079.0
130 WEST 57 STREET CO,45990.0
CHARLES STREET ASSOCIATES,23360.0
LEE KWAN CHAH,14800.0
REAL ESTATE INDUSTRIAL INC.,78840.0
MOSHE GLICKMAN,59447.0
JENEL MANAGMENT,50820.0
HUNTER COLLEGE,0.0
CAPITAL BUILDING LOFT CORP.,33600.0
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,25800.0
110 W.40 JOINT VENTURE,57720.0
WASSERSTEIN BROS,52871.0
MANCHESTER WEST 36 LLC,56575.0
MARTIN BAUMRIND,26953.0
DEZER PROPERTIES,33375.0
BROCROS REALTY,14500.0
119 FIFTH AVE.CORP.,29740.0
CARL S YOUNG,54896.0
55 PARK TENANTS CORP.,32850.0
OUR LADY OF POMPEI R.C.CHURCH,37800.0
PARISH OF TRINITY CHURCH,41063.0
ELO EQUITIES LLC,24500.0
470P.A.ASSOC/S.L.GREEN MG,73913.0
