longitude,total_indirect_ghg_emissions,property_name,latitude,longitude_1,property_name_1,latitude_1
-73.779099,1.2,Q169-0400153,40.782298,-73.779099,Q169-0400153,40.782298
-74.028842,1.3,K104-0300114,40.618415,-74.028842,K104-0300114,40.618415
-73.96198,1.2,K209-0300212,40.586845,-73.96198,K209-0300212,40.586845
-73.97518,1.4,K095-0300106,40.595698,-73.97518,K095-0300106,40.595698
-73.940747,1.3,K044-0300066,40.686592,-73.940747,K044-0300066,40.686592
-73.853524,1.5,X127-0200170,40.837931,-73.853524,X127-0200170,40.837931
-73.734043,1.3,Q038-0400036,40.671561,-73.734043,Q038-0400036,40.671561
-73.933114,1.4,K135-0300142,40.65364,-73.933114,K135-0300142,40.65364
-73.845968,1.6,X087-0200127,40.895104,-73.845968,X087-0200127,40.895104
-74.006636,5.3,NE - 111 WALL STREET,40.704553,-74.006636,NE - 111 WALL STREET,40.704553
-73.931857,1.1,K026-0300051,40.69211,-73.931857,K026-0300051,40.69211
-73.948368,0.9,M108-0100099,40.795146,-73.948368,M108-0100099,40.795146
-73.859662,1.0,X131-0200174,40.823526,-73.859662,X131-0200174,40.823526
-73.968618,5.4,909 Third Avenue,40.758744,-73.968618,909 Third Avenue,40.758744
-73.87596,1.4,K615-0300350,40.678276,-73.87596,K615-0300350,40.678276
-73.983056,1.2,M140-0100125,40.71925,-73.983056,M140-0100125,40.71925
-73.966558,2.2,K217-0300221,40.63398,-73.966558,K217-0300221,40.63398
-73.918681,4.9,X460-0201311,40.827607,-73.918681,X460-0201311,40.827607
-73.898912,0.9,X060-0200095,40.820403,-73.898912,X060-0200095,40.820403
-73.982826,4.0,1155,40.756631,-73.982826,1155,40.756631
-73.837946,2.3,Q196-0400172,40.722782,-73.837946,Q196-0400172,40.722782
-73.90864,1.3,K151-0300153,40.693293,-73.90864,K151-0300153,40.693293
-73.797003,1.4,Q048-0400043,40.694119,-73.797003,Q048-0400043,40.694119
-73.977783,1.5,K321-0300309,40.67146,-73.977783,K321-0300309,40.67146
-74.028086,3.6,K989-0301732,40.619931,-74.028086,K989-0301732,40.619931
-73.986713,2.1,K247-0300250,40.612273,-73.986713,K247-0300250,40.612273
-73.943731,3.9,Court Square Place,40.748206,-73.943731,Court Square Place,40.748206
-73.91796,1.3,X090-0200131,40.831992,-73.91796,X090-0200131,40.831992
-73.886953,1.1,X048-0200085,40.814425,-73.886953,X048-0200085,40.814425
-73.976905,1.2,K430-0300346,40.688834,-73.976905,K430-0300346,40.688834
-74.132919,2.2,R020-0500043,40.636598,-74.132919,R020-0500043,40.636598
-73.971313,1.0,K100-0300111,40.57732,-73.971313,K100-0300111,40.57732
-73.854539,1.2,Q816-0401635,40.577026,-73.854539,Q816-0401635,40.577026
-73.93938,1.3,Q111-0400098,40.758831,-73.93938,Q111-0400098,40.758831
-73.853366,1.4,X138-0200182,40.822665,-73.853366,X138-0200182,40.822665
-73.919903,1.2,X040-0200076,40.809534,-73.919903,X040-0200076,40.809534
-73.995022,1.3,K227-0300232,40.62191,-73.995022,K227-0300232,40.62191
-73.892805,2.7,Q012-0400012,40.742633,-73.892805,Q012-0400012,40.742633
-74.011558,1.3,K015-0300019,40.677343,-74.011558,K015-0300019,40.677343
-73.986402,5.7,51 Madison,40.743023,-73.986402,51 Madison,40.743023
-73.974306,7.2,200,40.750698,-73.974306,200,40.750698
-73.897767,3.0,X171-0201229,40.841596,-73.897767,X171-0201229,40.841596
-73.88577,2.0,X074-0200112,40.815455,-73.88577,X074-0200112,40.815455
-73.917668,1.5,X166-0200207,40.828696,-73.917668,X166-0200207,40.828696
-73.911705,1.3,K175-0300178,40.665878,-73.911705,K175-0300178,40.665878
-73.844432,1.0,Q207-0400179,40.658089,-73.844432,Q207-0400179,40.658089
-73.886547,1.3,K306-0300301,40.655997,-73.886547,K306-0300301,40.655997
-73.871641,1.3,Q127-0400113,40.764646,-73.871641,Q127-0400113,40.764646
-73.907962,5.1,RIVERDALE (1798),40.873644,-73.907962,RIVERDALE (1798),40.873644
