location_name,total_community_district_1
Riverdale Avenue Community School,316.0
Brooklyn High School for Law and Technology,303.0
P.S. 132 Juan Pablo Duarte,112.0
Harlem Village Academy East Charter School,111.0
KAPPA IV,110.0
The International Charter School of New York,302.0
M.S. 061 Dr. Gladstone H. Atwell,309.0
Bushwick Leaders High School for Academic Excellen,304.0
P.S./I.S. 217 Roosevelt Island,108.0
J.H.S. 050 John D. Wells,301.0
P.S. 151 Lyndon B. Johnson,304.0
P.S. 188 The Island School,103.0
Academy of Innovative Technology,305.0
School of Science & Technology,628.0
Samuel J. Tilden High School,317.0
P.S. 219 Kennedy-King,317.0
Innovation Diploma Plus,107.0
Achievement First Bushwick Charter School,304.0
P.S. 399 Stanley Eugene Clark,317.0
Brooklyn Arts and Science Elementary School,308.0
Community Preparatory High School,105.0
The Math & Science Exploratory School,302.0
Urban Assembly Institute of Math and Science for Y,302.0
Cypress Hills Collegiate Preparatory School,305.0
Leadership Preparatory Brownsville Charter School,316.0
P.S. 747 A Great Start Academy,316.0
Wadleigh Secondary School for the Performing & Vis,110.0
Bedford Academy High School,303.0
P.S. 149 Sojourner Truth,110.0
Coney Island Preparatory Public Charter School,626.0
Capital Preparatory (CP) Harlem Charter School,111.0
P.S. 131 Brooklyn,312.0
Democracy Prep Endurance Charter School,110.0
The Uft Charter School,305.0
Freedom Academy High School,302.0
P.S. 134 Henrietta Szold,103.0
N.Y.C. Lab School for Collaborative Studies,104.0
River East Elementary,111.0
I.S. 136 Charles O. Dewey,307.0
P.S. 018 Park Terrace,112.0
P.S. 139 Alexine A. Fenty,314.0
P.S. 333 Manhattan School for Children,107.0
Success Academy Charter School - Bed Stuy 3,303.0
P.S. 205 Clarion,311.0
The Academy of Talented Scholars,311.0
IS 370m Learning Project Ms,103.0
P.S. 101 Andrew Draper,111.0
P.S. M169 - Robert F. Kennedy,108.0
ACORN Community High School,308.0
P.S. 251 Paerdegat,318.0
