fact_column,location_1,location_2,location_1_1,location_2_1,total_dimension1,average_dimension2
31R056,563 Bedford Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",563 Bedford Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",5.4,2.3
13K093,75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",75 Meserole Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,
MACU,69 Macdonough Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",69 Macdonough Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",12.6,3.1
31R057,5302 21st Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",5302 21st Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",25.5,1.8
25Q107,57-40 Marathon Parkway,"{'human_address': '{""address"": """", ""city"": ""LITTLE NECK"", ""state"": ""NY"", ""zip"": ""11362""}'}",57-40 Marathon Parkway,"{'human_address': '{""address"": """", ""city"": ""LITTLE NECK"", ""state"": ""NY"", ""zip"": ""11362""}'}",,
27Q051,2 Russell Place,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",2 Russell Place,"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",12.6,2.5
KAXC,2017 Beverley Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",2017 Beverley Road,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",16.799999999999997,2.9
04M072,421 East 106th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",421 East 106th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",13.8,2.1
23K599,128-02 7 Avenue,"{'human_address': '{""address"": """", ""city"": ""COLLEGE POINT"", ""state"": ""NY"", ""zip"": ""11356""}'}",128-02 7 Avenue,"{'human_address': '{""address"": """", ""city"": ""COLLEGE POINT"", ""state"": ""NY"", ""zip"": ""11356""}'}",6.6,3.9
27Q316,201-15 115th Avenue,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",201-15 115th Avenue,"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",4.9,2.9
RACL,34-47 88th Street,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11372""}'}",34-47 88th Street,"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11372""}'}",6.3,3.0
KBWQ,383 3rd Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",383 3rd Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",42.0,2.1999999999999997
Z064,60-02 60th Lane,"{'human_address': '{""address"": """", ""city"": ""MASPETH"", ""state"": ""NY"", ""zip"": ""11378""}'}",60-02 60th Lane,"{'human_address': '{""address"": """", ""city"": ""MASPETH"", ""state"": ""NY"", ""zip"": ""11378""}'}",6.8,3.0
KBKJ,199 14th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",199 14th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",40.599999999999994,2.1
Z070,95 Grove Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",95 Grove Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",27.6,3.3
05M092,175 West 134th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",175 West 134th Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",4.5,2.7
14K297,211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",211 8th Street,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",46.900000000000006,3.3999999999999995
02M111,440 West 53rd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",440 West 53rd Street,"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",6.5,3.2
22K361,55-24 Van Horn Street,"{'human_address': '{""address"": """", ""city"": ""ELMHURST"", ""state"": ""NY"", ""zip"": ""11373""}'}",55-24 Van Horn Street,"{'human_address': '{""address"": """", ""city"": ""ELMHURST"", ""state"": ""NY"", ""zip"": ""11373""}'}",6.6,3.4
26Q213,535 Briar Place,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",535 Briar Place,"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",,
13K133,131 Norman Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",131 Norman Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",,
30Q078,380 Genesee Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",380 Genesee Avenue,"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",13.2,5.3
KBAZ,420 Lefferts Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",420 Lefferts Avenue,"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",15.600000000000001,2.5
