job_filing_number,t3_job_filing_number,elevator_type,category,count,avg_value,total_value,max_value
M00105366-I1,M00105366-I1,Passenger,short,1,0.0,0.0,0.0
M01050759-I1,M01050759-I1,Passenger,short,1,0.0,0.0,0.0
Q00275844-I1,Q00275844-I1,Passenger,short,1,5.0,5.0,5.0
M00456084-I1,M00456084-I1,Passenger,short,1,,,
B01186523-I1,B01186523-I1,Passenger,short,1,0.0,0.0,0.0
M00201338-I1,M00201338-I1,Passenger,short,1,375.0,375.0,375.0
Q00279628-I1,Q00279628-I1,Passenger,short,1,0.0,0.0,0.0
M00080062-P1,M00080062-P1,Passenger,short,1,170.0,170.0,170.0
X00688848-P1,X00688848-P1,Passenger,short,1,0.0,0.0,0.0
Q00305648-I1,Q00305648-I1,Passenger,short,1,0.0,0.0,0.0
M00898726-I1,M00898726-I1,Passenger,short,1,0.0,0.0,0.0
M00193197-I1,M00193197-I1,Passenger,short,1,130.0,130.0,130.0
M00163402-I1,M00163402-I1,Passenger,short,1,0.0,0.0,0.0
S08026288-P1,S08026288-P1,Passenger,short,1,18.0,18.0,18.0
M00333832-I1,M00333832-I1,Passenger,short,1,0.0,0.0,0.0
Q00889875-I1,Q00889875-I1,Passenger,short,1,0.0,0.0,0.0
B00197364-I1,B00197364-I1,Passenger,short,1,0.0,0.0,0.0
B00881496-I1,B00881496-I1,Passenger,short,1,0.0,0.0,0.0
M00171891-I1,M00171891-I1,Passenger,short,1,155.0,155.0,155.0
X00643851-I1,X00643851-I1,Passenger,short,1,,,
M00121955-I1,M00121955-I1,Passenger,short,1,400.0,400.0,400.0
X00187687-I1,X00187687-I1,Passenger,short,1,0.0,0.0,0.0
M00174384-I1,M00174384-I1,Passenger,short,1,0.0,0.0,0.0
M00315470-I1,M00315470-I1,Passenger,short,1,0.0,0.0,0.0
B00102117-I1,B00102117-I1,Passenger,short,1,60.0,60.0,60.0
M00500935-I1,M00500935-I1,Passenger,short,1,,,
M00278202-I1,M00278202-I1,Passenger,short,1,0.0,0.0,0.0
M00047252-I1,M00047252-I1,Passenger,short,1,0.0,0.0,0.0
M00026276-P1,M00026276-P1,Passenger,short,1,0.0,0.0,0.0
Q00322628-I1,Q00322628-I1,Passenger,short,1,0.0,0.0,0.0
M00318072-I1,M00318072-I1,Passenger,short,1,0.0,0.0,0.0
Q00503279-I1,Q00503279-I1,Passenger,short,1,,,
B01037519-I1,B01037519-I1,Passenger,short,1,0.0,0.0,0.0
M01042439-I1,M01042439-I1,Passenger,very_long,1,985.0,985.0,985.0
M00210757-I1,M00210757-I1,Passenger,short,1,0.0,0.0,0.0
B00361636-I1,B00361636-I1,Passenger,short,1,0.0,0.0,0.0
M00254733-I1,M00254733-I1,Passenger,short,1,100.0,100.0,100.0
M00128274-I1,M00128274-I1,Passenger,short,1,250.0,250.0,250.0
M00547393-P2,M00547393-P2,Passenger,short,1,250.0,250.0,250.0
M00183708-I1,M00183708-I1,Passenger,short,1,0.0,0.0,0.0
M00724655-I1,M00724655-I1,Passenger,short,1,280.0,280.0,280.0
B00710408-I1,B00710408-I1,Passenger,short,1,123.0,123.0,123.0
Q08015133-P1,Q08015133-P1,Escalator,short,1,,,
M00204225-I1,M00204225-I1,Passenger,short,1,360.0,360.0,360.0
