reporting_year,total_dimension1,average_dimension2
2017,5.0,1.0
2022,25.0,1.1363636363636365
2016,7.0,1.1666666666666667
2025,9.0,1.0
2015,27.0,1.08
2023,14.0,1.1666666666666667
2021,16.0,1.2307692307692308
2019,7.0,1.4
2018,3.0,1.0
2020,22.0,2.2
2024,21.0,1.5
