initial_cost,filing_representative_first_name,block,owner_s_business_name,signoff_date,in_compliance_with_nycecc,rank,dense_rank
70000.0,MARTIN,1089,SILVERSTEIN PROPERTIES INC.,2022-05-02,True,1,1
6000.0,,3087,PR,2022-12-27,True,1,2
150000.0,SHMUEL,2449,CAPSTONE PROPERTY CARE,2024-06-24,True,1,3
1574865.0,BERNARD,4355,NEW YORK CITY HOUSING AUTHORITY,2025-03-18,True,1,4
162500.0,KATHERINE,2110,HOLDINGS LLC,,True,1,5
5000.0,MUHAMMAD,1892,TRIARCH MANAGEMENT INC,,True,1,5
1800.0,HELEN,1720,ACP BK1 LLC,,True,1,5
38850.0,MU/RO/BR/SE,1261,,,True,1,5
4000.0,JOHN,1261,JORGE MOLINA,,True,3,5
12000.0,,1068,PR,,True,1,5
4000.0,JOHN,1261,JORGE MOLINA,2019-06-03,False,3,1
38850.0,MU/RO/BR/SE,1261,,2019-06-03,False,1,1
1150.0,MATTHEW,14260,PR,2019-09-10,False,1,2
1000.0,,1382,PHOENIX SUTTON STR INC,2020-10-07,False,1,3
7000.0,KHEMRAJ,1786,701 LAFAYETTE AVE LLC.,2020-10-16,False,1,4
1000.0,QIUYUAN,3611,FOREVER TEA INC,2023-01-26,False,1,5
110000.0,SUNITA,646,PR,2023-02-17,False,1,6
100.0,STEVEN,2411,BEDFORD ENTERPRISES,2023-04-27,False,1,7
100000.0,SUNITA,1234,"169 CH9 OWNER, LLC",2023-09-11,False,1,8
30000.0,,1211,GUIDANCE REALTY CORPORATION,2023-09-18,False,1,9
1.0,WILLIAM,1290,SPRING SCAFFOLDING LLC,2023-12-29,False,1,10
20000.0,,684,MARTAN MANAGEMENT LLC,2024-01-05,False,1,11
6000.0,,6705,TOMASHOVER CONG,2024-01-23,False,1,12
4000.0,JAFAR,1390,HKS CONSTRUCTION CORP,2024-02-23,False,1,13
10000.0,MOSES,5309,PARK,2024-03-14,False,1,14
57438.0,AJ,3357,PR,2024-04-11,False,1,15
5000.0,TANUPREET,9756,BK CONSTRUCTIONDBA SRT CONSTRUCTION,2024-10-25,False,1,16
101372.6,PANAJOT,1273,SECOND AVE SOLOW DEV CORP,2025-01-13,False,1,17
37500.0,,1142,PR,2025-01-28,False,1,18
10000.0,JOEL,5111,PITKIN GROUP LLC,2025-12-15,False,1,19
6000.0,STACEY,585,GROVE PAD TRUST,,False,1,20
158730.0,,1549,PI CAPITAL,,False,1,20
0.0,SUNITA,424,,,False,1,20
5250.0,,11086,PR,,False,1,20
10000.0,John,5933,RIVERSPRING HEBREW HOME AT RIVERDAL,,False,1,20
500.0,WINSTON,1015,A,,False,1,20
200.0,MATTHEW,778,W28th Development LLC,,False,1,20
10000.0,SHAVONN,5469,UNIVERSAL DESIGN & CONSTR MGMT,,False,1,20
9000.0,,632,PR,,False,1,20
9000.0,,632,PR,,False,1,20
20000.0,ARIEL,498,PRINCE TOWER TENANTS CORP,,False,1,20
203626.0,,500,,,False,1,20
216750.0,JULIAN,2582,PR,,False,1,20
1000.0,JOEL,85,DAVIS STREET DEVELOPMENT LLC,,False,1,20
32500.0,JOEL,2238,PROACTIVE BUILDING SOLUTIONS,,False,1,20
0.0,JOEL,15572,KBY BUILDING,,False,1,20
0.0,ROBERT,829,SAVANNA,,False,1,20
50000.0,ZHEN RONG,3699,BASIC GROUPS CORP,,False,1,20
14700.0,MARTIN,1014,TISHMAN REAL ESTATE MANAGEMENT,,False,1,20
999758.48,RODOLFO,3641,NYC SCA,,False,1,20
68250.0,JULIAN,867,NMC PROPERTY MANAGEMENT,,False,1,20
95000.0,EARL,961,PR,,False,1,20
7700.0,KATHERINE,1249,"203 WEST 90TH STREET RETAIL, LLC",,False,1,20
57438.0,AJ,3357,PR,,False,1,20
