doitt_id,total_coundist,type,activated
4089,17.0,Free,2018-01-12
1112,32.0,Limited Free,9999-09-09
4055,38.0,Free,2018-05-02
3568,7.0,Free,2016-09-06
4336,2.0,Free,2018-04-24
3108,2.0,Free,2016-05-17
3558,4.0,Free,2016-07-21
65,1.0,Free,9999-09-09
1769,10.0,Free,9999-09-09
3873,9.0,Free,2016-10-14
4117,4.0,Free,2018-04-04
504,3.0,Free,9999-09-09
1236,16.0,Limited Free,9999-09-09
895,39.0,Limited Free,9999-09-09
4658,34.0,Free,2018-03-30
4067,26.0,Free,2018-03-14
206,150.0,Limited Free,9999-09-09
1588,8.0,Free,9999-09-09
510,1.0,Free,9999-09-09
4294,8.0,Free,2017-06-21
3248,3.0,Free,2016-04-27
362,42.0,Free,9999-09-09
3216,3.0,Free,2016-07-21
3991,7.0,Free,2018-01-12
3951,4.0,Free,2018-10-18
459,39.0,Free,9999-09-09
1550,4.0,Free,9999-09-09
1201,28.0,Limited Free,9999-09-09
3034,39.0,Free,2017-08-15
3677,4.0,Free,2017-04-14
746,9.0,Free,9999-09-09
3469,40.0,Free,2017-10-30
3530,6.0,Free,2017-06-29
820,6.0,Limited Free,9999-09-09
3646,1.0,Free,2016-09-06
3126,2.0,Free,2016-01-26
4653,34.0,Free,2018-03-29
273,33.0,Free,9999-09-09
3963,34.0,Free,2017-06-09
3347,4.0,Free,2016-03-24
3569,7.0,Free,2017-03-13
1569,27.0,Free,9999-09-09
3423,6.0,Free,2016-05-12
85,3.0,Free,9999-09-09
794,9.0,Free,9999-09-09
3333,4.0,Free,2017-10-16
4600,8.0,Free,2018-07-02
11,9.0,Free,9999-09-09
3534,7.0,Free,2016-09-06
3960,6.0,Free,2016-10-25
