lotid,total_lot_billing
152654,
111750,
181903,0.0
66271,
122541,
107635,
204033,0.0
13967,
163786,
131159,
67726,870.08
210567,0.0
147281,
31105,
134136,
40251,
10285,
126197,
185409,0.0
207691,0.0
28725,
182954,0.0
75266,
209541,0.0
161575,
36588,
79234,410.87
101001,
177491,0.0
182361,0.0
130151,
167219,
94024,
109674,731.56
49531,
41841,
51402,
112453,
45939,
75626,
211158,0.0
106434,
134747,
8132,
56436,
148982,
3501,
80421,
32165,
7338,
