neighborhood_tabulation_area,neighborhood_tabulation_area_1,account_density_quartile,estimated_number_of_radio_1,reviewed_for_millimeter_wave,estimated_lifeline_eligible,mobile_telecom_franchise,population_projections_2050,street_furniture_city_benches,commercial_fiber_max_isp,number_of_free_public_wi,estimated_aerial_plant,available_free_public_wi,number_of_fixed_wireless,number_of_dcas_buildings,percentage_of_blocks_without,percentage_of_households,sample_of_nta_field_surveyed,reviewed_for_aerial_fiber,commercial_fiber_choice,utility_pole_make_ready,percentage_of_blocks_with_1,geographic_variations_in,reviewed_for_underground,account_density,total_population,street_furniture_fdny_call,mobile_dependent_households_1
QN47,Ft. Totten-Bay Terrace-Clearview,Low,24.0,NO,502.0,Medium Low,21920.0,0,4,1,0.44,True,1.0,3,0.29,1.0,NO,NO,Low,3.0,0.8,Above and Underground Network,NO,241.0,21990,72,Medium High Connected
QN61,Jamaica,Medium Low,4.0,NO,4257.0,Medium High,65735.0,6,4,21,0.94,True,1.0,17,0.13,1.0,NO,NO,Medium Low,4.0,1.0,Above and Underground Network,NO,302.0,54754,164,High Connected
QN42,Oakland Gardens,Low,8.0,NO,1005.0,Medium Low,28981.0,3,3,0,1.0,False,1.0,1,0.08,0.9,NO,NO,Medium High,3.0,1.0,Above Ground (Utility Pole Presence),NO,195.0,29840,77,Medium High Connected
MN03,Central Harlem North-Polo Grounds,High,13.0,NO,6641.0,High,78790.0,23,5,60,0.07,True,2.0,9,0.0,0.97,YES,NO,High,4.5,0.99,Above and Underground Network,YES,850.0,86144,67,High Connected
BK29,Bensonhurst East,Medium High,13.0,NO,4853.0,Medium Low,70340.0,6,5,1,0.58,True,2.0,4,0.06,0.51,NO,NO,Medium Low,4.5,0.95,Above and Underground Network,NO,583.0,65589,51,Medium High Connected
BK37,Park Slope-Gowanus,Medium High,35.0,NO,1361.0,Medium High,76920.0,40,3,28,0.05,True,2.0,13,0.17,0.35,NO,NO,Medium High,4.5,1.0,Above and Underground Network,NO,625.0,74137,90,Low Connected
BK91,East Flatbush-Farragut,Medium High,40.0,NO,2572.0,Medium High,52416.0,15,3,6,0.48,True,1.0,6,0.04,0.08,NO,NO,Medium High,4.0,1.0,Above and Underground Network,NO,510.0,51633,58,Medium Low Connected
BX34,Melrose South-Mott Haven North,Medium High,4.0,NO,5163.0,High,52246.0,12,5,24,1.0,True,1.0,1,0.05,1.0,NO,NO,High,4.5,0.8,Above and Underground Network,NO,635.0,42877,49,High Connected
MN50,Stuyvesant Town-Cooper Village,High,8.0,NO,183.0,High,20913.0,2,5,0,0.0,False,1.0,0,0.0,0.35,NO,NO,High,4.5,1.0,Underground Network Areas,NO,1218.0,22335,4,Low Connected
SI36,Old Town-Dongan Hills-South Beach,Low,8.0,NO,1127.0,Low,25478.0,1,3,7,0.96,True,1.0,23,0.07,1.0,YES,YES,Medium Low,3.0,1.0,Above Ground (Utility Pole Presence),YES,159.0,26447,92,Medium Low Connected
SI25,Oakwood-Oakwood Beach,Low,17.0,NO,575.0,Low,22059.0,1,3,4,0.97,True,1.0,17,0.06,1.0,NO,NO,Medium Low,3.0,0.99,Above Ground (Utility Pole Presence),NO,174.0,20485,117,Low Connected
MN01,Marble Hill-Inwood,High,51.0,NO,4485.0,High,52432.0,11,5,1,0.43,True,2.0,3,0.0,0.97,YES,NO,High,4.5,0.97,Above and Underground Network,YES,1017.0,52529,32,High Connected
QN18,Rego Park,Medium High,0.0,NO,1295.0,Medium Low,30912.0,6,3,4,0.76,True,1.0,7,0.1,0.73,NO,NO,Low,4.5,1.0,Above and Underground Network,NO,464.0,28213,47,Medium High Connected
QN52,East Flushing,Medium Low,0.0,NO,1741.0,Medium Low,27661.0,3,2,0,0.98,False,1.0,3,0.01,0.93,NO,NO,Medium High,4.0,1.0,Above and Underground Network,NO,322.0,25274,64,High Connected
