globalid,plantingspaceonstreet,overheadutilities,buildingnumber,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,stateassembly,crossstreet1
C32CA533-648D-49D5-B437-AD1A5876E9DF,,,85,75,10700,63.0,GOWER STREET
E9CC5DFA-C176-46AA-AF57-54FE93E7522D,,,8747,37,17616,47.0,BATH AVENUE
A19DE94B-A210-4C5C-A99B-B7E3EAB69EEC,,,1611,38,13825,41.0,AVENUE H
B4464275-BB69-4DCF-A923-2C87A94F9D86,3 AV,,1400,11,10092,73.0,EAST   80 STREET
24D6898B-E08D-4DCE-AC45-086040877B68,,,352,76,10693,64.0,ROBERTS DRIVE
8C1FCAAC-6EBC-4889-9D5B-D02EAC65D141,,,75,28,11273,82.0,CITY ISLAND AVENUE
1268339D-3FC8-4D29-B010-0D31A3DEC46C,,,898,24,12343,85.0,GARRISON AVENUE
8457C229-A119-4731-8975-3CC08E1C1B3F,,,9125,42,13827,59.0,EAST   92 STREET
A8ACD105-CC20-4426-91CD-A666F67B3094,E 10 STREET,,1641,36,18183,45.0,QUENTIN ROAD
CAA6789C-C7FE-4622-8ABA-93456B08A0CE,,,39,76,10693,64.0,MALDEN PLACE
846800BA-9BFE-4B72-9308-E2E317D2D36B,,,7,76,10692,64.0,PIEDMONT AVENUE
DB766E89-84DD-4B5D-9053-EBC1DB98D638,QUENTIN ROAD,,2939,36,13512,41.0,BURNETT STREET
3C7937BC-7CD0-4943-877E-A0E60658C916,,,64,74,10369,63.0,DUNCAN ROAD
1C25ED8F-CDED-48EE-8166-2DDE682D8313,E 94 ST,,152,11,10099,73.0,3 AVENUE
B6F693E5-3651-47B2-BF14-BA840C21121C,,,65,74,10691,61.0,QUINN STREET
5355F8D0-5CEF-48CF-B44F-BB32C47AA6F6,EAST 165 STREET,,865,24,10937,79.0,REV JAMES POLITE AVENUE
0D13AC4F-7929-40B5-A90F-7AD38606CB37,,,25,74,10369,61.0,HILLCREST ROAD
BDF7324E-C3BE-4F38-B2D5-9BC4BB465E89,LACONIA AVENUE,0.0,1066,30,11607,83.0,LACONIA AVENUE
F6779384-382B-4C73-B870-08ED5E4D3BBC,,,34,74,10691,61.0,HARRISON STREET
CCFE2978-677A-4C95-9CC1-1F76CBD9ABDA,,,100,75,10700,63.0,RIDGEWAY AVENUE
54842D8C-D319-4194-9EB9-FE6C6E4A7A20,3 AV,,1848,14,12426,68.0,EAST  103 STREET
DDDEABE0-7808-489E-B7F1-D4FD927277D0,,,88,74,10369,63.0,GRYMES HILL ROAD
77E10DFA-2FE5-4CBA-BD48-FF69777B57B7,,,397,74,10692,64.0,MARYLAND LANE
DC276247-ABC4-4FE2-80B3-783DD7FE22E3,,,446,76,10693,64.0,MALDEN PLACE
1E2D8F57-5E29-4211-8C17-F3FBF875735C,,0.0,11,74,10697,61.0,LAW PLACE
D272D715-0A72-418E-8F55-3F59F6F98B5F,,,199,58,20531,23.0,ROCKAWAY BEACH BOULEVARD
2D671880-A5FB-4BF9-BE1B-630F35581CA4,,,52,74,10691,61.0,HARRISON STREET
62D1FC63-0FB2-4367-9777-4FE495EF3E8E,,,714,74,10691,61.0,UNNAMED STREET
F6BF049D-0FCF-4264-8A12-2564D7A87CAD,,,64,20,13097,71.0,WEST  146 STREET
88B47D50-905A-4403-B0B1-B44748F98EFA,,,50,74,10369,63.0,DUNCAN ROAD
1BFADAD6-3420-45F0-A77E-8822E30EC112,,,8,11,10090,73.0,MADISON AVENUE
4DD5D46F-651A-4E1C-B62E-9FA5DA660F6E,,,525,76,10693,64.0,ISABELLA AVENUE
9A175E5A-1788-4AEB-A568-9EE4B6A2085A,3s tysens ln,,682,76,10693,64.0,MILL ROAD
7F5341DE-5042-4E19-B5AC-5E6FC244100E,,,132,74,10369,63.0,DEAD END
CCFFD247-75D2-4601-85E0-8CCB35A29073,,,1,16,13093,68.0,MADISON AVENUE
641FE8B8-F467-4F60-A7A3-5F27828F2F73,2sx MASON AVE,,380,76,10692,64.0,MASON AVENUE
9429D201-1AFF-48DE-BD09-1FC2954D37A4,WEST 113 STREET,,351,18,12423,70.0,MANHATTAN AVENUE
9583C644-9909-4091-9E5E-2B06510FF430,W 12 ST,,58,3,12074,66.0,AVENUE OF THE AMERICAS
47299F67-8F17-4433-81BE-E3F7977A471E,,,70,74,10369,61.0,THERESA PLACE
560FED46-BD30-4D1F-93EC-0432087DD409,,,56,74,10369,63.0,DUNCAN ROAD
719CA606-759A-4E87-8782-C99ACF9EC15B,E 94 ST,,167,11,10099,68.0,3 AVENUE
BF5E3DE6-3FEA-4DE7-A6AE-32483F03A7C3,GATES,,417,51,17618,56.0,MARCY AVENUE
3C35F00A-3421-4C36-A377-7A0885527D3B,2SX Buel Ave,,390,76,10692,64.0,BUEL AVENUE
A50080A7-B2F2-4EC5-84FC-30FD7365DAB7,,,9,76,10693,64.0,MALDEN PLACE
0C31C09F-90F1-4389-8F72-AD55F9FDB07F,,,284,76,10693,64.0,FALCON AVENUE
