latitude,longitude,crossstreet2,streetname,pssite,treeguard,congressional,sanitationzone
40.601239,-74.130901,HAROLD STREET,BRADLEY AVENUE,Street,,11.0,5023C
40.561302,-74.113227,FALCON AVENUE,PENN AVENUE,Street,,11.0,5031D
,,TILDEN STREET,BRONXWOOD AVENUE,Street,,16.0,2121D
40.562376,-74.115248,TYSENS LANE,PRIMROSE PLACE,Street,,11.0,5031D
40.527818,-74.19951,QUEENSDALE STREET,AMBOY ROAD,Street,,11.0,5037E
40.598724,-74.133895,BRADLEY AVENUE,OAKVILLE STREET,Street,,11.0,5023C
40.654283,-73.850035,81 STREET,161 AVENUE,Street,,8.0,4104C
40.561383,-74.114278,FALCON AVENUE,PENN AVENUE,Street,,11.0,5031D
40.561415,-74.115088,MALDEN PLACE,FALCON AVENUE,Street,,11.0,5031D
40.731663,-73.779285,75 AVENUE,192 STREET,Street,,6.0,4081D
40.559355,-74.11109,MILL ROAD,ROBERTS DRIVE,Street,,11.0,5031D
40.560579,-74.113546,FALCON AVENUE,PETER AVENUE,Street,,11.0,5031D
40.624182,-74.077375,BROWNELL STREET,TOMPKINS STREET,Street,,11.0,5011D
40.582016,-74.089304,MASON AVENUE,DONGAN HILLS AVENUE,Street,,11.0,5021E
40.561866,-74.116521,HYLAN BOULEVARD,MALDEN PLACE,Street,,11.0,5031D
40.623427,-74.077241,BROWNELL STREET,HARRISON STREET,Street,,11.0,5011D
40.562915,-74.116329,TYSENS LANE,HYLAN BOULEVARD,Street,,11.0,5031D
40.621895,-74.093111,BEND,BERTHA PLACE,Street,,11.0,5011E
40.784084,-73.780447,212 STREET,16 AVENUE,Street,,3.0,4078D
40.624008,-74.078463,TOMPKINS STREET,QUINN STREET,Street,,11.0,5011D
40.723535,-73.890156,CALDWELL AVENUE,70 STREET,Street,,6.0,4055D
40.58308,-74.090335,LACONIA AVENUE,DONGAN HILLS AVENUE,Street,,11.0,5021E
40.562915,-74.116329,TYSENS LANE,HYLAN BOULEVARD,Street,,11.0,5031D
40.618441,-74.02346,DAHLGREN PLACE,88 STREET,Street,,11.0,3103E
40.622941,-74.092464,GRYMES HILL ROAD,BERTHA PLACE,Street,,11.0,5011E
40.73715,-73.736528,UNION TURNPIKE,235 STREET,Street,,3.0,4132D
40.606762,-74.130483,SOUTH GANNON AVENUE,WHEELER AVENUE,Street,,11.0,5023C
40.561866,-74.116521,BEND,MALDEN PLACE,Street,,11.0,5031D
40.744403,-73.904419,WOODSIDE AVENUE,60 STREET,Street,,14.0,4021C
40.624186,-74.078899,QUINN STREET,TOMPKINS STREET,Street,,11.0,5011D
40.560063,-74.110871,MILL ROAD,EVA AVENUE,Street,,11.0,5031D
40.625728,-74.090828,EDDY STREET,BERTHA PLACE,Street,,11.0,5011E
40.56071,-74.112024,MILL ROAD,EVA AVENUE,Street,,11.0,5031D
40.624319,-74.092703,BEND,THERESA PLACE,Street,,11.0,5011E
40.623164,-74.091264,GRYMES HILL ROAD,DUNCAN ROAD,Street,,11.0,5011E
40.601239,-74.130901,WELLBROOK AVENUE,HAROLD STREET,Street,,11.0,5023C
40.623782,-74.076078,BROWNELL STREET,HARRISON STREET,Street,,11.0,5011D
40.559705,-74.112728,MILL ROAD,ROBERTS DRIVE,Street,,11.0,5031D
40.636455,-74.130707,BENNETT STREET,COTTAGE PLACE,Street,,11.0,5013C
40.560933,-74.114123,FALCON AVENUE,PETER AVENUE,Street,,11.0,5031D
40.677841,-73.943574,BROOKLYN AVENUE,ATLANTIC AVENUE,Street,,8.0,3082B
40.622834,-74.089275,HOWARD AVENUE,GRETA PLACE,Street,,11.0,5011E
40.67921,-73.96381,WASHINGTON AVENUE,DEAN STREET,Street,,9.0,3081A
40.788706,-73.947752,LEXINGTON AVENUE,EAST 101 STREET,Street,,13.0,1111A
40.624406,-74.078103,BROWNELL STREET,TOMPKINS STREET,Street,,11.0,5011D
40.63334,-74.002929,10 AVENUE,58 STREET,Street,,10.0,3121E
40.561358,-74.111644,MILL ROAD,TYSENS LANE,Street,,11.0,5031D
40.559826,-74.111933,MILL ROAD,ROBERTS DRIVE,Street,,11.0,5031D
40.576632,-73.987408,WEST   20 STREET,MERMAID AVENUE,Street,,8.0,3132B
40.694756,-73.731228,115 ROAD,229 STREET,Street,,5.0,4135D
40.623871,-74.093167,BEND,THERESA PLACE,Street,,11.0,5011E
40.673949,-73.956458,FRANKLIN AVENUE,PARK PLACE,Street,,9.0,3081A
40.623863,-74.077573,BROWNELL STREET,HARRISON STREET,Street,,11.0,5011D
40.749398,-73.719531,LITTLE NECK PARKWAY,73 ROAD,Street,,3.0,4131C
40.623082,-74.090681,GRYMES HILL ROAD,DUNCAN ROAD,Street,,11.0,5011E
40.784568,-73.97759,AMSTERDAM AVENUE,WEST 81 STREET,Street,,10.0,1072B
40.597648,-73.961985,AVENUE U,EAST 9 STREET,Street,,11.0,3155C
40.625648,-74.09148,EDDY STREET,BERTHA PLACE,Street,,11.0,5011E
40.624544,-74.077883,BROWNELL STREET,TOMPKINS STREET,Street,,11.0,5011D
