location_name,location_code,building_name,prop_n,borough,:@computed_region_yeji_bk3q,avgofvio_n
301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,K292,301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,,K,,
P.S. 274 Kosciusko,K274,,0.0,K,2.0,0.44
P.S. 076 A. Philip Randolph,M076,735 WEST END AVENUE CONSOLDATED LOCATION ,1.0,M,,1.05
P.S. 198 Isador E. Ida Straus,M198,,1.0,M,,0.32
P.S. 287 Bailey K. Ashford,K287,,0.0,K,,0.44
P.S. 370,K370,,0.0,K,2.0,0.53
260 PLEASANT AVENUE CONSOLIDATED LOCATION,M435,,0.0,M,,0.32
Renaissance School of the Arts,M377,319 EAST 117 STREET CONSOLIDATED LOCATION,,M,,
1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,X450,1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,X,,
Cultural Academy for the Arts and Sciences,K629,5800 TILDEN AVENUE CONSOLIDATED LOCATION,,K,2.0,
Invictus Preparatory Charter School,K386,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,6.0,K,,0.82
New York City Lab Middle School for Collaborative,M312,,0.0,M,,0.53
P.S. 282 Park Slope,K282,,2.0,K,,1.54
Bronx River High School,X349,3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,,X,5.0,
P.S. 175 Henry H Garnet,M175,306 FORT WASHINGTON AVENUE CONSOLIDATED LOCATION,,M,,
145 WEST  84 STREET CONSOLIDATED LOCATION,M470,145 WEST  84 STREET CONSOLIDATED LOCATION,,M,4.0,
P.S. 207 Elizabeth G. Leary,K207,,0.0,K,,1.54
6581 HYLAN BOULEVARD  CONSOLIDATED LOCATION,R825,,0.0,R,1.0,0.32
Quest to Learn,M422,351 WEST  18 STREET CONSOLIDATED LOCATION,,M,,
P.S. 043 Jonas Bronck,X043,P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION,1.0,X,,1.05
P.S. 100 The Coney Island School,K100,,0.0,K,,0.82
P.S. 208 Alain L. Locke,M208,508 EAST 120 STREET CONSOLIDATED LOCATION,,M,,
208 NORTH  5 STREET CONSOLIDATED LOCATION,K017,208 NORTH  5 STREET CONSOLIDATED LOCATION,0.0,K,,0.82
Pan American International High School at Monroe,X388,925 ASTOR AVENUE CONSOLIDATED LOCATION,,X,5.0,
280 HART STREET CONSOLIDATED LOCATION,K304,521 WEST AVENUE CONSOLIDATED LOCATION,,K,2.0,
P.S. 046 Arthur Tappan,M046,2351 1ST AVENUE CONSOLIDATED LOCATION,0.0,M,,1.05
Bronx Regional High School,X480,1110 BOSTON ROAD CONSOLIDATED LOCATION,1.0,X,,1.54
P.S. X010,X010,1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,6.0,X,,0.44
New Voices School of Academic & Creative Arts,K443,330 18 STREET CONSOLIDATED LOCATION,,K,,
985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,K275,,0.0,K,2.0,0.44
I.S. 077,Q077,,0.0,Q,3.0,0.53
I.S. 228 David A. Boody,K228,,0.0,K,,1.54
Brooklyn International High School,K439,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,,K,2.0,
"Urban Assembly Academy of Government and Law, The",M305,351 WEST  18 STREET CONSOLIDATED LOCATION,,M,,
Williamsburg High School for Architecture and Desi,K558,257 NORTH  6 STREET CONSOLIDATED LOCATION,,K,,
P.S. 050 Vito Marcantonio,M050,,1.0,M,4.0,0.53
P.S. 232 Lindenwood,Q232,145-00 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,,Q,2.0,
P.S. 154 Harriet Tubman,M154,1750 AMSTERDAM AVENUE CONSOLIDATED LOCATION,2.0,M,,0.82
Food and Finance High School,M288,411 PEARL STREET CONSOLIDATED LOCATION,,M,,
