location_code,geographical_district_code,avgofprop_n,:@computed_region_efsh_h5xi,schools,bin,:@computed_region_sbqj_enih,bbl,engroupa,avgofnocrim_n,avgofoth_n
K111,32,0.75,16140.0,2,3072497.0,,3031850001.0,4C,1.74,1.11
K418,15,,17830.0,2,3007707.0,,3004550001.0,2C,,
K367,14,,19404.0,2,3048517.0,,3017430018.0,4C,,
K110,14,0.75,18182.0,1,3067144.0,57.0,3026880042.0,4C,1.74,1.11
M043,5,,26655.0,3,1059723.0,,1019840033.0,3C,,
K540,21,1.39,18183.0,1,3194998.0,35.0,3071850020.0,6C,3.64,2.12
M123,5,1.39,19899.0,2,1060726.0,,1020420035.0,6C,3.64,2.12
M544,2,0.75,12081.0,1,1026841.0,10.0,1010650001.0,4C,1.74,1.11
X345,8,0.98,24263.0,1,2006566.0,,2027630279.0,5C,2.38,1.71
K359,19,,29485.0,2,3083931.0,,3037400001.0,4C,,
M412,2,,27946.0,3,1079152.0,,1007410010.0,4C,,
K400,21,,17616.0,5,3186454.0,35.0,3068830001.0,3C,,
M438,2,,15751.0,7,1017828.0,,1008720057.0,3C,,
K046,13,0.75,17212.0,2,3058088.0,55.0,3020450011.0,4C,1.74,1.11
Q036,29,0.98,29694.0,1,4268900.0,,4124390032.0,5C,2.38,1.71
M243,3,,4163.0,2,1032119.0,,1012140029.0,4C,,
K381,22,0.75,9938.0,2,3182169.0,,3067690018.0,4C,1.74,1.11
M303,2,,24833.0,5,1083802.0,,1010790029.0,3C,,
X561,8,,13664.0,8,2022205.0,,2036040039.0,3C,,
K161,17,,13509.0,2,3034181.0,44.0,3012970026.0,3C,,
K138,17,0.63,17618.0,1,3330794.0,49.0,3012330026.0,3C,1.67,0.9
Q470,28,,24340.0,4,4448806.0,65.0,4098580100.0,3C,,
K598,18,,17225.0,3,3099733.0,,3046060025.0,2C,,
K277,22,0.75,13825.0,1,3242369.0,36.0,3085900650.0,4C,1.74,1.11
K115,18,1.39,20519.0,1,3232559.0,,3082560001.0,6C,3.64,2.12
M128,6,,9203.0,2,1062994.0,,1021250001.0,2C,,
K781,22,,22350.0,2,3236496.0,,3083880002.0,3C,,
K152,22,0.63,12266.0,1,3205780.0,,3075510026.0,3C,1.67,0.9
K633,18,,13827.0,3,3230949.0,42.0,3082220001.0,3C,,
K051,15,1.39,30861.0,1,3021057.0,,3009810111.0,6C,3.64,2.12
M427,2,,12078.0,2,1087537.0,8.0,1008897501.0,3C,,
K131,15,0.98,17621.0,1,3136085.0,39.0,3056030001.0,5C,2.38,1.71
M131,2,0.98,8329.0,1,1082489.0,,1003010003.0,5C,2.38,1.71
K058,15,0.98,13233.0,1,3007547.0,,3004490015.0,5C,2.38,1.71
M281,2,,12276.0,2,1089385.0,,1009670002.0,3C,,
K311,19,0.63,20380.0,2,3085491.0,,3038380018.0,3C,1.67,0.9
M144,3,,11429.0,2,1057683.0,,1019060011.0,3C,,
M513,6,,9203.0,2,1062994.0,,1021250001.0,4C,,
K504,19,,15156.0,5,3084440.0,,3037880001.0,3C,,
K736 ,18,,16866.0,4,3104598.0,40.0,3047420001.0,3C,,
M121,4,,4232.0,2,1052384.0,,1016520016.0,4C,,
M528,6,,2995.0,4,1063928.0,,1021640032.0,3C,,
K203,22,0.63,11356.0,1,3218626.0,,3078490001.0,3C,1.67,0.9
K384,32,2.55,12432.0,2,3080043.0,,3034420001.0,9C,7.25,3.5
K485,20,1.39,1720.0,4,,,,6C,3.64,2.12
K225,21,0.63,13826.0,1,3245498.0,35.0,3087120056.0,3C,1.67,0.9
K021,16,0.75,29692.0,1,3047914.0,,3016920017.0,4C,1.74,1.11
K241,17,0.98,15592.0,1,3378160.0,,3011880001.0,5C,2.38,1.71
K086,32,0.63,6509.0,1,3075109.0,,3032890027.0,3C,1.67,0.9
M217,2,0.75,12160.0,1,1084848.0,,1013730001.0,4C,1.74,1.11
M896,2,0.51,23812.0,1,1000811.0,,1000220013.0,2C,1.71,0.71
M529,2,,8827.0,5,1069583.0,,1009980041.0,2C,,
M322,6,0.51,25768.0,1,1076756.0,,1021720016.0,2C,1.71,0.71
K576,18,,13827.0,6,3224139.0,42.0,3079980005.0,3C,,
K298,23,0.51,17614.0,1,3080768.0,46.0,3035070007.0,2C,1.71,0.71
K033,14,0.98,19404.0,2,3048517.0,,3017430018.0,5C,2.38,1.71
K089,19,0.75,13687.0,1,3397079.0,,3039520047.0,4C,1.74,1.11
K678,19,,17215.0,2,3090219.0,47.0,3040690001.0,2C,,
K218,19,,19694.0,3,3095977.0,,3042780001.0,3C,,
X158,12,,16060.0,3,2004868.0,,2026710011.0,3C,,
K018,14,0.51,17213.0,1,3069559.0,56.0,3027870001.0,2C,1.71,0.71
K196,14,0.63,26006.0,1,3071024.0,,3030460001.0,3C,1.67,0.9
K056,13,0.63,15459.0,2,3056874.0,,3019830010.0,3C,1.67,0.9
K661,19,0.63,29542.0,1,3088357.0,,3039690001.0,3C,1.67,0.9
K039,15,0.63,14280.0,1,3021932.0,,3010000001.0,3C,1.67,0.9
X412,9,,4486.0,7,2007806.0,,2028170002.0,3C,,
K751,17,,20537.0,2,3030553.0,,3012160046.0,4C,,
K077,22,,13826.0,2,3203617.0,36.0,3074240001.0,3C,,
M012,4,0.75,2232.0,1,1052433.0,,1016560100.0,4C,1.74,1.11
M709,5,,2263.0,3,1060432.0,,1020290011.0,2C,,
K314,20,,15571.0,2,,,,5C,,
Q199,24,0.98,5034.0,1,4002915.0,,4002060003.0,5C,2.38,1.71
M241,3,0.63,12143.0,1,1055111.0,,1018280015.0,3C,1.67,0.9
K626,23,,4331.0,2,3038939.0,,3014480001.0,5C,,
K425,22,0.98,1610.0,2,3182721.0,,3067880001.0,5C,2.38,1.71
M282,2,,23812.0,3,1000811.0,,1000220013.0,3C,,
R014,31,0.75,10691.0,1,5014176.0,74.0,5005450110.0,4C,1.74,1.11
M054,3,0.98,23633.0,3,1055990.0,,1018620011.0,5C,2.38,1.71
X244,10,,16412.0,3,2015547.0,,2032530141.0,3C,,
K023,14,0.75,17213.0,2,3048818.0,51.0,3017590013.0,4C,1.74,1.11
M128,6,0.98,9203.0,1,1062994.0,,1021250001.0,5C,2.38,1.71
M302,5,,12427.0,4,1059460.0,20.0,1019600001.0,3C,,
