location_name,a24_minor_altercation_p,b37_coercion_threats_s,b53_using_extreme_force,b44_taking_property_without,a50_using_force_against_2,b50_starting_a_fire_p,a48_starting_a_fire_r,a28_inappropriate_or_unwanted_2,b30_violating_doe_s_internet,b08_verbally_rude_or_1,a22_insubordination_p,b29_possession_of_property_2,a57_using_weapon_category_2,b25_bringing_unauthorized_2,b23_using_slurs_bias_r,b30_violating_doe_s_internet_1,b22_trespassing_p,b34_sexually_suggestive_verbal_1,b23_using_slurs_bias_p,b52_using_force_against_1,a32_posting_distributing_2,b26_gang_related_behavior_2,a43_reckless_behavior_with,b15_profane_obscene_vulgar,a28_inappropriate_or_unwanted_1,b53_using_extreme_force_1,b50_starting_a_fire_s,a23_using_slurs_bias_r,a13_profane_obscene_vulgar,a34_coercion_threats_p,b38_disruptive_behavior_on_2,b57_selling_distributing_1,b24_minor_altercation_p,a36_intimidating_and_bullying_2,a30_vandalism_graffiti_s,a40_taking_property_without,b16_lying_to_giving_false,b51_threatening_using_force_1,a06_disrupting_the_educational,location_category,b34_sexually_suggestive_verbal_2,a17_leaving_class_or_school,sy1718_total_removals,b37_coercion_threats_p,b29_possession_of_property_1,a56_weapon_possession_category_2,b41_possession_of_controlled_1,b08_verbally_rude_or,b55_threaten_dangerous,b40_intimidating_and_bullying_1,b45_reckless_behavior_with_2,b43_bomb_threat_s,a48_starting_a_fire_s,a54_engaging_physical_sexual_1,administrative_district,a50_using_force_against,b47_inciting_causing_riot_1,a59_using_weapon_other_than_2,a51_using_extreme_force_1,a40_taking_property_without_1,b35_posting_distributing_2,a19_violating_doe_s_internet,a51_using_extreme_force_2,a32_posting_distributing_1,a58_using_weapon_category_1,b45_reckless_behavior_with_1,b45_reckless_behavior_with,a39_possession_of_controlled,b47_inciting_causing_riot,b15_profane_obscene_vulgar_1,a47_using_controlled,a52_group_violence_s,a44_reckless_behavior_that,a41_false_activation_of_fire_1,a22_insubordination_r,a37_intimidating_and_bullying_1,b21_insubordination_p,b52_using_force_against,a26_possession_of_property_2,b35_posting_distributing
P.S. 179 Kensington,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,6,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School for Global Leaders,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,36,R,R,R,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Brooklyn Latin School, The",R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,17,R,R,R,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Performing Arts and Technology High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,R,R,R,R,R,R,High school,R,R,43,R,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Repertory Company High School for Theatre Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,31,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 124 Yung Wing,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,11,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 172 Beacon School of Excellence,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 112 Lefferts Park,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Design Middle School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,20,R,R,R,R,R,R,R,R,R,R,R,5,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Stuyvesant High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,41,R,R,R,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
