ell_arabic_2,ell_urdu_2,female_1,year,female_2,ela_level_2_2,grade_1,math_level_4_1,math_level_2_1,ell_haitian_creole_2,ela_level_3_2,ell_spanish_1
No Data,No Data,10083,2016-17,48.7%,30.8%,2114,4127,3401,No Data,31.1%,No Data
No Data,No Data,12758,2016-17,49.3%,33.9%,2754,3404,5273,No Data,28.7%,No Data
No Data,No Data,458,2016-17,48.3%,37.7%,119,21,145,No Data,16.9%,No Data
No Data,No Data,1385,2016-17,33.3%,34.8%,494,127,703,No Data,11.2%,No Data
No Data,No Data,1610,2016-17,49.8%,29.9%,266,473,595,No Data,27.1%,No Data
No Data,No Data,18423,2016-17,49.1%,36.6%,4379,1815,7130,No Data,21.3%,No Data
No Data,No Data,7741,2016-17,48.9%,37.2%,1836,681,3123,No Data,20.0%,No Data
2.8%,0.5%,5292,2016-17,45.6%,29.6%,1904,174,1767,s,5.4%,8877
No Data,No Data,940,2016-17,47.8%,37.6%,220,73,325,No Data,21.6%,No Data
No Data,No Data,583,2016-17,49.0%,37.9%,161,36,229,No Data,21.0%,No Data
No Data,No Data,1109,2016-17,52.1%,39.1%,165,99,508,No Data,22.7%,No Data
No Data,No Data,7994,2016-17,49.1%,36.5%,1945,376,2861,No Data,15.9%,No Data
No Data,No Data,680,2016-17,48.0%,36.6%,187,21,216,No Data,13.9%,No Data
No Data,No Data,922,2016-17,36.9%,31.7%,208,31,372,No Data,7.1%,No Data
No Data,No Data,626,2016-17,33.8%,29.2%,161,10,255,No Data,5.6%,No Data
No Data,No Data,900,2016-17,36.9%,34.8%,251,49,344,No Data,8.4%,No Data
No Data,No Data,15674,2016-17,48.4%,31.2%,3472,6454,5353,No Data,28.5%,No Data
No Data,No Data,1680,2016-17,36.5%,29.8%,479,44,629,No Data,6.6%,No Data
No Data,No Data,992,2016-17,49.3%,37.7%,255,84,384,No Data,16.7%,No Data
No Data,No Data,9520,2016-17,48.9%,34.9%,2104,1924,3592,No Data,25.7%,No Data
No Data,No Data,679,2016-17,37.4%,30.1%,185,37,204,No Data,9.0%,No Data
No Data,No Data,17834,2016-17,48.4%,30.0%,4091,7583,5806,No Data,29.7%,No Data
No Data,No Data,7106,2016-17,49.4%,38.0%,1613,632,2917,No Data,20.9%,No Data
No Data,No Data,759,2016-17,46.6%,33.1%,147,121,294,No Data,20.4%,No Data
No Data,No Data,1615,2016-17,50.0%,25.7%,213,744,495,No Data,33.4%,No Data
No Data,No Data,6346,2016-17,48.8%,25.3%,969,3514,1862,No Data,31.7%,No Data
No Data,No Data,17131,2016-17,49.2%,37.0%,4001,1483,6747,No Data,20.6%,No Data
No Data,No Data,1630,2016-17,51.1%,28.3%,147,675,696,No Data,30.8%,No Data
1.1%,2.3%,2529,2016-17,45.8%,35.4%,955,389,728,s,10.0%,1116
19.0%,2.8%,1423,2016-17,44.5%,29.8%,464,32,427,s,s,1830
4.3%,0.7%,2286,2016-17,47.6%,32.8%,850,166,552,s,8.1%,2468
No Data,No Data,618,2016-17,35.6%,23.9%,157,16,229,No Data,3.5%,No Data
No Data,No Data,949,2016-17,49.3%,33.2%,255,212,332,No Data,21.4%,No Data
No Data,No Data,7915,2016-17,49.1%,37.2%,1865,873,3160,No Data,22.5%,No Data
No Data,No Data,10968,2016-17,49.3%,29.4%,2237,3904,3930,No Data,28.6%,No Data
