ell_french_1,ela_level_1_1,ell_korean_1,ell_other_2,district,ela_l3_l4_1,ell_bengali_2,math_level_3_1,grade_4,black_2,asian_1
No Data,2221,No Data,No Data,25,6993,No Data,3421,2315,4.9%,11965
No Data,3432,No Data,No Data,30,7772,No Data,3993,2866,6.2%,5719
No Data,226,No Data,No Data,13,125,No Data,73,117,70.5%,26
No Data,1238,No Data,No Data,22,340,No Data,253,557,40.6%,410
No Data,433,No Data,No Data,3,1189,No Data,431,310,34.4%,192
No Data,7802,No Data,No Data,10,6457,No Data,3506,4367,14.9%,1652
No Data,3585,No Data,No Data,19,2589,No Data,1374,1892,42.1%,1315
s,3373,11,7.8%,24,286,3.9%,556,1140,0.2%,2083
No Data,398,No Data,No Data,29,316,No Data,142,254,57.9%,316
No Data,232,No Data,No Data,21,133,No Data,92,130,21.9%,151
No Data,1206,No Data,No Data,6,133,No Data,134,415,5.7%,17
No Data,4831,No Data,No Data,11,5274,No Data,2775,3048,40.0%,2239
14,1854,s,1.1%,6,105,s,168,583,0.9%,61
No Data,1355,No Data,No Data,29,155,No Data,97,471,66.5%,290
No Data,347,No Data,No Data,30,341,No Data,204,230,10.1%,362
No Data,113,No Data,No Data,26,735,No Data,321,121,16.4%,846
No Data,3052,No Data,No Data,29,3938,No Data,1781,2281,58.5%,3374
No Data,419,No Data,No Data,24,688,No Data,352,212,4.9%,488
No Data,1757,No Data,No Data,23,974,No Data,493,758,72.6%,85
No Data,1308,No Data,No Data,13,1924,No Data,848,1168,53.7%,482
74,3110,s,3.9%,10,162,2.8%,260,939,3.2%,386
No Data,890,No Data,No Data,1,1110,No Data,538,562,18.9%,1012
No Data,1088,No Data,No Data,3,2402,No Data,841,600,32.1%,312
8,67,s,5.7%,16,s,6.0%,s,32,s,42
No Data,2279,No Data,No Data,11,259,No Data,213,722,40.1%,174
No Data,287,No Data,No Data,1,1131,No Data,332,345,13.0%,691
No Data,210,No Data,No Data,25,247,No Data,192,123,6.5%,643
No Data,414,No Data,No Data,23,374,No Data,171,127,79.7%,17
No Data,193,No Data,No Data,15,155,No Data,115,173,16.2%,247
No Data,474,No Data,No Data,17,312,No Data,160,241,73.1%,34
No Data,771,No Data,No Data,12,360,No Data,164,247,27.4%,26
No Data,380,No Data,No Data,7,206,No Data,95,166,25.0%,12
No Data,272,No Data,No Data,22,678,No Data,330,217,41.7%,264
No Data,246,No Data,No Data,16,220,No Data,109,168,79.6%,10
No Data,4398,No Data,No Data,31,8338,No Data,4085,2808,15.9%,2488
