ela_level_2_1,grade_5,hispanic_1,ela_level_3_1,ela_level_1_2,ell_russian_1,grade_2,ell_arabic_1,ell_chinese_2,black_1,ela_level_4_1,ela_l3_l4_2
4097,2108,5479,4146,16.7%,No Data,2202,No Data,No Data,1024,2847,52.5%
5739,2781,14777,4858,20.3%,No Data,2782,No Data,No Data,1600,2914,45.9%
212,126,211,95,40.1%,No Data,114,No Data,No Data,669,30,22.2%
844,494,959,271,51.1%,No Data,508,No Data,No Data,1692,69,14.0%
693,356,1195,627,18.7%,No Data,300,No Data,No Data,1112,562,51.4%
8235,4289,28092,4799,34.7%,No Data,4584,No Data,No Data,5578,1658,28.7%
3664,1812,7300,1964,36.4%,No Data,1792,No Data,No Data,6662,625,26.3%
1542,958,8860,279,64.9%,38,1975,325,8.1%,26,7,5.5%
430,221,423,247,34.8%,No Data,238,No Data,No Data,1138,69,27.6%
401,269,1735,s,63.1%,149,482,316,9.2%,39,s,s
4538,2230,12753,2539,32.6%,No Data,2289,No Data,No Data,3986,926,29.2%
415,173,471,378,22.9%,No Data,138,No Data,No Data,784,245,46.3%
1588,928,5920,351,59.4%,No Data,869,No Data,No Data,158,37,8.0%
3172,1356,2293,1934,29.0%,No Data,1383,No Data,No Data,9483,703,32.2%
850,469,3943,131,61.1%,12,977,330,2.0%,19,9,5.5%
3350,1478,2426,2124,28.1%,No Data,1535,No Data,No Data,10225,816,33.6%
4104,1861,5704,3883,20.9%,No Data,2077,No Data,No Data,1837,2927,49.4%
369,215,445,210,36.7%,No Data,276,No Data,No Data,968,69,27.3%
8341,4598,11798,7544,19.7%,No Data,4662,No Data,No Data,5121,4422,47.3%
553,298,2137,295,35.4%,No Data,388,No Data,No Data,93,93,26.6%
304,204,1911,60,66.5%,s,313,75,s,163,10,6.3%
2429,1129,6685,1614,29.4%,No Data,1142,No Data,No Data,1851,673,34.2%
132,62,500,s,61.8%,11,132,32,3.9%,96,s,s
5528,2688,16783,2615,39.3%,No Data,2813,No Data,No Data,6956,739,22.9%
4697,2759,6394,5087,15.4%,No Data,2956,No Data,No Data,1236,3572,54.8%
121,83,617,s,71.1%,s,117,120,0.7%,125,s,s
7433,3579,12740,5461,24.5%,No Data,3672,No Data,No Data,7093,2702,39.5%
262,118,362,183,22.2%,No Data,107,No Data,No Data,336,147,43.4%
416,136,405,398,14.9%,No Data,131,No Data,No Data,339,275,52.6%
363,292,639,s,65.9%,635,564,326,6.9%,406,s,s
303,157,444,153,36.7%,No Data,116,No Data,No Data,578,36,24.3%
421,214,1545,168,48.0%,No Data,328,No Data,No Data,613,45,17.5%
864,392,1660,299,51.5%,No Data,439,No Data,No Data,529,60,14.2%
808,473,1395,200,57.8%,No Data,447,No Data,No Data,1201,28,9.3%
1008,689,3841,197,65.3%,No Data,608,No Data,No Data,1632,22,6.2%
