date,citywide,business_integrity_commission,board_of_correction,district_attorney_queens,department_of_correction,department_of_finance,housing_preservation_and,department_of_transportation,department_of_youth_and,office_of_the_comptroller,department_for_the_aging,office_of_special_narcotics,department_of_small_business,department_of_homeless,office_of_the_actuary,district_attorney_kings_county,law_department,department_of_buildings,equal_employment_practices,mayoralty,department_of_design_and,department_of_information
2020-11-27T00:00:00.000,5692021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-06-24T00:00:00.000,120089728,0,0,0,0,0,0,0,0,0,0,0,0,4917763,0,0,$0,0,0,0,145890,2192458
2020-09-16T00:00:00.000,580489,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-30T00:00:00.000,3545347,0,0,1743,0,0,0,0,0,0,0,0,0,0,0,2592,$0,0,0,0,0,10279
2020-07-23T00:00:00.000,674273,0,0,0,0,10873,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-11-03T00:00:00.000,156828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-04-30T00:00:00.000,5228947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,89141,0,0,0,5600
2020-06-29T00:00:00.000,11312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,$0,0,0,0,0,0
2020-03-25T00:00:00.000,1785572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72196,$0,0,0,0,0,0
2020-04-18T00:00:00.000,1890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-07-21T00:00:00.000,5683523,0,0,0,0,0,0,0,0,0,2,0,0,3660108,0,0,$0,0,0,0,0,0
2021-03-31T00:00:00.000,2904399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,1026000
2020-06-08T00:00:00.000,528227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-06-23T00:00:00.000,190661,0,0,0,0,0,0,0,3150,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-10-01T00:00:00.000,108096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-09-23T00:00:00.000,3337554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-11-16T00:00:00.000,40586038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-04-09T00:00:00.000,2502106,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,7278,0,0
2020-04-11T00:00:00.000,560052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-02-02T00:00:00.000,57372388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,15458,0
2020-11-30T00:00:00.000,6874822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-06-11T00:00:00.000,1272062,0,0,0,0,0,0,0,0,0,0,2366,0,0,0,0,$0,0,0,0,0,0
2021-01-27T00:00:00.000,23372088,0,0,0,0,0,300000,0,0,0,0,0,1115619,0,0,0,$0,0,0,0,1246858,0
2021-05-20T00:00:00.000,16197008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,7800657
2021-03-13T00:00:00.000,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,0
2020-05-18T00:00:00.000,2333397,0,0,0,0,0,0,0,0,0,0,0,2001000,0,0,0,$0,0,0,0,0,0
2020-07-31T00:00:00.000,93527,0,0,0,0,0,0,0,50811,0,0,0,0,0,0,0,$0,0,0,0,0,0
2021-03-26T00:00:00.000,25712941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0,0,0,0,0,465550
2021-05-13T00:00:00.000,10961807,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,$0,0,0,0,0,0
