af_race_ethnicity_hoh_white,af_unique_individuals_by_3,fwc_unique_individuals_by_4,fwc_race_ethnicity_hoh_asian,fwc_avg_daily_census,af_unique_individuals_by_5,fwc_number_of_school_aged,fwc_avg_daily_census_1,fwc_unique_individuals_by
242,2152,7427,126,17116,5850,16180,22571,11193
164,1247,11142,190,29757,4527,24516,32995,15598
201,1308,11166,168,29390,5263,23542,32293,15162
244,2019,6800,107,16043,5623,16071,21390,10517
199,1976,7313,82,17060,4986,18518,23458,11275
257,2098,7085,123,16619,5811,15178,21897,10673
164,1263,10365,191,28758,4610,23798,32585,15407
172,1201,11213,168,29573,4540,23827,32632,15348
203,1277,11825,149,20394,5251,25347,33210,15287
252,2143,7261,123,16943,5851,15732,22429,10897
246,1427,9028,73,20975,6687,17973,23169,11752
251,2143,7175,119,16967,5806,15705,22392,10753
237,2094,7536,107,17005,5751,17560,22179,11059
193,1954,7556,78,17058,5009,17506,22900,11493
193,1735,5550,100,13453,4513,14867,17980,8758
157,1302,7741,62,18019,5491,17244,20705,10597
205,1899,5714,88,14153,4982,16089,18852,9001
206,2128,8197,112,18095,5588,18003,23737,11811
215,2133,8107,114,17986,5693,17741,23601,11651
238,2093,7241,109,17042,5934,16664,22220,11122
191,1760,5605,100,13607,4622,15211,18221,8856
128,1149,5193,55,12122,3305,12082,15345,8011
219,2147,7931,109,17762,5666,17228,23266,11370
227,1994,6573,102,15602,5523,15661,20842,10209
157,1234,10421,191,28959,4539,23675,32842,15449
126,1164,4982,58,11615,3233,11791,14927,7781
229,2096,7453,115,17486,6037,17367,22860,11227
179,1477,4111,89,12086,3738,11359,15960,6710
203,2091,8197,95,17760,5500,18620,23309,11861
