dbn,location,p_q1c_1,n_t,p_q3d,p_q1d,p_q1b_2,p_q6b,p_q4c,n_p,p_q13d,p_q1b_1,p_q6e,p_q13a,p_q1a_4,p_q1d_3,p_q12e,studentsurvey,saf_tot_10,p_q4a,p_q6g,p_q11e,eng_tot_10,enrollment,com_p_10,saf_s_10,aca_p_10,p_q13c,p_q10b,eng_p_10
75X754,J. M. Rapport School Career Development,44,67,7.8,7.5,44,8.5,7.3,133,,50,8.0,,0,5,7.8,Yes,6.9,7.8,7.4,8.5,7.1,671,7.6,6.6,7.9,,8.7,7.9
75K368,P.S. 368,56,36,7.4,7.7,41,8.6,7.7,84,,57,8.4,,0,0,8.1,Yes,7.1,8.3,8.1,9.6,7.2,284,8.0,5.9,8.3,,8.5,7.9
75Q993,P.S. Q993,65,66,8.2,8.1,34,8.8,8.5,184,,63,8.4,,0,5,8.4,Yes,8.4,8.8,8.1,9.8,7.8,406,8.5,8.3,8.4,,9.0,8.3
75K371,P.S. 371 - Lillian L. Rashkis,35,29,7.9,7.6,60,8.2,9.1,171,,37,8.0,,0,1,7.8,Yes,6.8,9.2,8.0,9.7,6.9,360,7.9,5.6,7.9,,8.8,7.9
75X723,X723,46,43,6.7,7.1,48,8.0,7.4,64,,45,7.2,,5,8,7.8,Yes,7.3,8.8,7.2,9.3,7.0,399,7.6,6.3,7.6,,8.2,7.4
75Q004,P.S. Q004,55,89,8.2,7.8,41,8.6,8.4,154,,57,8.4,,0,6,8.3,Yes,7.5,8.8,8.2,9.6,7.5,411,8.3,6.5,8.3,,8.8,8.2
75M138,P.S. 138,47,56,7.0,7.4,47,8.5,8.4,98,,49,7.8,,0,9,7.8,Yes,7.7,8.8,8.0,9.9,7.1,431,8.1,7.8,8.1,,8.8,7.7
75Q721,P.S. Q721 - Queens Occupational Training Center,44,51,7.4,7.6,48,8.2,8.3,218,,50,7.8,,0,4,7.6,Yes,8.2,8.2,7.7,9.8,7.6,437,7.9,8.7,7.9,,8.7,7.9
75K373,P.S. 373 - Brooklyn Transition Center,43,19,7.6,7.6,44,8.4,7.5,123,,51,8.1,,0,3,7.9,Yes,7.7,8.1,7.7,9.8,7.6,340,7.9,7.1,8.1,,8.5,7.8
75X176,P.S. X176,58,145,7.3,7.7,39,8.8,9.4,210,,57,8.1,,0,6,8.2,Yes,8.4,8.7,8.0,9.8,8.1,648,8.4,8.6,8.3,,8.9,8.3
75Q752,Queens Transition Center,39,25,6.8,7.4,55,8.0,5.3,53,,34,7.4,,4,6,7.1,Yes,7.0,7.5,7.2,8.1,6.4,403,6.9,6.7,7.4,,8.2,7.0
75M035,P.S. 035,45,27,6.2,7.8,35,8.6,6.9,31,,58,7.2,,3,3,7.0,Yes,6.6,8.3,7.3,7.6,6.8,274,7.5,6.3,7.6,,8.5,7.1
75K077,P.S. K077,54,62,7.7,8.1,37,8.7,9.0,151,,61,8.3,,0,4,8.5,Yes,8.3,9.2,8.4,9.9,7.8,294,8.4,8.5,8.4,,9.1,8.5
75Q811,P.S. Q811,47,50,7.7,7.2,44,8.2,7.9,101,,52,7.8,,0,8,7.8,Yes,8.5,7.8,7.6,9.8,8.0,347,7.8,8.4,7.9,,8.5,7.8
