objectid,globalid,physicalid,r_blockfaceid,bike_trafdir,lsubsect,l_high_hn,rw_type,pre_type,truck_route_type,l_zip,created_date,streetwidth,r_zip,twisted_parity_flag
7505,2a561d7a-1cf5-4ca6-8d1b-c70f775a7f98,8519,52262165.0,,2C,103-099,1,,2.0,11417.0,2007-11-29T00:00:00.000Z,65.0,11417.0,N
113022,b1e2523f-c7eb-4d53-b4d0-a96e6c2630ff,176859,,,,,6,,,10305.0,2011-03-28T16:11:01.000Z,,10305.0,N
104014,62e24011-3642-4180-8830-32082c5ee825,144488,1622608656.0,,2C,,1,,,10301.0,2012-05-03T10:36:39.000Z,38.0,10301.0,N
26043,a5680a9e-bec3-4a15-b4d7-cb215a7577c4,28922,1922608355.0,,3C,749,1,,2.0,11385.0,2007-11-29T00:00:00.000Z,36.0,11385.0,N
110681,d0ca6bde-399e-4e96-a2d7-3ea521f2521d,171041,,,,,8,,,10314.0,2015-12-17T11:33:18.000Z,,10314.0,N
42115,f8786980-2856-4706-87ea-7868da3ecdde,46345,2022600269.0,,1B,,1,,2.0,11212.0,2007-11-29T00:00:00.000Z,30.0,11212.0,N
116209,84e5548c-ca1e-435f-a0d4-406caba8578b,185567,,TW,,,6,,,10004.0,2017-03-27T13:36:23.000Z,,10004.0,N
42548,03687184-ca33-4c0b-aa2b-5374b1c02ef0,46794,1822609252.0,,3C,2499,1,AVE,,11210.0,2007-11-29T00:00:00.000Z,34.0,11210.0,N
48964,1146ac04-d6ba-4619-85f1-4b1e6d46e2b0,53792,1722610779.0,,2D,444,1,,,10308.0,2007-11-29T00:00:00.000Z,38.0,10308.0,N
41243,dbdfe4f1-8c40-42bf-821e-f739a2fc71dd,45422,22262443.0,,4E,6499,1,AVE,,11234.0,2007-11-29T00:00:00.000Z,54.0,11234.0,N
49382,68bf9dd6-fdff-412f-90b1-344625be9418,54260,1622603939.0,,3D,148,1,,,10304.0,2007-11-29T00:00:00.000Z,36.0,10304.0,N
