bottom_total_kjeldhal_nitrogen_mg_l,bottom_sample_depth_ft,current_direction_current_direction,top_sample_salinity_ysi_psu,top_sample_depth_ft,bottom_sample_temperature_c,percentage_o2_saturation_top_sample,top_fluorometer_mg_m3,top_sigma_t_kg_m3,bottom_fecal_coliform_bacteria_cells_100ml,bottom_ortho_phosphorus_mg_l,bottom_ammonium_mg_l,oxidation_reduction_potential_mv_top_sample
,20.0,,,6.0,24.82,96.0,,16.14,,,,43.6
,33.0,NE,,5.0,22.65,63.6,,18.14,,,,65.2
,,,9.47,,,,,,,,,
,17.0,W,,4.0,13.82,88.5,,19.22,,,,61.9
,,,23,,,,,,,,,
,,,15.44,,,,,,,,,
,,,19.4,,,,,,,,,
2.34,,*,22.69,,,,,,81,0.126,0.454,
,,,1.66,,,,,,,,,
1.29,41.0,N,,4.0,22.1,63.0,,17.63,50,0.169,0.64,54.1
,,,12.89,,,,,,,,,
,18.0,SE,,5.0,21.39,29.9,,14.37,60,,,29.7
,,,25.64,,,,,,,,,
0.59,26.0,NW,,4.0,20.35,200.6,,17.84,96,0.085,0.43,78.1
,,,1.92,,,,,,,,,
,17.0,E,,4.0,21.5,70.7,29.49,17.08,,,,
,,,,,,,,,,,,
,55.0,NW,,4.0,23.71,114.3,,11.43,,,,42.8
,12.0,E,,5.0,17.22,80.4,,14.18,250,,,64.3
,,,0.9,,,,,,,,,
,45.0,S,,4.0,20.48,70.4,,15.12,,,,82.4
,,,21.13,,,,,,,,,
,,,2.88,,,,,,,,,
,26.0,NW,,4.0,21.48,121.7,,17.21,,,,69.3
,40.0,SW,,4.0,19.09,64.4,,15.46,,,,61.4
,17.0,W,,4.0,25.92,64.4,,15.99,,,,20.3
,,,24.08,,,,,,,,,
,37.0,S,,4.0,14.12,82.9,,14.33,,,,62.3
,18.0,N,,5.0,19.18,122.3,35.98,19.62,,,,
,,,,,,,,,,,,
,29.0,S,,4.0,19.9,50.9,,12.71,,,,69.8
,,,21.06,,,,,,,,,
,,,0.39,,,,,,,,,
,41.0,S,,6.0,23.14,83.1,,10.34,,,,77.5
,16.0,S,,4.0,23.57,67.9,,14.08,,,,76.6
,29.0,E,,4.0,21.39,108.4,29.31,18.69,,,,
,,,0.6,,,,,,,,,
,,,0.84,,,,,,,,,
,,,25.4,,,,,,,,,
,41.0,W,,5.0,20.71,69.5,,15.23,,,,46.9
,21.0,,,4.0,21.05,83.5,35.63,14.96,,,,
,54.0,W,,4.0,20.76,70.7,,16.86,,,,42.4
,,,27.74,,,,,,,,,
,,,22.76,,,,,,,,,
,,W,,,,,,,,,,
,,,0.89,,,,,,,,,
,32.0,E,,5.0,22.34,65.0,,19.47,,,,76.6
,20.0,E,,6.0,25.66,157.8,,16.44,,,,18.5
,,,0.94,,,,,,,,,
,31.0,W,,5.0,20.87,94.1,21.74,17.8,,,,
,,,24.14,,,,,,,,,
,,,19.62,,,,,,,,,
,,,,,,,,,,,,
,,,0.47,,,,,,,,,
,,,24.04,,,,,,,,,
,,,10.53,,,,,,,,,
,,,23.78,,,,,,,,,
,,,22.21,,,,,,,,,
,17.0,N,,4.0,18.86,31.2,,15.35,,,,38.6
,15.0,E,,5.0,22.1,114.2,45.4,16.5,,,,
,82.0,E,,5.0,21.99,51.0,,16.8,,,,201.0
,92.0,N,,4.0,20.49,82.5,,16.31,,,,49.9
,,,,,,,,,,,,
,,,18.07,,,,,,,,,
,31.0,NW,,4.0,25.06,56.3,,16.24,,,,53.1
,,,1.09,,,,,,,,,
,,,2.98,,,,,,,,,
,,,1.43,,,,,,,,,
,,,1.3,,,,,,,,,
,15.0,NE,,5.0,21.13,78.6,,17.82,,,,23.8
,,,,,,,,,,,,
,17.0,LW SLK,,4.0,19.15,116.9,59.44,19.57,,,,
,,,10.89,,,,,,,,,
,26.0,,,4.0,24.15,75.6,,18.2,,,,46.4
,17.0,N,,4.0,19.96,17.1,,12.74,420,,,44.0
1.16,,*,23.81,,,,,,47,0.135,0.505,
,,,26.09,,,,,,,,,
,,,18,,,,,,,,,
,,,11.39,,,,,,,,,
,59.0,E,,5.0,22.88,51.1,,15.19,,,,130.0
,,,19.26,,,,,,,,,
,,,4.84,,,,,,,,,
,,,0.35,,,,,,,,,
7.48,37.0,NW,,4.0,15.18,55.2,,17.88,25,1.334,4.838,63.0
,,,0.85,,,,,,,,,
,,,2.17,,,,,,,,,
,12.0,N,,5.0,22.69,97.9,,14.22,,,,50.5
,,,,,,,,,,,,
,,,20.12,,,,,,,,,
,,,1.23,,,,,,,,,
,36.0,S,,5.0,14.69,79.0,,13.34,,,,49.2
,,,11.88,,,,,,,,,
,,,21.51,,,,,,,,,
,,,,,,,,,,,,
,,,1.69,,,,,,,,,
,86.0,E,,4.0,20.39,69.1,,17.11,,,,184.0
,18.0,S,,4.0,18.72,78.3,,12.75,28,,,49.6
,83.0,S,,4.0,16.22,73.7,,17.84,,,,56.4
,28.0,W,,5.0,4.3,117.4,,21.7,,,,
,32.0,W,,4.0,24.07,86.5,,17.91,,,,43.6
,40.0,SW,,3.0,19.88,108.9,,16.26,,,,44.7
,,,1.73,,,,,,,,,
,,,25.02,,,,,,,,,
,19.0,N,,5.0,22.07,20.2,,14.07,,,,5.29
,12.0,S,,5.0,20.93,61.0,,15.89,,,,28.3
,17.0,S,,4.0,24.38,54.1,,14.66,,,,171.0
,,,23.63,,,,,,,,,
,14.0,E,,4.0,18.79,62.5,,16.35,,,,53.1
,,,22.34,,,,,,,,,
,15.0,E,,4.0,23.43,99.1,27.47,17.9,,,,
,32.0,SW,,4.0,21.41,77.1,,11.97,,,,55.4
,19.0,S,,4.0,22.6,121.5,44.11,17.59,,,,
,,,24.23,,,,,,,,,
,,,17.7,,,,,,,,,
,39.0,N,,4.0,21.84,57.4,,12.76,,,,56.3
,,,0.49,,,,,,,,,
,17.0,E,,4.0,22.94,102.1,30.05,15.82,,,,176.0
,,,0.56,,,,,,,,,
,,,1.16,,,,,,,,,
,,,21.91,,,,,,,,,
,,,21.97,,,,,,,,,
,,,27,,,,,,,,,
,,,1.72,,,,,,,,,
,21.0,S,,4.0,6.2,106.8,,22.96,,,,
,12.0,S,,4.0,17.51,15.4,,10.07,"3,800",,,-221.0
,24.0,NW,,4.0,22.81,49.7,,16.32,,,,94.8
,,,0.81,,,,,,,,,
,37.0,NE,,5.0,23.55,141.6,63.7,15.67,,,,104.0
,,,21.18,,,,,,,,,
,,,0.48,,,,,,,,,
,12.0,E,,5.0,20.13,75.4,,19.88,,,,125.0
,,SW,,4.0,,69.6,,16.5,,,,62.9
