math_level_4_2,ell_bengali_1,ell_russian_2,ell_spanish_2,grade_6,white_1
31.6%,No Data,No Data,No Data,2624,2057
20.1%,No Data,No Data,No Data,3310,3395
3.8%,No Data,No Data,No Data,76,21
5.3%,No Data,No Data,No Data,402,1039
22.5%,No Data,No Data,No Data,492,616
8.1%,No Data,No Data,No Data,3764,1785
6.9%,No Data,No Data,No Data,1690,278
3.1%,452,0.3%,76.5%,821,603
6.5%,No Data,No Data,No Data,197,30
9.4%,No Data,No Data,No Data,333,45
4.8%,23,s,46.0%,148,154
3.6%,No Data,No Data,No Data,1097,4601
6.2%,No Data,No Data,No Data,782,253
2.3%,s,0.4%,78.4%,115,228
8.0%,No Data,No Data,No Data,9,30
s,6,s,18.8%,61,113
21.3%,47,2.1%,12.2%,109,93
6.5%,No Data,No Data,No Data,339,37
23.4%,No Data,No Data,No Data,1886,3344
16.5%,No Data,No Data,No Data,3983,3529
1.3%,No Data,No Data,No Data,120,15
27.9%,No Data,No Data,No Data,970,1052
24.0%,No Data,No Data,No Data,133,66
2.9%,317,0.3%,64.1%,294,220
31.3%,No Data,No Data,No Data,51,41
7.6%,No Data,No Data,No Data,1117,168
4.9%,No Data,No Data,No Data,257,198
7.2%,No Data,No Data,No Data,1086,145
32.1%,No Data,No Data,No Data,1484,4653
2.2%,No Data,No Data,No Data,295,42
23.0%,No Data,No Data,No Data,447,929
1.1%,97,s,87.5%,268,41
25.9%,No Data,No Data,No Data,828,1442
1.2%,21,s,85.6%,80,45
33.9%,No Data,No Data,No Data,974,1546
